#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
2am1p    -113.42236889249114 -113.39082517263601 0.00010579815480503784
1am1b    -756.1498273482741  -756.1091828595111  0.00013632228329034417
1am1sa   -756.6580183962641  -756.6166243409936  0.00013883634167542492
1am1p1sa -756.9935268584275  -756.949240148067   0.0001485383543867503 
2am1sa   -813.1968930704677  -813.1486690179564  0.00016174426466970088
2am1p1sa -813.5597815879735  -813.5110637009439  0.00016340059376041233
3am1p1sa -870.1075776108796  -870.0526551441445  0.00018421085606279446
1b1sa    -1399.7884109922231 -1399.7423500866387 0.00015448903432645718
2sa      -1400.2386375157357 -1400.1893210552219 0.00016540821906340397
1am1b1sa -1456.3201154965461 -1456.2687543483732 0.00017226613507587726
1am2sa   -1456.7957738169578 -1456.7422798010084 0.00017941980865157582
2am1b1sa -1512.8553506288688 -1512.7987446941818 0.00018985723524051054
2am2sa   -1513.3421344418773 -1513.2827573707443 0.00019915167242321943
2am1p2sa -1513.6965923723233 -1513.6351469475926 0.00020608896438270962
3am2sa   -1569.882379285272  -1569.8200551766847 0.00020903608447829134
3am1p2sa -1570.260075449131  -1570.1936622237904 0.00022275104927222997
4am1p2sa -1626.807555592449  -1626.7335442649965 0.0002482352086286993 
1b2sa    -2099.9291002945274 -2099.8697939310705 0.0001989145177156908 
3sa      -2100.3609743774327 -2100.2993972055046 0.00020653084664802625
1am1b2sa -2156.4774619423497 -2156.4141476170666 0.00021235728754929396
1am3sa   -2156.9266271201977 -2156.8591781237856 0.0002262250424694774 
2am1b2sa -2213.023324352008  -2212.9547841269946 0.00022988504113116668
2am3sa   -2213.481676756974  -2213.410316860913  0.00023934226416652066
3am1b2sa -2269.5567319589054 -2269.4825153868624 0.0002489236023584845 
3am3sa   -2270.033540454037  -2269.9596202541584 0.00024792956524778383
3am1p3sa -2270.3919068034857 -2270.3138783237164 0.0002617088035191903 
4am3sa   -2326.5767783708056 -2326.498470263952  0.0002626466773548556 
4am1p3sa -2326.9532088906217 -2326.8695984982746 0.00028043063004174645
5am1p3sa -2383.499352624137  -2383.414232947982  0.00028549279273811374
1b3sa    -2800.06281113811   -2799.989296529204  0.00024656920646187606
1am1b3sa -2856.6180123251015 -2856.5421063051176 0.00025459003851753005
2am1b3sa -2913.16773399212   -2913.0868251497    0.0002713695871871887 
2am4sa   -2913.6156196909155 -2913.5316531859194 0.00028162503772035367
3am1b3sa -2969.716378515991  -2969.631277724619  0.0002854294528666186 
3am4sa   -2970.172220309989  -2970.085551457675  0.00029068875503596565
4am1b3sa -3026.259990680137  -3026.1709188931623 0.00029874823737968686
4am4sa   -3026.7270373353563 -3026.6354722147644 0.00030711091930868607
4am1p4sa -3027.093321569286  -3026.99967757132   0.00031408350818817426
5am4sa   -3083.2704671751267 -3083.175352907417  0.00031901481707004157
5am1p4sa -3083.6456169484136 -3083.5455843387945 0.0003355110166672179 
6am1p4sa -3140.198625535346  -3140.096142021799  0.0003437313887192975 
2am1b4sa -3613.309562935259  -3613.2165361570546 0.00031201334296260806
3am1b4sa -3669.860803502806  -3669.764664196381  0.00032245281376829676
3am5sa   -3670.3052882997613 -3670.2059936781334 0.0003330357928160469 
4am1b4sa -3726.414740602153  -3726.3130735647687 0.00034099291425202584
4am5sa   -3726.8635251949568 -3726.7574180855504 0.00035588498878510734
5am1b4sa -3782.956545538242  -3782.853041989972  0.00034715260194529167
5am5sa   -3783.422758017549  -3783.3163200777626 0.0003569945993170816 
5am1p5sa -3783.7857960663446 -3783.676371157115  0.00036701294391872476
6am5sa   -3839.9637871601685 -3839.852395931357  0.0003736080121137577 
6am1p5sa -3840.345936543704  -3840.2333435945407 0.00037763860192205584
3am1b5sa -4370.001379825341  -4369.889327115606  0.0003758266300045951 
4am1b5sa -4426.555569651238  -4426.44017315077   0.00038704175907814775
4am6sa   -4426.999052973614  -4426.883298751904  0.0003882415620005525 
5am1b5sa -4483.104795233511  -4482.986090595444  0.000398137306949595  
5am6sa   -4483.55820478015   -4483.438168345358  0.0004026041750552319 
6am1b5sa -4539.656623403394  -4539.535921204461  0.00040483715892305236
6am6sa   -4540.115495997     -4539.991191653871  0.00041691880975455335
6am1p6sa -4540.4816178169085 -4540.35353876961   0.0004295792295761687 
