#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1msa1sa         -1362.9862750478947 -1362.9358165978942 0.00016923847056822728
1am1msa1sa      -1419.4710566938843 -1419.4174400089482 0.00017983124244766834
1ma1msa1sa      -1458.6807071130017 -1458.6234912945595 0.0001919027953799641 
2am1msa1sa      -1475.945808299185  -1475.8816030318217 0.00021534552193084146
1am1ma1msa1sa   -1515.1561838796838 -1515.0910876956832 0.0002183336709732313 
1msa1sa1tma     -1537.098908991416  -1537.0353430328155 0.00021320126983140296
2ma1msa1sa      -1554.3622243487757 -1554.2940288195382 0.00022872892583596896
1am1dma1msa1sa  -1554.3642007397302 -1554.2989131547247 0.00021897563309052336
1am1msa1sa1tma  -1593.5705772184563 -1593.5017783047394 0.00023075268729371817
1dma1ma1msa1sa  -1593.5731340063537 -1593.5041090337706 0.00023151089244696313
1am1eda1msa1sa  -1609.6366605478045 -1609.5671576362117 0.00023311390774122376
1ma1msa1sa1tma  -1632.7770500993856 -1632.7061819999362 0.00023769277024829187
2dma1msa1sa     -1632.788117601489  -1632.7163444876323 0.00024072820344489665
1eda1ma1msa1sa  -1648.8408648990126 -1648.7681862118188 0.00024376551130064254
1dma1msa1sa1tma -1671.9882013782933 -1671.9155110557942 0.00024380453630433468
1dma1eda1msa1sa -1688.0516557459998 -1687.97909965424   0.00024335432419873666
1msa1sa2tma     -1711.1870437689518 -1711.1090481819042 0.0002615984807894702 
1eda1msa1sa1tma -1727.255858312601  -1727.181234856358  0.00025028829865166924
2eda1msa1sa     -1743.3181638431445 -1743.2430768417123 0.00025184303683385256
