#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am1msa      -720.7390548029239  -720.6969614445169  0.00014118181588781598
1ma1msa      -760.0053273532752  -759.9605303642726  0.00015024983733912453
2am1msa      -777.2725309516085  -777.2256351457584  0.00015728930353890386
1dma1msa     -799.280467034522   -799.2326939572057  0.00016023168645418588
1am1ma1msa   -816.5443172300614  -816.493653173386   0.00016992807873702107
1eda1msa     -854.6152066725351  -854.566612670884   0.00016298508016492405
2ma1msa      -855.8111903294244  -855.7584167495131  0.00017700345433948415
1am1dma1msa  -855.8116224014209  -855.7584275142455  0.00017841652582723146
1am1msa1tma  -895.0854147097765  -895.0288971054243  0.00018956097384585668
1dma1ma1msa  -895.0860447348067  -895.0299579007187  0.00018811616330023905
1am1eda1msa  -911.1517840488153  -911.0962809216155  0.00018615840080419483
1ma1msa1tma  -934.3534973500534  -934.2940331982963  0.00019944374226740644
2dma1msa     -934.358225924634   -934.298637335774   0.00019986110635597312
1eda1ma1msa  -950.4190527262842  -950.360949781111   0.00019487823301435447
1dma1msa1tma -973.6274263149813  -973.5655177783188  0.00020764224941304023
1dma1eda1msa -989.6904677772593  -989.6290772039961  0.0002059049916592908 
1msa2tma     -1012.891321629111  -1012.8258081479695 0.00021973329244164247
1eda1msa1tma -1028.9590098330789 -1028.8959808088462 0.00021140038313817366
2eda1msa     -1045.0286214911835 -1044.9674452826741 0.00020518600875191054
2msa         -1328.4096126261845 -1328.3592407112133 0.00016894823066016795
1am2msa      -1384.9552489324808 -1384.899918131975  0.00018558041424058858
1ma2msa      -1424.2292728726954 -1424.1704476259613 0.00019730084432046033
2am2msa      -1441.5012479927668 -1441.4413750798853 0.00020081473379653214
1dma2msa     -1463.5049218004856 -1463.4430730777221 0.0002074416326125835 
1am1ma2msa   -1480.7754937677666 -1480.7105458276048 0.00021783645870139474
2msa1tma     -1502.7729063248873 -1502.7087923220236 0.0002150394192979502 
1eda2msa     -1518.8427095480995 -1518.7819179150363 0.0002038961363851838 
2ma2msa      -1520.04700866877   -1519.9763970531706 0.00023683251920005814
1am1dma2msa  -1520.049454036     -1519.981403557172  0.0002282424243773906 
1am2msa1tma  -1559.312629549785  -1559.2421890974952 0.00023625843464618527
1dma1ma2msa  -1559.3218693240522 -1559.2514207539218 0.00023628566201701034
1am1eda2msa  -1575.3843654980851 -1575.3171856434788 0.00022532233642888713
1ma2msa1tma  -1598.5850914877194 -1598.51168354019   0.00024621146244997846
2dma2msa     -1598.5964809773593 -1598.522635000016  0.0002476806216446977 
1eda1ma2msa  -1614.6552182276835 -1614.5820900730666 0.0002452730324224851 
1dma2msa1tma -1637.8595040896369 -1637.7837074102265 0.00025422330843657373
1dma1eda2msa -1653.93002750788   -1653.8548563544525 0.00025212528400952967
2msa2tma     -1677.122035249592  -1677.0458325166003 0.00025558521882215876
1eda2msa1tma -1693.192701290879  -1693.1145127805432 0.00026224554866980125
2eda2msa     -1709.2654777904643 -1709.191135670546  0.0002493446919953863 
