#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am1msa      -719.998855697137   -719.9567623387301  0.00014118181588781598
1ma1msa      -759.1998614212313  -759.1550644322286  0.00015024983733912453
2am1msa      -776.4612797192174  -776.4143839133674  0.00015728930353890386
1dma1msa     -798.4107725781198  -798.3629995008037  0.00016023168645418588
1am1ma1msa   -815.6746573633854  -815.6195526453419  0.00018482212994640378
1eda1msa     -853.679836389144   -853.631242387493   0.00016298508016492405
1am1dma1msa  -854.8715257952049  -854.8168270557198  0.0001834604711895325 
2ma1msa      -854.8744441034063  -854.8183825571388  0.00018803134753476894
1am1msa1tma  -894.0844614682654  -894.0279438639133  0.0001895609738458567 
1am1eda1msa  -910.1479182174623  -910.0931675767381  0.00018363454879847925
1ma1msa1tma  -933.2843431239558  -933.2252173757593  0.00019830873116366294
2dma1msa     -933.288225541869   -933.2286369530091  0.00019986110635597306
1dma1ma1msa  -949.3669237882841  -949.3099136877538  0.00019121281412186848
1dma1msa1tma -972.495957422252   -972.4320309705312  0.0002144103696821251 
1dma1eda1msa -988.5553418680482  -988.494687765134   0.00020343485800452103
1msa2tma     -1011.6963655706942 -1011.6324266647106 0.00021445214148445394
1eda1msa1tma -1027.760765614116  -1027.697736589883  0.00021140038313817366
2eda1msa     -1043.83566534427   -1043.7701877364436 0.00021961297275209388
2msa         -1327.0680341918217 -1327.0176622768506 0.00016894823066016795
1am2msa      -1383.544640455532  -1383.487103163154  0.00019298102424370316
1ma2msa      -1422.7522428652705 -1422.6905535959636 0.00020690682309919836
2am2msa      -1440.0262389891734 -1439.9614415900921 0.0002173315414423546 
1dma2msa     -1461.9634859895757 -1461.9016372668123 0.0002074416326125835 
1am1ma2msa   -1479.233430360084  -1479.1674726163994 0.00022122335631251125
2msa1tma     -1501.172417527507  -1501.1054671432996 0.00022455268894043347
1eda2msa     -1517.2346709056847 -1517.173879272621  0.0002038961363851838 
2ma2msa      -1518.433860699148  -1518.3656407289384 0.00022881090125492938
1am1dma2msa  -1518.438831351445  -1518.3707808726167 0.0002282424243773906 
1am2msa1tma  -1557.641413829482  -1557.5724631035052 0.00023126186810869695
1dma1ma2msa  -1557.6472657834015 -1557.5750564415885 0.0002421913191774258 
1am1eda2msa  -1573.7053265627792 -1573.6381467081728 0.00022532233642888713
1ma2msa1tma  -1596.8464840087888 -1596.774762878102  0.0002405538510369232 
2dma2msa     -1596.8591923646954 -1596.785200492543  0.0002481699552318427 
1eda1ma2msa  -1612.915153289114  -1612.8431971938628 0.000241341926046275  
1dma2msa1tma -1636.0603138043575 -1635.983814875743  0.00025657866380925435
1dma1eda2msa -1652.1248467608334 -1652.0498835303174 0.0002514279071467523 
2msa2tma     -1675.2636391621834 -1675.1841858829619 0.00026648760429692683
1eda2msa1tma -1691.3245455729498 -1691.2463801528597 0.00026216810360604325
2eda2msa     -1707.3962139493294 -1707.319616521111  0.00025690903309780265
