#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am1nta             -337.3476218953379  -337.3099748081957  0.00012626894899277392
1ma1nta             -376.61455734505404 -376.5740446172649  0.0001358803548183814 
2am1nta             -393.8750630342415  -393.83168489751876 0.00014549098347399516
1dma1nta            -415.88698466923836 -415.8432006004342  0.0001468524863463045 
1am1ma1nta          -433.146239395342   -433.09968775115783 0.00015613497965510557
1nta1tma            -455.16091049921533 -455.1153579631825  0.0001527839544956615 
1eda1nta            -471.2197781574783  -471.17443337177616 0.00015208715647202503
2ma1nta             -472.41151538935776 -472.36239404329206 0.00016475380199801695
1am1dma1nta         -472.4210274454258  -472.3710205616533  0.00016772391002010587
1dma1ma1nta         -511.68697797766765 -511.6341488626854  0.0001771897198802203 
1am1nta1tma         -511.688281786443   -511.63569598401796 0.00017637364556445564
1am1eda1nta         -527.7533459024847  -527.7016681818801  0.00017332792421479736
1ma1nta1tma         -550.9546599917439  -550.9003493926606  0.0001821586419030935 
2dma1nta            -550.9586457186571  -550.9023109249358  0.00018894782398527407
2nta                -561.6135567817582  -561.5706516080654  0.00014390465769851765
1eda1ma1nta         -567.0197787680419  -566.9661519771662  0.00017986513793626086
1dma1nta1tma        -590.230110884415   -590.1721990498394  0.0001942372449292709 
1dma1eda1nta        -606.2938621709876  -606.2361146633795  0.0001936860895795303 
1am2nta             -618.153359329389   -618.1056245995028  0.0001601030685434921 
1nta2tma            -629.496103607598   -629.4351819040634  0.00020433239488383835
1eda1nta1tma        -645.5622375258778  -645.5025656964727  0.00020014029651201843
1ma2nta             -657.4268327731903  -657.375860522888   0.0001709617652265267 
2eda1nta            -661.6264505111324  -661.5687641056354  0.0001934811520944977 
2am2nta             -674.70073367247    -674.6477497925887  0.00017770880389517038
1dma2nta            -696.703155907875   -696.6488951203668  0.00018199157306145178
1am1ma2nta          -713.9745936233464  -713.9186656367953  0.00018758338605142516
2nta1tma            -735.9763137644763  -735.9195549312059  0.00019037005960246588
1eda2nta            -752.0380899345108  -751.9823069280369  0.00018709712048955442
2ma2nta             -753.2480806147657  -753.1886387029141  0.00019936914925939846
1am1dma2nta         -753.250236479088   -753.1903438380302  0.00020088090242441405
1am2nta1tma         -792.5174372139392  -792.455905165088   0.0002063795031063012 
1dma1ma2nta         -792.5238247479512  -792.460370133707   0.00021282781903107938
1am1eda2nta         -808.5827103723747  -808.5216885326566  0.00020466825328887054
1ma2nta1tma         -831.7894191406122  -831.7248953202098  0.00021641395405763803
2dma2nta            -831.7993368221081  -831.7335250103089  0.00022073389837059293
1eda1ma2nta         -847.8560960642793  -847.791256401425   0.00021747329483248997
1dma2nta1tma        -871.0655921734184  -870.9979738715258  0.00022679289583295336
1dma1eda2nta        -887.1316700820448  -887.0639954714188  0.00022698175625023793
2nta2tma            -910.3308888854017  -910.2604317675932  0.00023631433106978265
1eda2nta1tma        -926.3989974080041  -926.3283457066519  0.00023696696747334625
2eda2nta            -942.4633114420984  -942.3934729067929  0.00023423959518868587
1msa1nta            -945.0113261375532  -944.9639114728652  0.00015902956460818034
1nta1sa             -980.9253336916056  -980.8790811332793  0.00015513184077247134
1am1msa1nta         -1001.5537665985416 -1001.5013273850019 0.00017588198403400117
1am1nta1sa          -1037.472936964951  -1037.4204688274997 0.00017597899530883473
1ma1msa1nta         -1040.8281103909912 -1040.7721011014194 0.00018785607771867663
2am1msa1nta         -1058.1018411812772 -1058.0444965584143 0.00019233480752298078
1ma1nta1sa          -1076.746869322774  -1076.690661254214  0.00018852278571207206
1dma1msa1nta        -1080.1032576593545 -1080.0446828569377 0.00019646084996450964
2am1nta1sa          -1094.0189912792277 -1093.963116290974  0.00018740562889071454
1am1ma1msa1nta      -1097.3753874991853 -1097.3143618902889 0.00020468089517469742
1dma1nta1sa         -1116.0225113883853 -1115.964250973837  0.00019540638788645805
1msa1nta1tma        -1119.3757488378958 -1119.3152819795453 0.00020280683666100256
1am1ma1nta1sa       -1133.2932906687392 -1133.2328336665278 0.00020277377900898688
1eda1msa1nta        -1135.4416050963166 -1135.383662437062  0.0001943406314090774 
2ma1msa1nta         -1136.6484582525964 -1136.584289228647  0.00021522396092346743
1am1dma1msa1nta     -1136.6513080359998 -1136.5877425266794 0.00021319976293906237
1nta1sa1tma         -1155.2957121441748 -1155.2349589209537 0.00020376730914336362
1eda1nta1sa         -1171.356817441546  -1171.2955398900835 0.00020552591468144833
2ma1nta1sa          -1172.5654697463156 -1172.5039743299637 0.00020625663710117386
1am1dma1nta1sa      -1172.5688545815444 -1172.5068143907986 0.00020808381937265305
1am1msa1nta1tma     -1175.9149532952097 -1175.8493758505017 0.0002199478272951042 
1dma1ma1msa1nta     -1175.924247418251  -1175.8574177291964 0.00022414787541406164
1am1eda1msa1nta     -1191.9838172532784 -1191.9202675824658 0.00021314664032398968
1am1nta1sa1tma      -1211.8399876400576 -1211.77704998696   0.0002110939228493929 
1dma1ma1nta1sa      -1211.8425056728117 -1211.7779129735382 0.00021664497492404774
1ma1msa1nta1tma     -1215.1889326958124 -1215.118611608156  0.0002358580837040336 
2dma1msa1nta        -1215.2000943268633 -1215.128909333523  0.00023875563756571837
1am1eda1nta1sa      -1227.902429508308  -1227.8400627987583 0.00020917896880676715
1eda1ma1msa1nta     -1231.256493114988  -1231.1902614552405 0.00022214207528901262
1ma1nta1sa1tma      -1251.113167495602  -1251.0463274337192 0.00022418266604992614
2dma1nta1sa         -1251.1179723282858 -1251.050378644402  0.00022671032662696736
1dma1msa1nta1tma    -1254.463396140403  -1254.3906142198236 0.00024411175777038134
1eda1ma1nta1sa      -1267.1758311039473 -1267.109945166448  0.00022098251718741086
1dma1eda1msa1nta    -1270.5325749278845 -1270.4606988721746 0.00024107347211134222
1dma1nta1sa1tma     -1290.3901417546688 -1290.3201336066259 0.0002348084790973958 
1msa1nta2tma        -1293.726657844451  -1293.651000766399  0.0002537550831865511 
1dma1eda1nta1sa     -1306.4524015669447 -1306.3834932216434 0.00023111972262678088
1eda1msa1nta1tma    -1309.7952390348307 -1309.7212274972599 0.00024823591336844747
2eda1msa1nta        -1325.864515048441  -1325.7939482288098 0.00023668227278647594
1nta1sa2tma         -1329.6531740521195 -1329.5809381471238 0.00024228041252997114
1eda1nta1sa1tma     -1345.7204075862603 -1345.6493008415223 0.00023849319046822482
2eda1nta1sa         -1361.7825823924122 -1361.7119686833107 0.00023683954084038433
2am2msa1nta         -1722.3218542022098 -1722.250358483315  0.00023979781618210875
2am1msa1nta1sa      -1758.243293143493  -1758.1734228484468 0.00023434611788147798
1am1ma2msa1nta      -1761.5941696573573 -1761.5189631631379 0.00025224381760652277
2am1nta2sa          -1794.1605071146778 -1794.0908983877455 0.00023346881412798727
1am1ma1msa1nta1sa   -1797.5166937252964 -1797.4435670048524 0.00024526822218321246
2ma2msa1nta         -1800.8671831074093 -1800.7885844334996 0.0002636212440369135 
1am1dma2msa1nta     -1800.8685520437398 -1800.7925054137431 0.0002550616468110988 
1am1ma1nta2sa       -1833.4335102244152 -1833.3604543139613 0.00024503072431240837
2ma1msa1nta1sa      -1836.7892563646997 -1836.7120774427406 0.00025885937266183624
1am1dma1msa1nta1sa  -1836.7934280205484 -1836.7168999980486 0.00025667624517786635
1am2msa1nta1tma     -1840.1360615872934 -1840.0578486624352 0.0002623274353788311 
1dma1ma2msa1nta     -1840.1417783652723 -1840.0620835428351 0.00026729774421323325
1am1eda2msa1nta     -1856.2055492339716 -1856.1284673157736 0.00025853402045255164
