#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am1nta             -337.00651846483805 -336.96886931984915 0.0001262758510442277 
1ma1nta             -376.20782782825404 -376.16731510046486 0.0001358803548183814 
2am1nta             -393.46099283308143 -393.4176146963587  0.00014549098347399516
1dma1nta            -415.4153710990814  -415.3715870302773  0.0001468524863463045 
1am1ma1nta          -432.667333411717   -432.6207817675328  0.00015613497965510557
1nta1tma            -454.6249057038653  -454.5793531678325  0.0001527839544956615 
1eda1nta            -470.6834232902997  -470.6381226618735  0.00015193905224280478
2ma1nta             -471.8686946175288  -471.8177462794129  0.0001708815633599751 
1am1dma1nta         -471.87820191959275 -471.82819503582033 0.00016772391002010587
1dma1ma1nta         -511.0789992503487  -511.0261701353663  0.0001771897198802203 
1am1nta1tma         -511.083692428869   -511.031106626444   0.00017637364556445564
1am1eda1nta         -527.1452037133988  -527.0935259927942  0.00017332792421479736
1ma1nta1tma         -550.282842841982   -550.2285322428985  0.0001821586419030935 
2dma1nta            -550.2860404622601  -550.2297056685389  0.00018894782398527407
2nta                -561.0728686938581  -561.0299635201653  0.00014390465769851765
1eda1ma1nta         -566.3458141072945  -566.2910716122931  0.00018360722790999198
1dma1nta1tma        -589.4942262777839  -589.4363144432085  0.0001942372449292709 
1dma1eda1nta        -605.5569077617315  -605.4991602541234  0.0001936860895795303 
1am2nta             -617.5376779937711  -617.4884076499155  0.00016525354303355695
1nta2tma            -628.698757727975   -628.6378360244402  0.00020433239488383835
1eda1nta1tma        -644.7614529978983  -644.7008620000864  0.00020322320245511573
1ma2nta             -656.7462577593013  -656.6952855089991  0.0001709617652265267 
2eda1nta            -660.8235024390652  -660.7658160335683  0.0001934811520944977 
2am2nta             -674.014648983506   -673.9600438966372  0.00018314635877450983
1dma2nta            -695.957664261251   -695.904123990488   0.00017957494805622914
1am1ma2nta          -713.2230673107989  -713.1668231807847  0.00018864373642172165
2nta1tma            -735.1688113519475  -735.1120525186769  0.00019037005960246588
1eda2nta            -751.2269420160369  -751.1711590095629  0.00018709712048955442
2ma2nta             -752.4300646186108  -752.3706227067593  0.00019936914925939846
1am1dma2nta         -752.4377850842978  -752.377904294263   0.00020084115389834312
1am2nta1tma         -791.6399278974341  -791.5750863968126  0.0002174794587338593 
1dma1ma2nta         -791.6445082333315  -791.58109804667    0.0002126788081886343 
1am1eda2nta         -807.7001296494936  -807.6396357439539  0.00020289755337890602
1ma2nta1tma         -830.8444246499241  -830.7799008295219  0.00021641395405763803
2dma2nta            -830.8641560165194  -830.7984666009773  0.00022032337931190307
1eda1ma2nta         -846.9111079151635  -846.846861581758   0.00021548325810989227
1dma2nta1tma        -870.0567104186474  -869.9878801510805  0.0002308578486230172 
1dma1eda2nta        -886.1218893714803  -886.0546043055148  0.00022567521705701442
2nta2tma            -909.2584364598026  -909.1879793419942  0.00023631433106978265
1eda2nta1tma        -925.3257599848508  -925.2565626319687  0.0002320890588027921 
2eda2nta            -941.3859009390417  -941.3163869828932  0.00023315095136122567
1msa1nta            -944.0692713963213  -944.0218567316333  0.00015902956460818034
1nta1sa             -979.9885614581946  -979.9423088998682  0.00015513184077247134
1am1msa1nta         -1000.5403692150876 -1000.487930001548  0.00017588198403400117
1am1nta1sa          -1036.4630054805693 -1036.4120103633672 0.00017103846118423992
1ma1msa1nta         -1039.7497878274203 -1039.6937785378486 0.00018785607771867663
2am1msa1nta         -1057.0197063102146 -1056.9608601419332 0.000197371015534805  
1ma1nta1sa          -1075.6724642629954 -1075.616256194435  0.00018852278571207206
1dma1msa1nta        -1078.9617094879766 -1078.9031346855597 0.00019646084996450964
2am1nta1sa          -1092.937418026481  -1092.8807872272703 0.00018994063126279872
1am1ma1msa1nta      -1096.2271031113926 -1096.1656662018984 0.0002060604041393183 
1dma1nta1sa         -1114.8838614441315 -1114.8257493126657 0.00019490904399144035
1msa1nta1tma        -1118.171716313543  -1118.1112494551924 0.00020280683666100256
1am1ma1nta1sa       -1132.153170973507  -1132.0904840519545 0.0002102529651269533 
1eda1msa1nta        -1134.2308640903827 -1134.1724324398444 0.00019598071621128   
