#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
2am         -112.92140946706989 -112.88628194031706 0.0001178183020385581 
1am1ma      -152.11913810463602 -152.08119123268955 0.000127274432153275  
2ma         -191.31829157273427 -191.27794539194963 0.00013532175342814893
1am1dma     -191.32521556391976 -191.28466140605383 0.0001360193119769358 
1dma1ma     -230.52488799163552 -230.48051566774592 0.0001488255035707257 
1am1tma     -230.53606668261733 -230.4933859913889  0.00014315173982379828
1am1eda     -246.594485058393   -246.55325120699894 0.00013829901524106802
2dma        -269.730260731292   -269.6843695372463  0.00015391981903649255
1ma1tma     -269.7347645939031  -269.6890848850092  0.00015321049436168053
1eda1ma     -285.7937987394531  -285.749172223532   0.0001496780678221309 
1dma1tma    -308.9399753222978  -308.89174344814427 0.00016177049858642192
1dma1eda    -324.99956445945105 -324.9523018206515  0.00015851966728011463
2tma        -348.1471814828038  -348.09556323532894 0.0001731284503597833 
1eda1tma    -364.2086899393914  -364.1573114965558  0.00017232414165883658
2eda        -380.26892125360246 -380.220826388353   0.00016131096847037203
1am1sa      -755.9210580662518  -755.8800054367016  0.0001376911941980377 
1ma1sa      -795.1239797875788  -795.0795317053609  0.00014907959824922372
2am1sa      -812.3913304207399  -812.3425579055354  0.000163583817556745  
1dma1sa     -834.3364106850249  -834.2882505154028  0.0001615300004101127 
1am1ma1sa   -851.59217486189    -851.542508340709   0.00016658232829448703
1sa1tma     -873.5473807212139  -873.4978471519322  0.00016613640543851354
1eda1sa     -889.6038576115249  -889.5557447202387  0.00016137142809344982
2ma1sa      -890.7935662020778  -890.7402721298214  0.00017874919421950617
1am1dma1sa  -890.8031824362359  -890.7495716925326  0.00017981131545687134
1dma1ma1sa  -930.0048245805734  -929.9486805629564  0.00018830795779640355
1am1sa1tma  -930.0127706911884  -929.9567801926399  0.0001877930523174225 
1am1eda1sa  -946.071019198204   -946.015495059191   0.0001862288747713804 
2dma1sa     -969.2115727060209  -969.1518058378763  0.00020045905800658724
1ma1sa1tma  -969.2127892961063  -969.1550797757142  0.00019355867983278857
1eda1ma1sa  -985.2727663349725  -985.2143594573057  0.00019589762759258196
1dma1sa1tma -1008.4206166990447 -1008.358636602511  0.0002078822623974769 
1dma1eda1sa -1024.4873549096321 -1024.4266465948006 0.0002036166856665232 
1sa2tma     -1047.6306535300523 -1047.5676472813557 0.00021132399361610928
1eda1sa1tma -1063.6909217745485 -1063.6279025649435 0.0002113674647147479 
2eda1sa     -1079.752328730492  -1079.6895836667854 0.0002104479748671593 
2sa         -1398.9057260488453 -1398.8563202306186 0.00016570792630154723
1am2sa      -1455.3954859010114 -1455.3398334951212 0.00018665908398385282
1ma2sa      -1494.5998889324528 -1494.543642068059  0.00018865290757450094
2am2sa      -1511.8664941628476 -1511.8065164649329 0.0002011661845207406 
1dma2sa     -1533.8134022393    -1533.7531387407475 0.00020212476455780385
1am1ma2sa   -1551.0736390773754 -1551.011567494489  0.00020818910912801534
2sa1tma     -1573.0230512668943 -1572.9595580555294 0.00021295727440846427
1eda2sa     -1589.0804967576778 -1589.0183038420819 0.0002085960610297021 
2ma2sa      -1590.2881685474604 -1590.221007353353  0.00022525974880977122
1am1dma2sa  -1590.29294859269   -1590.2236560058489 0.0002324084750670841 
1dma1ma2sa  -1629.4955248650604 -1629.4254708748376 0.00023496223452163556
1am2sa1tma  -1629.500712318778  -1629.4296193164173 0.00023844709830834023
1am1eda2sa  -1645.5572517639607 -1645.4888748126937 0.00022933741830286116
1ma2sa1tma  -1668.7031255441814 -1668.6316634918974 0.0002396848978160744 
2dma2sa     -1668.710652189966  -1668.6396026354691 0.00023830137345893918
1eda1ma2sa  -1684.7674808608924 -1684.6945659593682 0.0002445577780453933 
1dma2sa1tma -1707.9128842571606 -1707.8394733645607 0.00024622134026282613
1dma1eda2sa -1723.974911930267  -1723.9032820672041 0.00024024773792640015
2sa2tma     -1747.1272426817352 -1747.0502251378196 0.0002583181080512872 
1eda2sa1tma -1763.1873572589031 -1763.110729684967  0.00025701014233143153
2eda2sa     -1779.2442073303293 -1779.1695150390312 0.0002505191725584192 
