#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am1fa             -246.23826947775953 -246.20220309676705 0.00012096723458818805
1fa1ma             -285.5045119560119  -285.46490065825736 0.00013285694366775718
2am1fa             -302.76735581455125 -302.72425278363875 0.00014456827406516033
1dma1fa            -324.77608253738947 -324.7333657001495  0.00014327297414058117
1am1fa1ma          -342.032568521634   -341.98578651928995 0.00015690760470922212
1fa1tma            -364.0499911275413  -364.005706205019   0.00014853235794843567
2fa                -379.4131701443304  -379.3746439503548  0.00012921748775984892
1eda1fa            -380.1098863571329  -380.06610605831474 0.00014683984175123947
1fa2ma             -381.2985240269605  -381.2495682831651  0.00016419836926171512
1am1dma1fa         -381.3019401505286  -381.2531373312881  0.0001636854577914102 
1dma1fa1ma         -420.57075153885535 -420.51823852671714 0.0001761295057460581 
1am1fa1tma         -420.57446403706194 -420.52233989957176 0.000174825213785571  
1am2fa             -435.9446847035971  -435.89778675720333 0.00015729648295734262
1am1eda1fa         -436.63749314356386 -436.5860289190604  0.00017261185478265097
2dma1fa            -459.8380661257744  -459.782889222376   0.0001850642408128914 
1fa1ma1tma         -459.84084646553237 -459.78685880373394 0.00018107550494196568
1fa1nta            -470.5146433599581  -470.47403343395644 0.00013620635922066254
2fa1ma             -475.211631483187   -475.1623532181262  0.00016528011088638847
1eda1fa1ma         -475.9027910274376  -475.8483361944782  0.00018264240469380356
2am2fa             -492.473850987345   -492.41944161490716 0.00018248992935708164
1dma1fa1tma        -499.1105813393959  -499.05291781452166 0.0001934044101098058 
1dma2fa            -514.4847513991591  -514.4338005911127  0.00017088984754781212
1dma1eda1fa        -515.174852321367   -515.1179571114795  0.00019082746901702608
1am2fa1ma          -531.7411435068339  -531.68502269949    0.000188230110158839  
1fa2tma            -538.3815113062784  -538.3214114054626  0.0002015760550587299 
2fa1tma            -553.7520533370296  -553.6978237545699  0.00018188691081578038
1eda1fa1tma        -554.4456418427784  -554.3860386429183  0.00019991011189054024
1eda2fa            -569.817130274466   -569.7640210252167  0.00017812929481550427
2eda1fa            -570.5068876799542  -570.4487465878929  0.00019500617830394928
2fa2ma             -571.0092464377113  -570.9512707808385  0.00019445130596286764
1am1dma2fa         -571.0157441197028  -570.957698030453   0.00019468753731276072
1dma2fa1ma         -610.2802499001241  -610.2190835024586  0.00020515310302036624
1am2fa1tma         -610.2810939542934  -610.2200124571496  0.0002048683452753116 
1am1eda2fa         -626.348139462277   -626.2886870335292  0.00019940442310175736
2fa1ma1tma         -649.5529600571026  -649.4898746279385  0.00021158956620525581
2dma2fa            -649.5598305237538  -649.4960135487562  0.0002140431829534658 
1eda2fa1ma         -665.6145595814506  -665.5525421207891  0.00020800758229581412
1dma2fa1tma        -688.8208890307243  -688.7538094330395  0.00022498607306670272
1dma1eda2fa        -704.8921007852275  -704.8264322844847  0.00022025323073244206
2fa2tma            -728.0882200194261  -728.0197890855868  0.00022951847673739273
1eda2fa1tma        -744.1568137943353  -744.0894050265382  0.00022609011503298642
2eda2fa            -760.221328870196   -760.1543553155279  0.00022463040304567176
1fa1msa            -853.910890243593   -853.8659700060384  0.00015066321500788754
1fa1sa             -889.8269219078209  -889.7829841134092  0.00014736808456031726
1am1fa1msa         -910.452290424447   -910.4011683696388  0.00017146421200165863
1am1fa1sa          -946.3697306129606  -946.3194906922823  0.0001685055196317435 
1fa1ma1msa         -949.7248739936998  -949.6699759541325  0.00018412892694068614
2am1fa1msa         -966.98897275381    -966.9324581068785  0.00018955105460865957
1fa1ma1sa          -985.6438971391578  -985.5905610319311  0.00017889018020043906
1dma1fa1msa        -988.9992827426224  -988.9423479112168  0.00019096036024021922
2am1fa1sa          -1002.9084203244211 -1002.8517294310425 0.0001901421880885778 
1am1fa1ma1msa      -1006.2611430361319 -1006.2004106122403 0.00020369754785048622
1dma1fa1sa         -1024.9193496544085 -1024.8629232654553 0.00018925503589904016
1fa1msa1tma        -1028.265867897955  -1028.2063554937895 0.0001996055816387411 
1am1fa1ma1sa       -1042.1796331120051 -1042.1203194488369 0.00019893900106784191
1eda1fa1msa        -1044.3317508941766 -1044.2730221258064 0.00019697725430206238
1fa2ma1msa         -1045.5300603032124 -1045.466355943221  0.00021366547037190964
1am1dma1fa1msa     -1045.5327167637492 -1045.4700133068407 0.00021030842498295153
1fa1sa1tma         -1064.1892430744151 -1064.1313198630462 0.00019427540288088004
1eda1fa1sa         -1080.2531095912655 -1080.1945486980953 0.0001964141981220762 
1fa2ma1sa          -1081.4479760040729 -1081.383705792644  0.00021556334539298976
1am1dma1fa1sa      -1081.4545019378243 -1081.3925006491668 0.00020795334112839626
1am1fa1msa1tma     -1084.7984040464335 -1084.7320829425664 0.0002224420723360548 
1dma1fa1ma1msa     -1084.8045734080858 -1084.7375992035713 0.00022463258264104755
1am1eda1fa1msa     -1100.8672841077228 -1100.8021879360647 0.00021833362957588998
1dma1fa1ma1sa      -1120.7212646566281 -1120.6560634040484 0.00021868607271421686
1am1fa1sa1tma      -1120.7219489533063 -1120.6571170670402 0.0002174472120279839 
1fa1ma1msa1tma     -1124.0701494204125 -1124.0014748964254 0.00023033548209671685
1am1eda1fa1sa      -1136.7875044273585 -1136.7238695325213 0.0002134324831032399 
1eda1fa1ma1msa     -1140.1404407774269 -1140.0749904491763 0.00021952147660747   
