#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am1fa             -245.97076526358757 -245.93469888259506 0.00012096723458818805
1fa1ma             -285.171465854717   -285.13185455696237 0.00013285694366775718
2am1fa             -302.4302280073973  -302.38712497648476 0.00014456827406516033
1dma1fa            -324.37850261140056 -324.3357857741605  0.00014327297414058117
1am1fa1ma          -341.630020729865   -341.5832387275209  0.00015690760470922212
1fa1tma            -363.58911336021436 -363.5448284376921  0.00014853235794843567
2fa                -379.0158536037354  -378.9773274097598  0.00012921748775984892
1eda1fa            -379.64766424721483 -379.60388394839674 0.00014683984175123947
1fa2ma             -380.83068932862943 -380.781733584834   0.00016419836926171512
1am1dma1fa         -380.8360945663162  -380.7851620358341  0.00017082854429686166
1dma1fa1ma         -420.03805394696036 -419.98554093482215 0.0001761295057460581 
1am1fa1tma         -420.04414094728696 -419.9920168097968  0.000174825213785571  
1am2fa             -435.47711055573114 -435.4302126093374  0.00015729648295734262
1am1eda1fa         -436.1060637789349  -436.0545995544315  0.00017261185478265097
2dma1fa            -459.24150017211133 -459.186323268713   0.0001850642408128914 
1fa1ma1tma         -459.24496608514943 -459.19097842335094 0.00018107550494196568
1fa1nta            -470.0452296005421  -470.0046196745405  0.00013620635922066254
2fa1ma             -474.67846561467104 -474.6291873496102  0.00016528011088638847
1eda1fa1ma         -475.3057451449905  -475.2512903120311  0.00018264240469380356
2am2fa             -491.936410784393   -491.8820014119552  0.00018248992935708164
1dma1fa1tma        -498.4504467892288  -498.3927832643546  0.0001934044101098058 
1dma2fa            -513.8860690537701  -513.8351182457236  0.00017088984754781212
1dma1eda1fa        -514.5136390649768  -514.4567438550894  0.00019082746901702608
1am2fa1ma          -531.138083125215   -531.0819623178709  0.000188230110158839  
1fa2tma            -537.6589440918374  -537.5988441910217  0.0002015760550587299 
2fa1tma            -553.0912659210226  -553.037036338563   0.00018188691081578038
1eda1fa1tma        -553.7207528694094  -553.6611496695491  0.00019991011189054024
1eda2fa            -569.1532319072811  -569.1001226580319  0.00017812929481550427
2eda1fa            -569.7808301423242  -569.7226890502629  0.00019500617830394928
2fa2ma             -570.3391606795061  -570.2799138627942  0.00019871479695416413
1am1dma2fa         -570.347235703485   -570.289189614235   0.00019468753731276072
1dma2fa1ma         -609.547803272347   -609.4864478162715  0.00020578720803445408
1am2fa1tma         -609.5521292175415  -609.4910477203975  0.0002048683452753116 
1am1eda2fa         -625.613993165955   -625.5539167008994  0.00020149745113437394
2fa1ma1tma         -648.7556580350125  -648.6925726058486  0.00021158956620525581
2dma2fa            -648.7610731715409  -648.6972561965432  0.0002140431829534658 
1eda2fa1ma         -664.815385008286   -664.7516991782837  0.00021360332048352728
1dma2fa1tma        -687.9600536532532  -687.8929740555684  0.00022498607306670272
1dma1eda2fa        -704.0276077769845  -703.9619392762418  0.00022025323073244206
2fa2tma            -727.1654127525002  -727.0969818186608  0.00022951847673739273
1eda2fa1tma        -743.2303438846403  -743.1631098067936  0.00022550420206807575
2eda2fa            -759.2914910190899  -759.2245174644219  0.00022463040304567176
1fa1msa            -853.0410620198402  -852.9961417822853  0.00015066321500788754
1fa1sa             -888.9618728596499  -888.9179350652382  0.00014736808456031726
1am1fa1msa         -909.511657295937   -909.4605352411287  0.00017146421200165863
1am1fa1sa          -945.4340543593506  -945.3833930486809  0.0001699188685892007 
1fa1ma1msa         -948.7190263397378  -948.6641283001703  0.00018412892694068614
2am1fa1msa         -965.9779973095789  -965.9214826626475  0.00018955105460865957
1fa1ma1sa          -984.6417496311107  -984.588413523884   0.00017889018020043906
1dma1fa1msa        -987.9300312001045  -987.8730963686988  0.00019096036024021922
2am1fa1sa          -1001.901013539272  -1001.8443226458936 0.0001901421880885778 
1am1fa1ma1msa      -1005.1855426387748 -1005.124810214883  0.00020369754785048622
1dma1fa1sa         -1023.8532011782866 -1023.7967747893333 0.00018925503589904016
1fa1msa1tma        -1027.1344257480612 -1027.0749133438956 0.0001996055816387411 
1am1fa1ma1sa       -1041.10801470117   -1041.0487010380018 0.00019893900106784191
1eda1fa1msa        -1043.1969520222979 -1043.1382232539277 0.00019697725430206238
1fa2ma1msa         -1044.3872825422895 -1044.3235781822978 0.00021366547037190964
1fa1sa1tma         -1063.0607684921292 -1063.00284528076   0.00019427540288088004
1eda1fa1sa         -1079.1215402608855 -1079.0629793677153 0.0001964141981220762 
1fa2ma1sa          -1080.3109192399802 -1080.246649028551  0.00021556334539298976
1am1dma1fa1sa      -1080.3180925258305 -1080.2550923149868 0.00021130374255824512
1am1fa1msa1tma     -1083.5961263926547 -1083.5298451959566 0.00022230822303674885
1dma1fa1ma1msa     -1083.598659443929  -1083.5316852394142 0.00022463258264104755
1am1eda1fa1msa     -1099.6632391892545 -1099.5981430175966 0.00021833362957588998
1dma1fa1ma1sa      -1119.5203309851854 -1119.4551297326057 0.00021868607271421686
1fa1ma1msa1tma     -1122.8014182476313 -1122.732743723644  0.00023033548209671685
1am1eda1fa1sa      -1135.5865557873155 -1135.5229208924782 0.0002134324831032399 
1fa1ma1sa1tma      -1158.727142088158  -1158.6589408217033 0.00022874816855520926
2dma1fa1sa         -1158.7295286196456 -1158.6628490359492 0.00022364441957599288
1dma1fa1msa1tma    -1162.0055909371295 -1161.9345487596925 0.0002382766306797983 
1eda1fa1ma1sa      -1174.7877768138958 -1174.7215112642918 0.00022225574242563703
1dma1eda1fa1msa    -1178.0274612802177 -1177.9546338862829 0.0002442642761519452 
1dma1fa1sa1tma     -1197.9394093460517 -1197.870470418857  0.00023122229480192246
1fa1msa2tma        -1201.2073100249238 -1201.1306572572682 0.0002570946424808956 
1dma1eda1fa1sa     -1213.9982475640102 -1213.9295909501259 0.0002302754113179123 
1eda1fa1msa1tma    -1217.2404274222151 -1217.1667253496096 0.00024719796278864715
2eda1fa1msa        -1233.298924018715  -1233.2267025117765 0.0002422321212100966 
1fa1sa2tma         -1237.14390965156   -1237.0723494031013 0.00024001424940253463
1eda1fa1sa1tma     -1253.2045250252886 -1253.133816758163  0.00023715669000668748
2eda1fa1sa         -1269.2645497804192 -1269.1946476287612 0.00023445296548129133
2am1fa2msa         -1629.5320468302016 -1629.4617149379965 0.00023589432233634883
2am1fa1msa1sa      -1665.4588314399891 -1665.3916832621037 0.00022521609218757483
1am1fa1ma2msa      -1668.7410732912992 -1668.6675597545288 0.00024656561049886546
2am1fa2sa          -1701.3807479361185 -1701.3134834766724 0.00022560610245369773
1am1fa1ma1msa1sa   -1704.6689201144613 -1704.5971506438145 0.00024071598405805928
1fa2ma2msa         -1707.947088792002  -1707.869665208867  0.0002596799702660369 
1am1dma1fa2msa     -1707.9532941112143 -1707.8766946824971 0.00025691574280501105
1am1fa1ma2sa       -1740.5895876485336 -1740.5181078638864 0.00023974437245334745
1fa2ma1msa1sa      -1743.875554119049  -1743.8004241739295 0.0002519870706669778 
1am1dma1fa1msa1sa  -1743.8803079263155 -1743.8064244471282 0.00024780640344375176
1am1fa2msa1tma     -1747.152417266412  -1747.0734084890485 0.00026499673776060855
1dma1fa1ma2msa     -1747.1606033756013 -1747.0808000354257 0.00026766171449139447
