Number of files in database_s1.pkl: 30317
Number of files in database_s2.pkl: 30316
Example output:
info  cluster_type                                                                          1am
      component_ratio                                                                       [1]
      components                                                                           [am]
      file_basename                                                                       1am-3
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_II/GF...
log   NAtoms                                                                                NaN
      charge                                                                                NaN
      dipole_moment                                                                         NaN
      dipole_moments                                                                        NaN
      electronic_energy                                                               -4.829565
      energy_thermal_correction                                                             NaN
      enthalpy_energy                                                                       NaN
      enthalpy_thermal_correction                                                           NaN
      entropy                                                                               NaN
      gibbs_free_energy                                                                     NaN
      gibbs_free_energy_thermal_correction                                                  NaN
      internal_energy                                                                       NaN
      method                                                                          !_sp_xtb1
      moments_of_inertia                                                                    NaN
      mulliken_charges                                                                      NaN
      multiplicity                                                                          NaN
      polarizability                                                                        NaN
      pressure                                                                              NaN
      program                                                                        ORCA_5.0.0
      rotational_constant                                                                   NaN
      rotational_constants                                                                  NaN
      rotational_symmetry_number                                                            NaN
      sp_electronic_energy                                                            -4.829565
      temperature                                                                           NaN
      termination                                                                             1
      vibrational_frequencies                                                               NaN
      zero_point_correction                                                                 NaN
      zero_point_energy                                                                     NaN
xyz   structure                               (Atom('H', [-1.07247, -1.06426, -1.47692], ind...
Name: 0, dtype: object
Number of files in mydatabase.pkl: 60633
1am-3               -4.82956467864 
1am-4               -4.82996602888 
1am-5               -4.82958276846 
1am-2               -4.82945419366 
1am-1               -4.83041985588 
1am-6               -4.82923180423 
1am-8               -4.82979024832 
1am-10              -4.83028969981 
1am-11              -4.82933555985 
1am-9               -4.82937612313 
1am-7               -4.82912792922 
1dma-2              -11.18647286415
1dma-5              -11.18084863546
1dma-4              -11.17723241874
1dma-3              -11.18740251285
1dma-11             -11.18360004134
1dma-7              -11.18559345282
1dma-9              -11.18715444014
1dma-10             -11.18516398697
1dma-8              -11.1881825591 
1dma-6              -11.18472256248
1dma-1              -11.19092869768
1eda-6              -14.94096067219
1eda-1              -14.94883995599
1eda-8              -14.93932088322
1eda-11             -14.9408048983 
1eda-9              -14.94211634009
1eda-7              -14.94298457526
1eda-10             -14.94039371273
1eda-4              -14.93806403017
1eda-3              -14.9414611127 
1eda-2              -14.93692620433
1eda-5              -14.93985844182
1ma-1               -8.00889485013 
1ma-6               -8.0062082112  
1ma-8               -8.00489825168 
1ma-9               -8.00472966838 
1ma-7               -8.00367796144 
1ma-10              -8.004146867   
1ma-3               -8.00355507654 
1ma-4               -8.00469349142 
1ma-5               -8.00666179365 
1ma-2               -8.00403669506 
1ma-11              -8.00357937169 
1msa1am1dma-6_3     -38.0290610256 
1msa1am1dma-12_7    -38.00077548221
1msa1am1dma-20_5    -38.00244959005
1msa1am1dma-19_3    -38.01217529883
1msa1am1dma-21_11   -38.00149449995
1msa1am1dma-1_9     -38.03597361353
1msa1am1dma-27_8    -37.98641568382
1msa1am1dma-6_4     -38.02231628895
1msa1am1dma-20_2    -38.01092653556
1msa1am1dma-19_4    -38.00975118234
1msa1am1dma-27_6    -37.97701623272
1msa1am1dma-15_4    -38.0082809892 
1msa1am1dma-12_9    -37.9986485287 
1msa1am1dma-12_10   -38.0022112118 
1msa1am1dma-27_1    -38.01216600766
1msa1am1dma-15_3    -38.00938428029
1msa1am1dma-1_7     -38.03193221231
1msa1am1dma-31_8    -37.99549677465
1msa1am1dma-3_1     -38.04110461263
1msa1am1dma-17_5    -38.00537017796
1msa1am1dma-25_7    -38.01026253861
1msa1am1dma-8_5     -38.02492543027
1msa1am1dma-25_10   -38.0017845051 
