Number of files in database_s1.pkl: 30317
Number of files in database_s2.pkl: 30316
Example output:
info  cluster_type                                                                          1am
      component_ratio                                                                       [1]
      components                                                                           [am]
      file_basename                                                                       1am-9
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_II/r2...
log   NAtoms                                                                                  4
      charge                                                                                  0
      dipole_moment                                                                     1.44646
      dipole_moments                          [0.08776076613395145, 0.041631084543125536, -1...
      electronic_energy                                                              -56.540258
      energy_thermal_correction                                                             NaN
      enthalpy_energy                                                                       NaN
      enthalpy_thermal_correction                                                           NaN
      entropy                                                                               NaN
      gibbs_free_energy                                                                     NaN
      gibbs_free_energy_thermal_correction                                                  NaN
      internal_energy                                                                       NaN
      method                                                                     !_r2scan-3c_sp
      moments_of_inertia                                                                    NaN
      mulliken_charges                                 [0.251546, 0.260778, 0.25672, -0.769043]
      multiplicity                                                                            1
      polarizability                                                                        NaN
      pressure                                                                              NaN
      program                                                                        ORCA_5.0.0
      rotational_constant                                                            477.437987
      rotational_constants                        [314.783768699, 304.822162115, 189.582858359]
      rotational_symmetry_number                                                            NaN
      sp_electronic_energy                                                           -56.540258
      temperature                                                                           NaN
      termination                                                                             1
      vibrational_frequencies                                                               NaN
      zero_point_correction                                                                 NaN
      zero_point_energy                                                                     NaN
xyz   structure                               (Atom('H', [-0.72311, -6.14831, -3.80754], ind...
Name: 0, dtype: object
Number of files in mydatabase.pkl: 60633
1am-9               -56.540258349401  
1am-7               -56.540310087896  
1am-11              -56.540096235501  
1am-1               -56.541594601842  
1am-6               -56.540484929802  
1am-8               -56.541165220153  
1am-10              -56.54112719179   
1am-5               -56.540637024267  
1am-2               -56.540145998582  
1am-3               -56.540395873663  
1am-4               -56.540674740635  
1dma-9              -135.105506093526 
1dma-7              -135.105721718559 
1dma-1              -135.112745255968 
1dma-6              -135.103364800374 
1dma-8              -135.108837393958 
1dma-5              -135.097143118912 
1dma-2              -135.107353196143 
1dma-11             -135.101044606926 
1dma-3              -135.10637180015  
1dma-4              -135.092899491485 
1dma-10             -135.104343014021 
1eda-9              -190.454446194823 
1eda-7              -190.456382828998 
1eda-1              -190.465003330939 
1eda-6              -190.453282093979 
1eda-8              -190.454160476938 
1eda-5              -190.454590198424 
1eda-2              -190.447207065201 
1eda-10             -190.451420071738 
1eda-3              -190.453541289205 
1eda-4              -190.452064148314 
1eda-11             -190.456511084717 
1ma-5               -95.819718405463  
1ma-2               -95.819598371704  
1ma-3               -95.81627504282   
1ma-4               -95.818031392666  
1ma-7               -95.81764104338   
1ma-9               -95.816998106858  
1ma-11              -95.816723803374  
1ma-8               -95.819254552037  
1ma-1               -95.823970069877  
1ma-6               -95.821405483804  
1ma-10              -95.817977762805  
1msa1am1dma-22_9    -855.926966694153 
1msa1am1dma-25_3    -855.917301115027 
1msa1am1dma-17_1    -855.961143556437 
1msa1am1dma-27_11   -855.908404243933 
1msa1am1dma-9_4     -855.93810089341  
1msa1am1dma-25_4    -855.926072363952 
1msa1am1dma-17_6    -855.928774826009 
1msa1am1dma-9_3     -855.932304270706 
1msa1am1dma-2_7     -855.95737997787  
1msa1am1dma-19_10   -855.921982047217 
1msa1am1dma-17_8    -855.924191079152 
1msa1am1dma-31_5    -855.915787067369 
1msa1am1dma-2_9     -855.943093299138 
1msa1am1dma-10_2    -855.920833378933 
1msa1am1dma-29_4    -855.918062431178 
1msa1am1dma-3_10    -855.943786853803 
1msa1am1dma-5_3     -855.940718915557 
1msa1am1dma-10_5    -855.917694981247 
1msa1am1dma-29_3    -855.931507857823 
1msa1am1dma-22_7    -855.928975349333 
1msa1am1dma-5_4     -855.936764610187 
1msa1am1dma-14_10   -855.929260618563 
1msa1am1dma-31_2    -855.92403502097  
1msa1am1dma-31_11   -855.914706981559 
1msa1am1dma-23_10   -855.921268352458 
1msa1am1dma-15_9    -855.915122197297 
1msa1am1dma-7_2     -855.932004365967 
1msa1am1dma-19_7    -855.923805454238 
1msa1am1dma-20_1    -855.960784894503 
1msa1am1dma-12_3    -855.923694911905 
1msa1am1dma-7_5     -855.934350811786 
1msa1am1dma-20_6    -855.927326443933 
1msa1am1dma-12_4    -855.924351118283 
1msa1am1dma-7_11    -855.930859963719 
1msa1am1dma-20_8    -855.923438324592 
1msa1am1dma-27_2    -855.908355056557 
1msa1am1dma-15_7    -855.925937060116 
1msa1am1dma-27_5    -855.91923296122  
1msa1am1dma-10_11   -855.926750886686 
1msa1am1dma-19_9    -855.925835397945 
1msa1am1dma-16_1    -855.961250304051 
1msa1am1dma-24_3    -855.91735884303  
1msa1am1dma-8_4     -855.935542080099 
1msa1am1dma-23_9    -855.923927528732 
1msa1am1dma-25_11   -855.92614836953  
1msa1am1dma-16_6    -855.925604131341 
1msa1am1dma-24_4    -855.921365495128 
1msa1am1dma-3_7     -855.940174139807 
1msa1am1dma-8_3     -855.935004528227 
1msa1am1dma-28_4    -855.912401412232 
1msa1am1dma-11_2    -855.912569382921 
1msa1am1dma-16_10   -855.932260701258 
1msa1am1dma-4_3     -855.93474954663  
1msa1am1dma-16_8    -855.928795613388 
1msa1am1dma-3_9     -855.946545776927 
1msa1am1dma-30_5    -855.924515071749 
1msa1am1dma-30_2    -855.909197469281 
