Number of files in database_s1.pkl: 18835
Number of files in database_s2.pkl: 18834
Example output:
info  cluster_type                                                                          1am
      component_ratio                                                                       [1]
      components                                                                           [am]
      file_basename                                                                       1am-5
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_III/G...
log   NAtoms                                                                                NaN
      charge                                                                                NaN
      dipole_moment                                                                         NaN
      dipole_moments                                                                        NaN
      electronic_energy                                                               -4.829583
      energy_thermal_correction                                                             NaN
      enthalpy_energy                                                                       NaN
      enthalpy_thermal_correction                                                           NaN
      entropy                                                                               NaN
      gibbs_free_energy                                                                     NaN
      gibbs_free_energy_thermal_correction                                                  NaN
      internal_energy                                                                       NaN
      method                                                                          !_sp_xtb1
      moments_of_inertia                                                                    NaN
      mulliken_charges                                                                      NaN
      multiplicity                                                                          NaN
      polarizability                                                                        NaN
      pressure                                                                              NaN
      program                                                                        ORCA_5.0.0
      rotational_constant                                                                   NaN
      rotational_constants                                                                  NaN
      rotational_symmetry_number                                                            NaN
      sp_electronic_energy                                                            -4.829583
      temperature                                                                           NaN
      termination                                                                             1
      vibrational_frequencies                                                               NaN
      zero_point_correction                                                                 NaN
      zero_point_energy                                                                     NaN
xyz   structure                               (Atom('H', [0.27125, -2.40841, -2.16817], inde...
Name: 0, dtype: object
Number of files in mydatabase.pkl: 37669
1am-5                  -4.82958276846 
1am-2                  -4.82945419366 
1am-10                 -4.83028969981 
1am-11                 -4.82933555985 
1am-3                  -4.82956467864 
1am-4                  -4.82996602888 
1am-9                  -4.82937612313 
1am-7                  -4.82912792922 
1am-1                  -4.83041985588 
1am-6                  -4.82923180423 
1am-8                  -4.82979024832 
1dma-3                 -11.18740251285
1dma-4                 -11.17723241874
1dma-5                 -11.18084863546
1dma-2                 -11.18647286415
1dma-8                 -11.1881825591 
1dma-1                 -11.19092869768
1dma-6                 -11.18472256248
1dma-10                -11.18516398697
1dma-7                 -11.18559345282
1dma-11                -11.18360004134
1dma-9                 -11.18715444014
1eda-2                 -14.93692620433
1eda-5                 -14.93985844182
1eda-4                 -14.93806403017
1eda-3                 -14.9414611127 
1eda-9                 -14.94211634009
1eda-7                 -14.94298457526
1eda-11                -14.9408048983 
1eda-6                 -14.94096067219
1eda-1                 -14.94883995599
1eda-8                 -14.93932088322
1eda-10                -14.94039371273
1ma-10                 -8.004146867   
1ma-2                  -8.00403669506 
1ma-5                  -8.00666179365 
1ma-4                  -8.00469349142 
1ma-3                  -8.00355507654 
1ma-11                 -8.00357937169 
1ma-9                  -8.00472966838 
1ma-7                  -8.00367796144 
1ma-6                  -8.0062082112  
1ma-1                  -8.00889485013 
1ma-8                  -8.00489825168 
1msa-11                -21.9711293112 
1msa-3                 -21.96881708216
1msa-4                 -21.9679083575 
1msa-5                 -21.96733306354
1msa-2                 -21.97120618806
1msa-10                -21.97064321907
1msa-1                 -21.97237608968
1msa-6                 -21.96949077548
1msa-8                 -21.96854466722
1msa-9                 -21.96764063568
1msa-7                 -21.96986734773
1sa1msa1am1dma-52_10   -61.52562263757
1sa1msa1am1dma-118_3   -61.48089510227
1sa1msa1am1dma-121_5   -61.49478425345
1sa1msa1am1dma-77_9    -61.52511017431
1sa1msa1am1dma-113_7   -61.49066270253
1sa1msa1am1dma-77_11   -61.51860513905
1sa1msa1am1dma-68_2    -61.49609007976
1sa1msa1am1dma-95_2    -61.52589575124
1sa1msa1am1dma-18_9    -61.53805024825
1sa1msa1am1dma-51_4    -61.53329593149
1sa1msa1am1dma-119_11  -61.47727681923
1sa1msa1am1dma-63_6    -61.53307608989
1sa1msa1am1dma-107_8   -61.50981171844
1sa1msa1am1dma-70_3    -61.50809875357
1sa1msa1am1dma-49_5    -61.52802985005
1sa1msa1am1dma-89_10   -61.52678019415
1sa1msa1am1dma-37_11   -61.52119709542
1sa1msa1am1dma-5_11    -61.54414806082
1sa1msa1am1dma-5_1     -61.57140799927
1sa1msa1am1dma-42_1    -61.54510720158
1sa1msa1am1dma-86_7    -61.51716022991
1sa1msa1am1dma-14_7    -61.54295125401
1sa1msa1am1dma-100_2   -61.4994851481 
1sa1msa1am1dma-12_10   -61.54601800986
1sa1msa1am1dma-26_5    -61.54282397061
1sa1msa1am1dma-92_8    -61.51108485113
1sa1msa1am1dma-70_4    -61.50414413377
1sa1msa1am1dma-49_2    -61.52441867347
1sa1msa1am1dma-39_9    -61.53107881614
1sa1msa1am1dma-5_6     -61.55012257605
1sa1msa1am1dma-126_8   -61.5206996995 
1sa1msa1am1dma-42_6    -61.53202044481
1sa1msa1am1dma-100_5   -61.49978597588
1sa1msa1am1dma-26_2    -61.5308142386 
1sa1msa1am1dma-132_7   -61.47278565353
1sa1msa1am1dma-56_9    -61.55305723176
1sa1msa1am1dma-92_10   -61.52452763912
1sa1msa1am1dma-118_4   -61.48712892143
1sa1msa1am1dma-102_11  -61.50693542668
1sa1msa1am1dma-35_7    -61.51194452368
1sa1msa1am1dma-121_2   -61.48401695491
1sa1msa1am1dma-9_8     -61.55401329928
1sa1msa1am1dma-68_5    -61.50284826574
1sa1msa1am1dma-127_10  -61.47951006396
1sa1msa1am1dma-95_5    -61.52587626257
1sa1msa1am1dma-21_8    -61.51704488266
1sa1msa1am1dma-51_3    -61.52832930242
1sa1msa1am1dma-49_10   -61.52171692342
1sa1msa1am1dma-63_1    -61.54281331228
1sa1msa1am1dma-114_4   -61.49626610612
1sa1msa1am1dma-39_7    -61.51400828484
1sa1msa1am1dma-42_8    -61.51743007936
1sa1msa1am1dma-126_6   -61.52071296542
1sa1msa1am1dma-5_8     -61.53906850092
1sa1msa1am1dma-32_3    -61.51349503508
1sa1msa1am1dma-8_11    -61.54135107805
1sa1msa1am1dma-64_5    -61.51105853788
1sa1msa1am1dma-99_5    -61.51005762098
1sa1msa1am1dma-84_10   -61.52648399125
1sa1msa1am1dma-56_7    -61.54019519434
1sa1msa1am1dma-132_9   -61.47901546922
1sa1msa1am1dma-92_1    -61.53741700441
1sa1msa1am1dma-81_4    -61.52362980616
1sa1msa1am1dma-45_2    -61.53155108032
1sa1msa1am1dma-35_9    -61.50515057769
1sa1msa1am1dma-2_2     -61.54528084508
1sa1msa1am1dma-9_6     -61.5427200624 
1sa1msa1am1dma-114_11  -61.50548433242
1sa1msa1am1dma-135_3   -61.48846617018
1sa1msa1am1dma-21_6    -61.52326151383
1sa1msa1am1dma-131_10  -61.49208494571
1sa1msa1am1dma-107_1   -61.52875632226
1sa1msa1am1dma-13_4    -61.55086144607
1sa1msa1am1dma-81_3    -61.51970172487
1sa1msa1am1dma-45_5    -61.52763037438
1sa1msa1am1dma-2_5     -61.54670114392
1sa1msa1am1dma-44_10   -61.53069644119
1sa1msa1am1dma-9_1     -61.57029941339
1sa1msa1am1dma-113_9   -61.48836061765
1sa1msa1am1dma-77_7    -61.52820733102
1sa1msa1am1dma-18_7    -61.5446295963 
1sa1msa1am1dma-135_4   -61.49293612962
1sa1msa1am1dma-21_1    -61.54764311422
1sa1msa1am1dma-61_11   -61.5202618467 
1sa1msa1am1dma-107_6   -61.50739030379
1sa1msa1am1dma-63_8    -61.5271795394 
1sa1msa1am1dma-13_3    -61.54730486562
1sa1msa1am1dma-114_3   -61.5067826309 
1sa1msa1am1dma-126_1   -61.50913706154
1sa1msa1am1dma-32_4    -61.52256741822
1sa1msa1am1dma-86_9    -61.53598591733
1sa1msa1am1dma-21_11   -61.52150467554
1sa1msa1am1dma-64_2    -61.52490815282
1sa1msa1am1dma-14_9    -61.54395210426
1sa1msa1am1dma-99_2    -61.50360052957
1sa1msa1am1dma-92_6    -61.5159939891 
1sa1msa1am1dma-16_11   -61.55176464887
1sa1msa1am1dma-54_6    -61.52636232704
1sa1msa1am1dma-130_8   -61.49417302728
1sa1msa1am1dma-66_4    -61.50531481822
1sa1msa1am1dma-33_10   -61.53452665401
1sa1msa1am1dma-1_10    -61.5431347406 
1sa1msa1am1dma-30_2    -61.52543298814
1sa1msa1am1dma-7_9     -61.55949267582
1sa1msa1am1dma-40_9    -61.52947287435
1sa1msa1am1dma-124_7   -61.48602623457
1sa1msa1am1dma-116_5   -61.49087711048
1sa1msa1am1dma-11_5    -61.54650989367
1sa1msa1am1dma-58_8    -61.5188310995 
1sa1msa1am1dma-73_10   -61.51933198921
1sa1msa1am1dma-28_3    -61.51514377513
1sa1msa1am1dma-23_7    -61.54311222275
1sa1msa1am1dma-137_2   -61.48994005371
1sa1msa1am1dma-88_1    -61.53511924068
1sa1msa1am1dma-75_1    -61.53772567308
1sa1msa1am1dma-128_9   -61.51756457873
1sa1msa1am1dma-56_11   -61.55396097443
1sa1msa1am1dma-37_8    -61.51164901969
1sa1msa1am1dma-138_11  -61.49038792777
1sa1msa1am1dma-47_3    -61.51393734272
1sa1msa1am1dma-83_5    -61.51819777002
1sa1msa1am1dma-11_2    -61.53879810506
1sa1msa1am1dma-105_7   -61.52357036313
1sa1msa1am1dma-61_9    -61.51063847615
1sa1msa1am1dma-123_11  -61.49104378614
1sa1msa1am1dma-28_4    -61.5228363231 
1sa1msa1am1dma-137_5   -61.49092826892
1sa1msa1am1dma-88_6    -61.51279001605
1sa1msa1am1dma-111_8   -61.5036357726 
1sa1msa1am1dma-75_6    -61.5177042455 
1sa1msa1am1dma-106_10  -61.51766961736
1sa1msa1am1dma-68_10   -61.51113028187
1sa1msa1am1dma-47_4    -61.52497644766
1sa1msa1am1dma-83_2    -61.52309415463
1sa1msa1am1dma-109_9   -61.505157095  
1sa1msa1am1dma-90_7    -61.52308988463
1sa1msa1am1dma-54_1    -61.54389089234
1sa1msa1am1dma-16_8    -61.55586041312
1sa1msa1am1dma-96_11   -61.52959333927
1sa1msa1am1dma-28_10   -61.51759908018
1sa1msa1am1dma-66_3    -61.50144482967
1sa1msa1am1dma-79_8    -61.5051458077 
1sa1msa1am1dma-84_8    -61.5132605049 
1sa1msa1am1dma-30_5    -61.52429652606
1sa1msa1am1dma-116_2   -61.48563941185
1sa1msa1am1dma-61_7    -61.51873855486
1sa1msa1am1dma-105_9   -61.51716843141
1sa1msa1am1dma-58_1    -61.54095820623
1sa1msa1am1dma-53_5    -61.55004654989
1sa1msa1am1dma-135_11  -61.4804385723 
1sa1msa1am1dma-97_3    -61.51404561669
1sa1msa1am1dma-75_8    -61.51556624876
1sa1msa1am1dma-111_6   -61.49982254115
1sa1msa1am1dma-88_8    -61.51364217753
1sa1msa1am1dma-123_4   -61.48868261438
1sa1msa1am1dma-37_1    -61.5460752376 
1sa1msa1am1dma-110_10  -61.4913124391 
1sa1msa1am1dma-90_9    -61.51830793117
1sa1msa1am1dma-109_7   -61.50557295332
1sa1msa1am1dma-80_11   -61.52596154124
1sa1msa1am1dma-130_1   -61.51005402156
1sa1msa1am1dma-24_4    -61.52218096695
1sa1msa1am1dma-102_3   -61.50365391019
1sa1msa1am1dma-16_6    -61.54406339119
1sa1msa1am1dma-84_6    -61.50547093664
1sa1msa1am1dma-79_6    -61.52414902268
1sa1msa1am1dma-72_2    -61.53753385719
1sa1msa1am1dma-130_6   -61.49236852916
1sa1msa1am1dma-54_8    -61.5106571166 
1sa1msa1am1dma-24_3    -61.52520450277
1sa1msa1am1dma-102_4   -61.50632173659
1sa1msa1am1dma-16_1    -61.56883231345
1sa1msa1am1dma-84_1    -61.5380385301 
1sa1msa1am1dma-79_1    -61.537514365  
1sa1msa1am1dma-124_9   -61.47342445498
1sa1msa1am1dma-40_7    -61.53205591203
1sa1msa1am1dma-7_7     -61.55290330347
1sa1msa1am1dma-25_10   -61.53425342612
1sa1msa1am1dma-72_5    -61.53816422496
1sa1msa1am1dma-58_6    -61.52090241261
1sa1msa1am1dma-53_2    -61.54359431175
1sa1msa1am1dma-23_9    -61.53225479854
1sa1msa1am1dma-97_4    -61.52060601425
1sa1msa1am1dma-65_10   -61.51463905557
1sa1msa1am1dma-111_1   -61.52607018938
1sa1msa1am1dma-128_7   -61.51243312281
1sa1msa1am1dma-123_3   -61.49240999757
1sa1msa1am1dma-37_6    -61.52871611601
