#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
2gd    -410.5590785100913  -410.5129870564308  0.00015459149307554172
3gd    -615.8404707283796  -615.7822810290834  0.00019516920776866187
4gd    -821.134177536121   -821.064857159212   0.0002325016834111089 
1gd1sa -905.4290758671499  -905.3795609473691  0.000166073854706517  
2gd1sa -1110.721965811438  -1110.6620335976206 0.00020101363011019   
3gd1sa -1316.0160641032655 -1315.9443754083768 0.00024044506083766481
2sa    -1400.2381227857643 -1400.1897407957129 0.00016227398977509475
4gd1sa -1521.3096371542804 -1521.2313030957803 0.0002627337196043097 
1gd2sa -1605.5723382625883 -1605.512711521268  0.00019998907033429164
2gd2sa -1810.9010437609304 -1810.8266256433922 0.0002495995892610721 
3gd2sa -2016.2026905465023 -2016.1216380900905 0.00027185127087633583
3sa    -2100.3609744214773 -2100.299397205725  0.000206530993634378  
4gd2sa -2221.501038139272  -2221.411664834887  0.0002997595317299353 
1gd3sa -2305.705294839789  -2305.632118836764  0.00024543351676992083
2gd3sa -2511.0410349877093 -2510.957348910969  0.0002806844767405118 
3gd3sa -2716.368826012257  -2716.271811867251  0.00032538703674668215
4sa    -2800.486466395365  -2800.413101233788  0.00024606795766171505
4gd3sa -2921.683930537451  -2921.576211708719  0.0003612907218922562 
1gd4sa -3005.832380798788  -3005.7462745431003 0.0002888017967049594 
2gd4sa -3211.174251931141  -3211.079866891618  0.00031656897374714876
3gd4sa -3416.511218148839  -3416.402332375787  0.0003652046723184966 
4gd4sa -3621.8595549031493 -3621.7413121528457 0.00039658812780072174
