#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
2gd    -410.0437855599053  -409.99769410624486 0.00015459149307554175
3gd    -615.0647098389536  -615.0065201396574  0.00019516920776866187
4gd    -820.0967225065981  -820.0274021296889  0.0002325016834111089 
1gd1sa -904.50265358576    -904.4531386659793  0.000166073854706517  
2gd1sa -1109.5358478303779 -1109.4762873876562 0.00019976670374521486
3gd1sa -1314.5708176000685 -1314.49912890518   0.00024044506083766481
2sa    -1398.912284118024  -1398.863902127973  0.00016227398977509475
4gd1sa -1519.6017923406557 -1519.5204817470194 0.00027271706736888896
1gd2sa -1603.9823871209353 -1603.922760379615  0.00019998907033429164
2gd2sa -1809.0477354508084 -1808.9733177171065 0.00024959830186895764
3gd2sa -2014.0843499483403 -2014.0032974919286 0.00027185127087633583
3sa    -2098.372146925021  -2098.310569709269  0.00020653099363437797
4gd2sa -2219.1233491717694 -2219.031226819551  0.0003089798833419317 
1gd3sa -2303.4515689760997 -2303.378392973075  0.00024543351676992083
2gd3sa -2508.5231640925513 -2508.439478015811  0.0002806844767405118 
3gd3sa -2713.5870857638092 -2713.4903866761233 0.00032433032931545143
4sa    -2797.8342386413965 -2797.760873479819  0.00024606795766171505
4gd3sa -2918.640618536638  -2918.5328997079064 0.0003612907218922562 
1gd4sa -3002.9157901073245 -3002.8296838516358 0.0002888017967049594 
2gd4sa -3207.992255297637  -3207.897409386361  0.0003181147451815757 
3gd4sa -3413.067429505717  -3412.9596317673595 0.0003615553860719975 
4gd4sa -3618.151180168406  -3618.0329374181024 0.00039658812780072174
