#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am        -56.52988805909683  -56.50803939758097  7.32807697999575e-05  
1ma        -95.79622800897201  -95.76894067216848  9.15221760976739e-05  
1tma       -174.33978119657058 -174.30721800533595 0.00010921747856663881
1sa        -700.1144840181483  -700.080667506986   0.00011342113420225625
1am1sa1tma -931.0116584555798  -930.9557270367565  0.00018759489794856812
1ma1sa1tma -970.2769380643896  -970.2192292389993  0.0001935563487848375 
1am2sa1tma -1631.1604461047737 -1631.0938376712347 0.00022340578077821585
1ma2sa1tma -1670.434684986157  -1670.3658596014202 0.00023084147153034756
2am2sa1tma -1687.7036622548073 -1687.6316674731163 0.0002414716810031007 
2ma2sa1tma -1766.2380286015866 -1766.1586676333839 0.00026617799162386373
1ma2sa2tma -1844.7827146354628 -1844.6998315989993 0.00027799106645485806
1am3sa1tma -2331.3018001362598 -2331.223613254232  0.00026224008729700926
1ma3sa1tma -2370.573503985826  -2370.4878249692065 0.0002873688298486387 
2am3sa1tma -2387.849395288617  -2387.764893616915  0.0002834199956474966 
3am3sa1tma -2444.3932717028324 -2444.307055121868  0.0002891718294966992 
2ma3sa1tma -2466.3938553538605 -2466.303819215565  0.00030198268755851686
1am3sa2tma -2505.665705104925  -2505.5755582445013 0.0003023540513963376 
1ma3sa2tma -2544.937935485191  -2544.8443533834206 0.00031387590732963056
2am3sa2tma -2562.204341594475  -2562.109543178275  0.0003179554459162356 
2ma3sa2tma -2640.749107682517  -2640.647123418793  0.00034205689660978694
1am3sa3tma -2680.015466263172  -2679.913203530355  0.00034299088652299216
1ma3sa3tma -2719.290891559252  -2719.1832819525066 0.0003609243895535943 
2am4sa1tma -3087.987751946586  -3087.8917961800335 0.00032183721801829374
3am4sa1tma -3144.542308406271  -3144.4423922076267 0.0003351205723436016 
2ma4sa1tma -3166.539293614361  -3166.435357648893  0.0003486029363344286 
1am4sa2tma -3205.8086877835162 -3205.706105142843  0.0003440638627308249 
1ma4sa2tma -3245.081412060814  -3244.976643396247  0.0003513958227976728 
2am4sa2tma -3262.3578330863456 -3262.252054849014  0.0003547819464420795 
2ma4sa2tma -3340.9082251355594 -3340.794840830494  0.0003802928226240838 
1am4sa3tma -3380.17649987637   -3380.062899664651  0.00038101697708910296
1ma4sa3tma -3419.4476173618364 -3419.329818211304  0.0003951002868768376 
