#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am        -56.463639868737836 -56.441791207221975 7.32807697999575e-05  
1ma        -95.664150377297    -95.63686304049347  9.15221760976739e-05  
1tma       -174.0797040367356  -174.047140845501   0.00010921747856663881
1sa        -699.4488086968653  -699.4149921857028  0.00011342113420225625
1am1sa1tma -930.0171819356258  -929.9612505168025  0.00018759489794856812
1ma1sa1tma -969.2167453398446  -969.1590365144542  0.0001935563487848375 
1am2sa1tma -1629.4997240028385 -1629.4331155692996 0.00022340578077821585
1ma2sa1tma -1668.7094826198022 -1668.6406572350652 0.00023084147153034756
2am2sa1tma -1686.0107327311287 -1685.9387379494372 0.0002414716810031007 
2ma2sa1tma -1764.3778965364227 -1764.29853556822   0.00026617799162386373
1ma2sa2tma -1842.7939054021388 -1842.7110223656753 0.00027799106645485806
1am3sa1tma -2328.9760225980226 -2328.897835715995  0.00026224008729700926
1ma3sa1tma -2368.241610998346  -2368.155931981726  0.0002873688298486387 
2am3sa1tma -2385.5077352873172 -2385.423233615616  0.0002834199956474966 
3am3sa1tma -2441.925974101129  -2441.8397575201643 0.0002891718294966992 
2ma3sa1tma -2463.8704713717802 -2463.7804352334847 0.00030198268755851686
1am3sa2tma -2503.0843603280746 -2502.9942134676503 0.0003023540513963376 
1ma3sa2tma -2542.287188563553  -2542.193606461783  0.00031387590732963056
2am3sa2tma -2559.6169466975152 -2559.522148281315  0.0003179554459162356 
2ma3sa2tma -2638.031539474888  -2637.929555211164  0.00034205689660978694
1am3sa3tma -2677.2439857933723 -2677.141723060555  0.00034299088652299216
1ma3sa3tma -2716.3814054250643 -2716.273795818319  0.0003609243895535943 
2am4sa1tma -3084.993003680157  -3084.897047913605  0.00032183721801829374
3am4sa1tma -3141.414271298874  -3141.3143551002304 0.0003351205723436016 
2ma4sa1tma -3163.4198093053546 -3163.315873339886  0.0003486029363344286 
1am4sa2tma -3202.5641410609483 -3202.461558420275  0.0003440638627308249 
1ma4sa2tma -3241.7687431754193 -3241.6639745108523 0.0003513958227976728 
2am4sa2tma -3259.1219178983492 -3259.0161396610174 0.0003547819464420795 
2ma4sa2tma -3337.529935026392  -3337.4165507213265 0.0003802928226240838 
1am4sa3tma -3376.668660362637  -3376.555060150918  0.00038101697708910296
1ma4sa3tma -3415.9587608521315 -3415.8409617015996 0.0003951002868768376 
