#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
2am1p    -113.27862601590546 -113.247082737983   0.00010579667255555442
3am1p    -169.75620684711518 -169.71686107936162 0.0001319663516806453 
1am1b    -755.4171718763325  -755.3769374587844  0.00013494689769606876
1am1p1sa -756.2584545704153  -756.2140055160821  0.0001490828587389952 
2am1b    -811.8792842907392  -811.8296725334135  0.00016639864942328222
2am1sa   -812.3943053801993  -812.3459347367118  0.00016223593321324463
2am1p1sa -812.7545615709411  -812.7059628856315  0.00016300078923205797
1dma1sa  -834.3402914801238  -834.2921313105016  0.0001615300004101127 
3am1sa   -868.8555374072068  -868.8024506462682  0.00017805386865281814
3am1p1sa -869.231111799366   -869.176827714955   0.00018206971125568928
4am1sa   -925.3200250139806  -925.261439146196   0.00019649796338859764
1am1b1sa -1454.9205496963086 -1454.869242503608  0.00017208516753545615
1am2sa   -1455.3986112096043 -1455.3451179640804 0.00017941722462968667
1am1p2sa -1455.728266432813  -1455.6716734851855 0.0001898136764286601 
2am1b1sa -1511.3813101360595 -1511.3239935089725 0.00019224090923069097
2am1p2sa -1512.2263234061022 -1512.1650744127548 0.0002054301302954426 
1dma2sa  -1533.8213616496926 -1533.76095878005   0.00020259221748302107
3am2sa   -1568.3424261664582 -1568.2782613777485 0.00021520975585990714
3am1p2sa -1568.7201849786209 -1568.6537423084712 0.00022284980764770352
4am2sa   -1624.8086173615395 -1624.7387611009874 0.0002342990459580185 
4am1p2sa -1625.19506779123   -1625.1224000288416 0.0002437288693224473 
4dma2sa  -1938.4714083206    -1938.3781903666427 0.00031265454958043313
1am1b2sa -2154.4087174872802 -2154.344955404752  0.0002138590727076074 
1am3sa   -2154.8622792361316 -2154.7946052274606 0.00022697973728379728
2am1b2sa -2210.880017732718  -2210.809066749119  0.00023797076504497887
2am3sa   -2211.3461529089705 -2211.274069755125  0.00024176808265978107
2am1p3sa -2211.692035726936  -2211.618564650877  0.0002464231965763898 
3am1p3sa -2268.1856728604116 -2268.105981381974  0.00026728652838207533
4am3sa   -2324.299559609541  -2324.2211315928166 0.00026304885703130426
4am1p3sa -2324.675677140761  -2324.5919725156136 0.0002807466884026074 
5am1p3sa -2381.1502218005658 -2381.061023081336  0.0002991739702505347 
1am1b3sa -2853.8851368230976 -2853.806176202646  0.000264835218689136  
1am4sa   -2854.3236672219114 -2854.2451886808517 0.0002632183164841522 
2am1b3sa -2910.3653976313526 -2910.284308878254  0.0002719730105613297 
2am4sa   -2910.8128707504907 -2910.730451298999  0.00027643619484063974
1dma4sa  -2932.749343580633  -2932.664185410634  0.00028562190172131796
3am1b3sa -2966.8415378851964 -2966.754685120493  0.0002913056002111521 
3am4sa   -2967.2980497704025 -2967.2112775359105 0.0002910355005622271 
3am1p4sa -2967.6520183459593 -2967.5592570670046 0.000311122854116117  
4am1p4sa -3024.1426043914375 -3024.0456422910943 0.0003252124780945185 
5am1p4sa -3080.6280922288133 -3080.5271603843357 0.0003385270651587954 
4dma4sa  -3337.457226722219  -3337.3397882548365 0.00039389054966258523
1am1b4sa -3553.3565263239648 -3553.2676118459754 0.0002982206204554507 
2am1b4sa -3609.8385143470955 -3609.744739967587  0.00031452081002393   
3am1b4sa -3666.326897321551  -3666.2288678010927 0.0003287926226985771 
