#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
2am       -113.05507796221785 -113.02047145907885 0.00011607078027504852
3am       -169.58213185913664 -169.5412013646672  0.00013728155113012494
4am       -226.1074775737201  -226.05931404272823 0.00016154127449898443
4am1p     -226.60888363956914 -226.55884621609258 0.00016782634068952107
2dma      -270.12598705749826 -270.07941648419    0.00015619846824841853
2dma1p    -270.5165061476695  -270.4709241059285  0.0001528829171256313 
5am1p     -283.04924390955796 -282.99180609809076 0.00019264736363301213
3dma      -405.18892581764345 -405.1295276495005  0.00019922243214130623
3dma1p    -405.59653273994445 -405.5372818891916  0.000198728327193907  
2gd       -410.5590785100913  -410.5129870564308  0.00015459149307554175
2gd1p     -410.9691660440829  -410.92038116196164 0.00016362529639864096
4dma      -540.2545097507334  -540.1804045438441  0.0002485500818018768 
4dma1p    -540.664818072978   -540.5924915241754  0.00024258443334777897
3gd       -615.8404707283796  -615.7822810290834  0.00019516920776866187
3gd1p     -616.2661898331522  -616.2039181759878  0.00020886016154399902
5dma1p    -675.7301701740865  -675.6465753396275  0.0002803784486302698 
1am1sa    -756.6580170712523  -756.6166233400322  0.00013883525480487118
2am1sa    -813.1969059946643  -813.1486719993912  0.0001617776128561597 
4gd       -821.134177536121   -821.064857159212   0.0002325016834111089 
4gd1p     -821.5565817380635  -821.4804972228397  0.0002551887144853792 
1b1dma    -834.6872697344426  -834.6412304107234  0.0001544166483955617 
1dma1sa   -835.2030963987944  -835.1551161241526  0.0001609266296888639 
1dma1p1sa -835.5501320888393  -835.5010867066729  0.0001644990178311831 
3am1sa    -869.7303906681958  -869.6770885614653  0.00017877614197724863
1b1gd     -904.9129735538489  -904.8641538165122  0.00016374220136429536
1gd1sa    -905.4290758671499  -905.3795609473691  0.000166073854706517  
1gd1p1sa  -905.7857210349441  -905.7357270072048  0.0001676807906734322 
4am1sa    -926.2641367390155  -926.2049361956217  0.00019855959548466048
4am1p1sa  -926.6508590489972  -926.5891861228129  0.00020685200799704743
