#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1w     -76.40561586272608  -76.38420180831024  7.182309044389683e-05 
2w     -152.8084914351091  -152.77587329214128 0.00010940178758276483
3w     -229.21470268478998 -229.1773885580121  0.00012515219445873949
4w     -305.62472964115625 -305.582058916221   0.0001431183127125702 
5w     -382.0301616761366  -381.98048024084545 0.00016663235046497936
6w     -458.43386197821235 -458.3797814288903  0.00018138705122278218
7w     -534.841461058867   -534.7841681689877  0.0001921612942457869 
8w     -611.254056653461   -611.1943874612972  0.00020013145116151563
9w     -687.6594973993544  -687.5938972756592  0.0002200238929909032 
1sa    -700.1144840181483  -700.080667506986   0.00011342113420225625
10w    -764.0664080429665  -763.996901520298   0.00023312601934737573
1sa1w  -776.5252873488872  -776.4846035563282  0.0001364541088679995 
1sa2w  -852.935548792834   -852.88943172115    0.0001546774163472946 
1sa3w  -929.3444375164989  -929.2946522559384  0.00016698058212469107
1sa4w  -1005.7544553879146 -1005.697700683784  0.0001903562103997773 
1sa5w  -1082.1632647995948 -1082.1048037907535 0.0001960791844415798 
1sa6w  -1158.5736754814789 -1158.5093817938055 0.0002156420851029716 
1sa7w  -1234.9819463253398 -1234.913723629902  0.00022882004171625252
1sa8w  -1311.3901464662947 -1311.3183249096182 0.00024089068145735984
1sa9w  -1387.8007963904004 -1387.7244212087614 0.000256163614418285  
2sa    -1400.238541690085  -1400.1893314349732 0.00016505200439964634
1sa10w -1464.2091049474827 -1464.1285906182159 0.0002700463835882866 
2sa1w  -1476.6509224766542 -1476.596929172455  0.00018109442964692069
1sa11w -1540.6188260100132 -1540.5318163086113 0.00029183196847868407
2sa2w  -1553.0625537315357 -1553.0060165333107 0.00018962669201776677
1sa12w -1617.0250644279643 -1616.9341189036281 0.00030503278328382805
2sa3w  -1629.474454255292  -1629.4135204455476 0.00020437299930988135
1sa13w -1693.4344020317433 -1693.3403877708909 0.00031532537599346855
2sa4w  -1705.885915982005  -1705.8194557478857 0.00022290871748856855
1sa14w -1769.8420408848365 -1769.742302456346  0.0003345243283267095 
2sa5w  -1782.296942500181  -1782.2248715826254 0.0002417270419441171 
1sa15w -1846.2507556271999 -1846.1479105098742 0.0003449442137364872 
3sa    -2100.360851522249  -2100.2968732300697 0.00021458424343182028
3sa1w  -2176.774538234718  -2176.7086862143847 0.0002208687584553481 
3sa2w  -2253.188224683217  -2253.115705171214  0.0002432316350927321 
3sa3w  -2329.6028356249412 -2329.5280045735294 0.0002509845762596147 
3sa4w  -2406.014764888153  -2405.9355402855813 0.00026572061905664774
3sa5w  -2482.427719936425  -2482.342381700047  0.00028622584731848857
4sa    -2800.4868527960375 -2800.413165281392  0.0002471491351516843 
4sa1w  -2876.8993549634165 -2876.8208235550123 0.0002633956344258843 
4sa2w  -2953.315617554418  -2953.2316589527636 0.00028159852978152197
4sa3w  -3029.7304018491336 -3029.644631471565  0.0002876752559748363 
4sa4w  -3106.1430154917857 -3106.053422280644  0.00030049710260403686
4sa5w  -3182.5554461688516 -3182.4595448660493 0.00032165454570615544
