#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am1sa     -756.6580145851967  -756.6166233459779  0.0001388268965915102 
1ma1sa     -795.9266889093312  -795.8823010020591  0.00014887777049183137
2am1sa     -813.1968504001171  -813.1486610769357  0.0001616277819264617 
1dma1sa    -835.2031364198596  -835.1551181041419  0.00016105422008258567
1am1ma1sa  -852.465517967516   -852.4153901641326  0.00016812947638217849
1sa1tma    -874.4773246354569  -874.4277109137332  0.0001664052380467507 
2ma1sa     -891.7319322949256  -891.6786030107287  0.0001788672956462198 
1am1dma1sa -891.7405382900661  -891.6864943417494  0.00018126429084914394
1am1sa1tma -931.0115004367848  -930.955768025505   0.00018692742337663449
2dma1sa    -970.2785043563167  -970.2186419547758  0.00020077947858769478
1sa2tma    -1048.8231304085884 -1048.7596751647156 0.00021282993081594008
1am2sa     -1456.7957366039882 -1456.7420756627826 0.00017997967870422025
1ma2sa     -1496.0700775595033 -1496.0131879232922 0.00019080877481497704
2am2sa     -1513.3417348507269 -1513.2813813565438 0.0002024266113808418 
1dma2sa    -1535.3469805222567 -1535.2868644137416 0.00020163041594869468
1am1ma2sa  -1552.6155060488147 -1552.5535460221417 0.00020781494775474815
2sa1tma    -1574.6167439476312 -1574.554414419496  0.0002090542617312375 
2ma2sa     -1591.8879599975116 -1591.8202441896728 0.00022711993237931803
1am1dma2sa -1591.892412726668  -1591.827262031531  0.00021851650221982327
1am2sa1tma -1631.1625803838137 -1631.0973023465772 0.0002189436097154055 
2dma2sa    -1670.4412918520136 -1670.3695936332329 0.00024047700412800277
2sa2tma    -1748.9831072311147 -1748.90877317536   0.00024931764465768003
