#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am1sa   -756.5877191387278  -756.5469047624814  0.0001368920887018828 
2am2sa   -1513.1978238379197 -1513.1385367221135 0.00019884996077885385
3am3sa   -2269.81022986983   -2269.735954839338  0.0002491196729562095 
4am4sa   -3026.4268971045913 -3026.337829087905  0.0002987355917708022 
5am5sa   -3783.040390178287  -3782.936045107814  0.0003499750812443981 
6am6sa   -4539.658016353042  -4539.540667365807  0.00039359043177688343
7am7sa   -5296.2765505910775 -5296.144921024042  0.00044148773112726773
8am8sa   -6052.904050596076  -6052.756066598687  0.0004963407593110535 
9am9sa   -6809.5268157681785 -6809.362889404242  0.000549811718718435  
10am10sa -7566.134583086898  -7565.957409615642  0.0005942427343808916 
11am11sa -8322.753386616097  -8322.55988518082   0.0006490069940545431 
12am12sa -9079.383277569941  -9079.17916493661   0.0006845971267225272 
13am13sa -9835.989581997157  -9835.769689070235  0.0007375244907669951 
14am14sa -10592.595220290914 -10592.358806233735 0.0007929366331696396 
15am15sa -11349.224215879354 -11348.973916206987 0.0008395092147136264 
