#CLUSTER       dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2am            -112.92057108061034  -112.88594738392523  0.0001161284477113507
3am            -169.37691643270554  -169.33686617668442  0.00013432921690798597
2ma            -191.31724659242477  -191.27699926991264  0.00013499018115750743
1am1dma        -191.32474983675957  -191.28364427656606  0.00013786872444573441
4am            -225.83192483471194  -225.78501926116152  0.00015732206456629653
2dma           -269.7290275859577   -269.68281247069666  0.00015500625611600195
3ma            -286.97481944946554  -286.92420320727916  0.00016976770815441247
4ma            -382.630821541991    -382.5702780258741   0.00020306394806910753
2put           -537.1231268582842   -537.0651720964693   0.0001943812235957009
4dma           -539.4558138766141   -539.3837637114206   0.00024165743818142335
1am1sa         -755.9213259449917   -755.8802740945786   0.00013768858095915216
1ma1sa         -795.1241540458428   -795.079670918865    0.00014919713894969542
3put           -805.6796176817015   -805.6024648755538   0.0002587717798011896
2am1sa         -812.3910228370185   -812.342652193531    0.00016223593321324463
1dma1sa        -834.3363921937018   -834.2882320240797   0.0001615300004101127
3am1sa         -868.8515807549459   -868.7984939940072   0.00017805386865281814
1sa1tma        -873.5472979683494   -873.4977607591858   0.00016614861366302902
1bda1sa        -889.6037813692901   -889.5556660922816   0.00016137942984555673
1eda1sa        -889.603781370331    -889.5556660922919   0.0001613794333025267
2ma1sa         -890.7927452123367   -890.7397988221126   0.00017758306296842711
1am1dma1sa     -890.8022009100298   -890.7493691035302   0.00017719874727415162
4am1sa         -925.3155124399576   -925.256926572173    0.00019649796338859764
1mda1sa        -928.8156628981387   -928.7639764891849   0.0001733570650806886
1pda1sa        -928.8238139715767   -928.7736266101332   0.00016832923509424403
2am1dma1sa     -947.2585542186503   -947.2003623766379   0.00019517639447340845
1diABmda1sa    -968.0198419280838   -967.9648235780857   0.0001845324501034457
1diAAmda1sa    -968.0204767559335   -967.9662037814651   0.00018203244832558694
1put1sa        -968.0404578415386   -967.9879531586708   0.00017610156923616543
2dma1sa        -969.2077730077947   -969.1489140578074   0.00019741388558512746
3ma1sa         -986.4598901883097   -986.3973641758174   0.00020971327349437837
1sa1triAABmda  -1007.228703733665   -1007.1709533038834  0.00019369589059742146
1am2dma1sa     -1025.6740681971191  -1025.6101285442824  0.00021445464644256302
1sa1teAABBmda  -1046.4333853411902  -1046.3730453856158  0.00020238120266480533
1sa2tma        -1047.628150429503   -1047.5659789085084  0.00020852430318526013
4put           -1074.2395005879032  -1074.145534633289   0.00031516335607723614
4ma1sa         -1082.123043533776   -1082.0520272989486  0.0002381896187391658
3dma1sa        -1104.08227008071    -1104.0116233663805  0.00023695024091712396
2put1sa        -1236.6123002783331  -1236.5431822638036  0.00023182295666582814
4dma1sa        -1238.9501255616487  -1238.8696688139366  0.0002698532541064489
2sa            -1398.9063952265894  -1398.8571904924718  0.00016503348689522336
1am2sa         -1455.391738986699   -1455.3382457411756  0.00017941722462968667
1ma2sa         -1494.600030018986   -1494.5429399967368  0.00019148087287972125
3put1sa        -1505.1897401618257  -1505.1051029686842  0.0002838745367827483
2am2sa         -1511.8644989145419  -1511.8055181487516  0.0001978224577911534
1dma2sa        -1533.8136112654495  -1533.753208395807   0.00020259221748302107
3am2sa         -1568.334578144421   -1568.2704133557113  0.00021520975585990714
2sa1tma        -1569.733652990043   -1569.6710898038586  0.00020983795466810102
1eda2sa        -1589.0793102784994  -1589.0175095858178  0.00020728053892886915
2ma2sa         -1590.2786440398525  -1590.214870347612   0.0002138980118733646
1am1dma2sa     -1590.2857240603312  -1590.2199446507375  0.0002206252208416673
4am2sa         -1624.8001259782334  -1624.7302697176813  0.0002342990459580185
2am1dma2sa     -1646.7472647517002  -1646.6806956786932  0.0002232737649068428
1put2sa        -1667.517389917917   -1667.4547710399381  0.00021002474586165099
2dma2sa        -1668.7041551230002  -1668.6335036325825  0.00023696625999674464
3ma2sa         -1685.9477175424086  -1685.872064963969   0.0002537399914110172
3am1dma2sa     -1703.2072446099035  -1703.1326336572308  0.0002502463614711851
1am2dma2sa     -1725.1736187458123  -1725.0965271599175  0.0002585664460684804
2sa2tma        -1747.118690730072   -1747.0447247901093  0.00024808297824195733
4put1sa        -1773.756199711959   -1773.6539884057404  0.00034281840086723464
4ma2sa         -1781.6179472842828  -1781.533833946608   0.0002821175169373518
2am2dma2sa     -1781.627938482378   -1781.5454351886485  0.0002767174030843767
3dma2sa        -1803.5850273526603  -1803.5037461266684  0.0002726185678093917
2mea2sa        -1818.9818991132747  -1818.908999714738   0.00024450578077013095
1am3dma2sa     -1860.0505142957043  -1859.9637428628064  0.00029103281200202366
2put2sa        -1936.1063889360037  -1936.02630087191    0.00026861668319007125
4dma2sa        -1938.458146896534   -1938.3649289425766  0.00031265454958043313
3sa            -2098.360805836168   -2098.2987581103225  0.00020810909221941615
