#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2am       -113.05443954815236  -113.01981585146721  0.0001161284477113507
3am       -169.58126544111155  -169.54121518509044  0.00013432921690798597
4am       -226.10613172150894  -226.0592261479585   0.00015732206456629653
1am1sa    -756.6576010039547   -756.6165491535418   0.00013768858095915216
2am1sa    -813.1969810611963   -813.1486104177088   0.00016223593321324463
3am1sa    -869.7301574338929   -869.6770706729541   0.00017805386865281814
4am1sa    -926.2633642124605   -926.2047783446761   0.00019649796338859764
1am2sa    -1456.795848726261   -1456.7423554807376  0.00017941722462968667
2am2sa    -1513.3415665618131  -1513.2825857960227  0.0001978224577911534
3am2sa    -1569.8820486102272  -1569.8178838215176  0.00021520975585990714
4am2sa    -1626.4178336965535  -1626.3479774360012  0.0002342990459580185
1am3sa    -2156.9229911131442  -2156.855317104473   0.00022697973728379728
2am3sa    -2213.478387941125   -2213.40630478728    0.00024176808265978107
3am3sa    -2270.0309356405387  -2269.9541559743498  0.00025752026224697426
4am3sa    -2326.5776979428542  -2326.49926992613    0.00026304885703130426
1am4sa    -2857.0472394034186  -2856.968760862359   0.0002632183164841522
2am4sa    -2913.609177400789   -2913.5267579492975  0.00027643619484063974
3am4sa    -2970.164504051209   -2970.077731816716   0.0002910355005622271
4am4sa    -3026.7231355523227  -3026.631116281022   0.00030863414825005667
5am4sa    -3083.2590728920163  -3083.1640408346075  0.00031873908237065913
1am5sa    -3557.1703910744336  -3557.078749699095   0.0003073666789824588
2am5sa    -3613.73124284801    -3613.6349268567437  0.0003230454176300309
3am5sa    -3670.3022814456704  -3670.202067644727   0.0003361187353460382
4am5sa    -3726.850249506796   -3726.7442601425437  0.0003554900696040203
5am5sa    -3783.4137637928325  -3783.3027969684017  0.00037218455284517953
