# CLUSTER  dG
1am1dma     -191.325733471521
1am1dma1sa  -890.8029092328829
1am1dma2sa  -1590.288696191135
1am1dma3sa  -2289.7590551042895
1am1dma4sa  -2989.2238057040345
1am2dma1sa  -1025.6762387267777
1am2dma2sa  -1725.177149234832
1am2dma3sa  -2424.6533669509895
1am2dma4sa  -3124.131003684326
1am3dma2sa  -1860.0544413739733
1am3dma3sa  -2559.5438019376397
1am3dma4sa  -3259.0233074129155
2am1dma1sa  -947.2600732176641
2am1dma2sa  -1646.748196579119
2am1dma3sa  -2346.240101415379
2am1dma4sa  -3045.7073164744734
2am2dma2sa  -1781.632282284734
2am2dma3sa  -2481.1277238083926
2am2dma4sa  -3180.608183555479
3am1dma2sa  -1703.2106774180354
3am1dma3sa  -2402.706428980295
3am1dma4sa  -3102.1898692169357
