#CLUSTER    dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1dma     -191.32474983675957  -191.28364427656606  0.00013786872444573441
1am1dma1sa  -890.8022009100298   -890.7493691035302   0.00017719874727415162
2am1dma1sa  -947.2585542186503   -947.2003623766379   0.00019517639447340845
1am2dma1sa  -1025.6740681971191  -1025.6101285442824  0.00021445464644256302
1am1dma2sa  -1590.2857240603312  -1590.2199446507375  0.0002206252208416673
2am1dma2sa  -1646.7472647517002  -1646.6806956786932  0.0002232737649068428
3am1dma2sa  -1703.2072446099035  -1703.1326336572308  0.0002502463614711851
1am2dma2sa  -1725.1736187458123  -1725.0965271599175  0.0002585664460684804
2am2dma2sa  -1781.627938482378   -1781.5454351886485  0.0002767174030843767
1am3dma2sa  -1860.0505142957043  -1859.9637428628064  0.00029103281200202366
1am1dma3sa  -2289.7556664644626  -2289.6783852660274  0.00025920240964229165
2am1dma3sa  -2346.2365979446736  -2346.1551446640683  0.000273195641808472
3am1dma3sa  -2402.7032339933216  -2402.618911327562   0.00028281960677489917
1am2dma3sa  -2424.6490066639385  -2424.5618865176707  0.00029220240237187327
2am2dma3sa  -2481.1242512269177  -2481.03373668183    0.0003035872718015514
1am3dma3sa  -2559.5395761774553  -2559.4434400829687  0.0003224420408750349
1am1dma4sa  -2989.2178607685405  -2989.128043385814   0.00030124897778211835
2am1dma4sa  -3045.7029045425124  -3045.6111473209103  0.0003077552292535311
3am1dma4sa  -3102.18268896612    -3102.0814002609736  0.00033972398170860487
1am2dma4sa  -3124.1253379230875  -3124.026901121748   0.0003301586494673143
2am2dma4sa  -3180.602877413517   -3180.5009383293113  0.00034190536376067066
1am3dma4sa  -3259.0162038614444  -3258.905737945577   0.000370504497290594
