#CLUSTER    dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1dma     -191.59028336523858  -191.54917780504508  0.00013786872444573441
1am1dma1sa  -891.7389586771468   -891.6861268706471   0.00017719874727415162
2am1dma1sa  -948.2674870009863   -948.2092951589741   0.00019517639447340845
1am2dma1sa  -1026.8106294703414  -1026.7466898175046  0.00021445464644256302
1am1dma2sa  -1591.8916418691963  -1591.8258624596024  0.0002206252208416673
2am1dma2sa  -1648.4271751725812  -1648.3606060995742  0.0002232737649068428
3am1dma2sa  -1704.9549271918686  -1704.880316239196   0.0002502463614711851
1am2dma2sa  -1726.9778305109805  -1726.9007389250853  0.0002585664460684804
2am2dma2sa  -1783.5032291976443  -1783.4207259039147  0.0002767174030843767
1am3dma2sa  -1862.0570189217315  -1861.9702474888331  0.00029103281200202366
1am1dma3sa  -2292.028292360172   -2291.9510111617374  0.00025920240964229165
2am1dma3sa  -2348.582334529295   -2348.50088124869    0.000273195641808472
3am1dma3sa  -2405.1231270130265  -2405.0388043472667  0.00028281960677489917
1am2dma3sa  -2427.1233347129487  -2427.0362145666813  0.00029220240237187327
2am2dma3sa  -2483.673153418525   -2483.5826388734376  0.0003035872718015514
1am3dma3sa  -2562.217675239816   -2562.121539145329   0.0003224420408750349
1am1dma4sa  -2992.158495064505   -2992.0686776817793  0.00030124897778211835
2am1dma4sa  -3048.716420068038   -3048.624662846436   0.0003077552292535311
3am1dma4sa  -3105.2678067491843  -3105.1665180440377  0.00033972398170860487
1am2dma4sa  -3127.268112238761   -3127.1696754374225  0.0003301586494673143
2am2dma4sa  -3183.818633858038   -3183.716694773833   0.00034190536376067066
1am3dma4sa  -3262.3585344485296  -3262.2480685326623  0.000370504497290594
