#CLUSTER       dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1bda1sa        -889.6037813692901   -889.5556660922816   0.00016137942984555673
1eda1sa        -889.603781370331    -889.5556660922919   0.0001613794333025267
1mda1sa        -928.8156628981387   -928.7639764891849   0.0001733570650806886
1pda1sa        -928.8238139715767   -928.7736266101332   0.00016832923509424403
1diABmda1sa    -968.0198419280838   -967.9648235780857   0.0001845324501034457
1diAAmda1sa    -968.0204767559335   -967.9662037814651   0.00018203244832558694
1sa1triAABmda  -1007.228703733665   -1007.1709533038834  0.00019369589059742146
1sa1teAABBmda  -1046.4333853411902  -1046.3730453856158  0.00020238120266480533
1eda2sa        -1589.0793102784994  -1589.0175095858178  0.00020728053892886915
1eda3sa        -2288.548517952396   -2288.474943171403   0.00024677102462845126
1eda4sa        -2988.016216686377   -2987.9348420846613  0.0002729317515201354
