#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2dma      -270.1253236951206   -270.0791085798596   0.00015500625611600195
4dma      -540.2519820880173   -540.1799319228235   0.00024165743818142335
1dma1sa   -835.203302260324    -835.1551420907017   0.0001615300004101127
2dma1sa   -970.2742974864785   -970.2154385364913   0.00019741388558512746
3dma1sa   -1105.3487595663412  -1105.2781128520116  0.00023695024091712396
4dma1sa   -1240.4183740878655  -1240.3379173401536  0.0002698532541064489
1dma2sa   -1535.3471945559957  -1535.2867916863531  0.00020259221748302107
2dma2sa   -1670.4424684940902  -1670.3718170036723  0.00023696625999674464
3dma2sa   -1805.5204012870474  -1805.439120061055   0.0002726185678093917
4dma2sa   -1940.593717052665   -1940.5004990987075  0.00031265454958043313
1dma3sa   -2235.478601084518   -2235.406087543147   0.00024321160949475367
2dma3sa   -2370.579271161855   -2370.4956279076378  0.0002805408492946813
3dma3sa   -2505.675583903241   -2505.5820799501585  0.00031361379534730524
4dma3sa   -2640.759633549614   -2640.6568723718324  0.00034466267912764244
1dma4sa   -2935.600814655214   -2935.515656485216   0.00028562190172131796
2dma4sa   -3070.70857907491    -3070.614920351121   0.0003141328988410318
3dma4sa   -3205.8085448777     -3205.7036051902423  0.0003519694363836707
4dma4sa   -3340.9081482805477  -3340.790709813166   0.00039389054966258523
5dma4sa   -3475.9982648430905  -3475.873020955089   0.00042007005870097944
1dma5sa   -3635.724180108845   -3635.6268428631415  0.00032647072179487895
