# CLUSTER  dG
1ma1sa  -795.125062390961
1ma2sa  -1494.601717468159
1ma3sa  -2194.067395183775
1ma4sa  -2893.5251952488065
2ma     -191.31781035453903
2ma1sa  -890.794578328638
2ma2sa  -1590.2805124751378
2ma3sa  -2289.758124481186
2ma4sa  -2989.2224133324225
3ma     -286.97630404847797
3ma1sa  -986.462130218874
3ma2sa  -1685.9524943194542
3ma3sa  -2385.444178058955
3ma4sa  -3084.9128559573614
4ma     -382.633397099059
4ma1sa  -1082.1264600948232
4ma2sa  -1781.6229206807952
4ma3sa  -2481.121084994777
4ma4sa  -3180.6064135320353
