# CLUSTER  dG
1mea1sa  -909.4762230695178
1mea2sa  -1608.95046741556
1mea3sa  -2308.416213033311
1mea4sa  -3007.8763645405543
2mea     -420.017035721471
2mea1sa  -1119.4975359934242
2mea2sa  -1818.9853078379197
2mea3sa  nan
2mea4sa  -3217.922199937315
3mea     -630.024724209624
3mea1sa  -1329.5166034208012
3mea2sa  -2029.0074429699089
3mea3sa  -2728.492673629385
3mea4sa  -3427.966318459123
4mea     -840.0319561902679
4mea1sa  -1539.5342196155898
4mea2sa  -2239.0266441265903
4mea3sa  -2938.5207587175123
4mea4sa  -3638.004617041427
