# CLUSTER  dG
1put1sa  -968.0414627499052
1put2sa  -1667.5183517713483
1put3sa  -2366.9916940028006
1put4sa  -3066.467332473104
2put     -537.1239405216688
2put1sa  -1236.6146331269917
2put2sa  -1936.109015587059
2put3sa  -2635.58862158112
2put4sa  -3335.073509921852
2sa      -1398.9079550313206
3put     -805.6824461507231
3put1sa  -1505.1927368716956
3put2sa  -2204.6894619101954
3put3sa  -2904.1797741878163
3put4sa  -3603.661032758523
3sa      -2098.3641103292266
4put     -1074.245422809912
4put1sa  -1773.76195778043
4put2sa  -2473.2497564050054
4put3sa  -3172.7520704596554
4put4sa  -3872.247226866072
4sa      -2797.8252534539315
