#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2put      -537.1231268582842   -537.0651720964693   0.0001943812235957009
3put      -805.6796176817015   -805.6024648755538   0.0002587717798011896
1put1sa   -968.0404578415386   -967.9879531586708   0.00017610156923616543
4put      -1074.2395005879032  -1074.145534633289   0.00031516335607723614
2put1sa   -1236.6123002783331  -1236.5431822638036  0.00023182295666582814
2sa       -1398.9063952265894  -1398.8571904924718  0.00016503348689522336
3put1sa   -1505.1897401618257  -1505.1051029686842  0.0002838745367827483
1put2sa   -1667.517389917917   -1667.4547710399381  0.00021002474586165099
4put1sa   -1773.756199711959   -1773.6539884057404  0.00034281840086723464
2put2sa   -1936.1063889360037  -1936.02630087191    0.00026861668319007125
3sa       -2098.360805836168   -2098.2987581103225  0.00020810909221941615
3put2sa   -2204.6849236652993  -2204.5882695033365  0.0003241796477052949
1put3sa   -2366.989197907409   -2366.913896120902   0.00025256342950523485
4put2sa   -2473.242769361371   -2473.1306610056117  0.00037601326768020945
2put3sa   -2635.58631977496    -2635.4970377925233  0.00029945323641388584
4sa       -2797.8175642301603  -2797.740197107555   0.00025949060072092794
3put3sa   -2904.1733415311337  -2904.065261674835   0.00036250161428378686
1put4sa   -3066.4622645334903  -3066.3734286562767  0.0002979569921631399
4put3sa   -3172.747226079464   -3172.6278683437085  0.0004003278073328862
2put4sa   -3335.068541017682   -3334.9658512203014  0.0003444232680906922
3put4sa   -3603.654178369223   -3603.536072994657   0.0003961273673176213
4put4sa   -3872.23973446097    -3872.108626651034   0.0004397377492415345
