#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2w        -152.8084914351091   -152.77587329214128  0.00010940178758276483
3w        -229.21470268478998  -229.1773885580121   0.00012515219445873949
4w        -305.62472964115625  -305.582058916221    0.0001431183127125702
5w        -382.0301616761366   -381.98048024084545  0.00016663235046497936
6w        -458.4329723655393   -458.3807492313522   0.00017515725033410105
7w        -534.841461058867    -534.7841681689877   0.0001921612942457869
8w        -611.254056653461    -611.1943874612972   0.00020013145116151563
9w        -687.6594973993544   -687.5938972756592   0.0002200238929909032
10w       -764.0664080429665   -763.996901520298    0.00023312601934737573
1sa1w     -776.5252873488872   -776.4846035563282   0.0001364541088679995
1sa2w     -852.935548792834    -852.88943172115     0.0001546774163472946
1sa3w     -929.3442811732293   -929.2925209962557   0.0001736044842314058
1sa4w     -1005.7542528518416  -1005.6969906771133  0.00019205827512441015
1sa5w     -1082.161541783014   -1082.099713975919   0.00020737148111623952
1sa6w     -1158.5736754814789  -1158.5093817938055  0.0002156420851029716
1sa7w     -1234.9817597065773  -1234.912251241385   0.00023313253460436454
1sa8w     -1311.388790843687   -1311.3144213939095  0.00024943635679237404
1sa9w     -1387.8007963904004  -1387.7244212087614  0.000256163614418285
2sa       -1400.238541690085   -1400.1893314349732  0.00016505200439964634
1sa10w    -1464.2088452689304  -1464.1268529355546  0.0002750036336603597
2sa1w     -1476.650479045125   -1476.59590646525    0.00018303732978362303
1sa11w    -1540.6188260100132  -1540.5318163086113  0.00029183196847868407
2sa2w     -1553.0622763807053  -1553.0015884846473  0.00020354820076465868
1sa12w    -1617.0250644279643  -1616.9341189036281  0.00030503278328382805
2sa3w     -1629.4736495605355  -1629.410280949581   0.00021253936258428186
1sa13w    -1693.4344020317433  -1693.3403877708909  0.00031532537599346855
2sa4w     -1705.885915982005   -1705.8194557478857  0.00022290871748856855
1sa14w    -1769.8420408848365  -1769.742302456346   0.0003345243283267095
2sa5w     -1782.2968209328674  -1782.2243362205104  0.00024311491650858466
1sa15w    -1846.2507556271999  -1846.1479105098742  0.0003449442137364872
3sa       -2100.360851522249   -2100.2968732300697  0.00021458424343182028
3sa1w     -2176.774157470713   -2176.7059026879106  0.00022892766326446096
3sa2w     -2253.188224683217   -2253.115705171214   0.0002432316350927321
3sa3w     -2329.6028356249412  -2329.5280045735294  0.0002509845762596147
3sa4w     -2406.014764888153   -2405.9355402855813  0.00026572061905664774
3sa5w     -2482.427719936425   -2482.342381700047   0.00028622584731848857
4sa       -2800.4868527960375  -2800.413165281392   0.0002471491351516843
4sa1w     -2876.8993549634165  -2876.8208235550123  0.0002633956344258843
4sa2w     -2953.315617554418   -2953.2316589527636  0.00028159852978152197
4sa3w     -3029.7304018491336  -3029.644631471565   0.0002876752559748363
4sa4w     -3106.1420106889645  -3106.05043101071    0.0003071597459484677
4sa5w     -3182.5554461688516  -3182.4595448660493  0.00032165454570615544
