#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2am       -113.05566862703388  -113.02054110028108  0.0001178183020385581
1am1ma    -152.319322318914    -152.2813754469675   0.000127274432153275
2ma       -191.58417647401023  -191.54383029322562  0.00013532175342814893
1am1dma   -191.5900728303147   -191.54951867244878  0.00013601931197693577
1dma1ma   -230.85599535343252  -230.81162302954291  0.0001488255035707257
1am1eda   -246.92421249726902  -246.8829786458749   0.00013829901524106802
2dma      -270.12568305307707  -270.07979185903133  0.00015391981903649255
1eda1ma   -286.1892232346552   -286.144596718734    0.0001496780678221309
1dma1eda  -325.4597821114631   -325.4125194726635   0.00015851966728011463
2eda      -380.7940305758674   -380.74593571061797  0.00016131096847037205
