#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2am       -112.92140946706989  -112.88628194031706  0.0001178183020385581
1am1ma    -152.11913810463602  -152.08119123268955  0.000127274432153275
2ma       -191.31829157273427  -191.27794539194963  0.00013532175342814893
1am1dma   -191.32521556391976  -191.28466140605383  0.00013601931197693577
1dma1ma   -230.52488799163552  -230.48051566774592  0.0001488255035707257
1am1eda   -246.594485058393    -246.55325120699894  0.00013829901524106802
2dma      -269.730260731292    -269.6843695372463   0.00015391981903649255
1eda1ma   -285.7937987394531   -285.749172223532    0.0001496780678221309
1dma1eda  -324.99956445945105  -324.9523018206515   0.00015851966728011463
2eda      -380.26892125360246  -380.220826388353    0.00016131096847037205
