#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1fa    -245.97076526358757  -245.93469888259506  0.00012096723458818805
1fa1ma    -285.1706809890809   -285.1319595732127   0.00012987226519596751
1dma1fa   -324.37850261140056  -324.3357857741605   0.00014327297414058117
1am1nta   -337.00651846483805  -336.96886931984915  0.0001262758510442277
1ma1nta   -376.2078408996785   -376.1673088215991   0.000135945256010254
1eda1fa   -379.6476565097969   -379.6039083122017   0.00014673217372203053
1dma1nta  -415.41220824572184  -415.3691845485865   0.0001443021872726715
1am1msa   -719.998855697137    -719.9567623387301   0.00014118181588781598
1am1sa    -755.9210580662518   -755.8800054367016   0.0001376911941980377
1ma1msa   -759.1998614212313   -759.1550644322286   0.00015024983733912453
1ma1sa    -795.1239797875788   -795.0795317053609   0.00014907959824922375
1dma1msa  -798.4107725781198   -798.3629995008037   0.00016023168645418588
1dma1sa   -834.3364106850249   -834.2882505154028   0.0001615300004101127
1eda1msa  -853.679836389144    -853.631242387493    0.00016298508016492405
1sa1tma   -873.5473807212139   -873.4978471519322   0.00016613640543851354
1eda1sa   -889.6038576115249   -889.5557447202387   0.0001613714280934498
