#CLUSTER      dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2am1msa       -777.2725309516085   -777.2256351457584   0.00015728930353890386
2am1sa        -813.1974355945599   -813.1486630793554   0.000163583817556745
1am1ma1msa    -816.5443172300614   -816.493653173386    0.00016992807873702107
1am1ma1sa     -852.4646920407291   -852.4150255195481   0.00016658232829448703
1am1dma1msa   -855.809970300015    -855.7552715605299   0.0001834604711895325
2ma1msa       -855.8111903294244   -855.7584167495131   0.00017700345433948415
2ma1sa        -891.7320120360729   -891.6786190538721   0.00017908093979813344
1am1dma1sa    -891.739947249347    -891.6863365056436   0.00017981131545687134
1am1eda1msa   -911.1517840488153   -911.0962809216155   0.00018615840080419483
1dma1ma1sa    -931.0070256362706   -930.9508816186535   0.00018830795779640355
2dma1msa      -934.358225924634    -934.298637335774    0.00019986110635597312
1am1eda1sa    -947.073568472972    -947.0182209649345   0.00018563645157677303
1eda1ma1msa   -950.4190527262842   -950.360949781111    0.00019487823301435447
1dma1ma1msa   -950.4190527262842   -950.360949781111    0.00019487823301435447
2dma1sa       -970.2782656382489   -970.2184987701041   0.00020045905800658724
1eda1ma1sa    -986.3405753472725   -986.2821684696058   0.00019589762759258196
1dma1eda1msa  -989.6897868313063   -989.6291327283922   0.00020343485800452103
1dma1eda1sa   -1025.6156842637438  -1025.5555505276013  0.00020168953930021518
2eda1msa      -1045.0286214911835  -1044.9674452826741  0.00020518600875191054
2eda1sa       -1080.9482784026345  -1080.8866746875258  0.00020661987291216628
