#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2fa       -379.4131701443304   -379.3746439503548   0.00012921748775984892
1fa1nta   -470.5146433599581   -470.47403343395644  0.00013620635922066254
2nta      -561.6135567817582   -561.5706516080654   0.00014390465769851765
1fa1msa   -853.910890243593    -853.8659700060384   0.00015066321500788754
1fa1sa    -889.8269219078209   -889.7829841134092   0.00014736808456031726
1msa1nta  -945.0113261375532   -944.9639114728652   0.00015902956460818034
1nta1sa   -980.9253336916056   -980.8790811332793   0.00015513184077247134
2msa      -1328.4096126261845  -1328.3592407112133  0.00016894823066016795
1msa1sa   -1364.3239403697994  -1364.2734819197995  0.00016923847056822728
2sa       -1400.2382689951105  -1400.1888631768836  0.0001657079263015472
