#CLUSTER     dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am2msa      -1383.5428230294508  -1383.4866486872804  0.0001884096668458595
1am1msa1sa   -1419.4710566938843  -1419.4174400089482  0.00017983124244766834
1ma2msa      -1422.7517200594514  -1422.6928948127172  0.00019730084432046033
1am2sa       -1455.3915752027513  -1455.3380301804948  0.00017959088464299718
1ma1msa1sa   -1458.6807071130017  -1458.6234912945595  0.0001919027953799641
1dma2msa     -1461.9634859895757  -1461.9016372668123  0.0002074416326125835
1ma2sa       -1494.5998889324528  -1494.543642068059   0.00018865290757450094
1dma1msa1sa  -1497.8928734183082  -1497.83241821282    0.00020276775276865337
1eda2msa     -1517.2346709056847  -1517.173879272621   0.0002038961363851838
1dma2sa      -1533.8134022393     -1533.7531387407475  0.00020212476455780385
1eda1msa1sa  -1553.1595651767818  -1553.0976476630688  0.0002076723585878267
1eda2sa      -1589.0804967576778  -1589.0183038420819  0.0002085960610297021
