# CLUSTER  dG
1am1dma1msa1sa   -1554.366272007529
1am1dma2msa      nan
1am1dma2sa       -1590.288458035833
1am1eda1msa1sa   -1609.6347380251168
1am1eda2msa      -1573.7089585108638
1am1ma1msa1sa    -1515.154970749636
1am1ma2msa       -1479.2318643655028
1am1ma2sa        -1551.079604740803
1dma1eda1msa1sa  -1688.054127235376
1dma1eda2msa     -1652.1280541108442
1dma1eda2sa      -1723.977524780223
1dma1ma1msa1sa   -1593.575653629873
1dma1ma2msa      -1557.648186760261
1dma1ma2sa       -1629.4976317003773
1eda1ma1msa1sa   -1648.8428960291021
1eda1ma2msa      -1612.9173691389808
1eda1ma2sa       -1684.765898862799
2am1msa1sa       -1475.9447281065668
2am2msa          -1440.0205617752968
2am2sa           -1511.8681767889148
2dma1msa1sa      -1632.7867560154332
2dma2msa         -1596.8620826650001
2dma2sa          -1668.7084634552718
2eda1msa1sa      -1743.3223421224159
2eda2msa         -1707.3944380811442
2eda2sa          -1779.2446006835723
2ma1msa1sa       -1554.3633498534539
2ma2msa          -1518.439834718904
2ma2sa           -1590.2868423305601
