#CLUSTER         dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2am2msa          -1440.0194977680635  -1439.959624855182   0.00020081473379653214
2am1msa1sa       -1475.9431571144123  -1475.8842428876715  0.00019759928472487117
1am1ma2msa       -1479.2287531332697  -1479.163805193108   0.00021783645870139474
2am2sa           -1511.8664941628476  -1511.8065164649329  0.0002011661845207406
1am1ma1msa1sa    -1515.1522987152898  -1515.0876907236966  0.00021669626561556708
2ma2msa          -1518.4348283876739  -1518.3642167720745  0.00023683251920005814
1am1dma2msa      -1518.438831351445   -1518.3707808726167  0.0002282424243773906
1am1ma2sa        -1551.076205139278   -1551.0112682008144  0.0002177995588251883
2ma1msa1sa       -1554.3601032971767  -1554.2916299137607  0.0002296608533167435
1am1dma1msa1sa   -1554.3642007397302  -1554.2989131547247  0.00021897563309052333
1dma1ma2msa      -1557.6455960843132  -1557.5751475141828  0.00023628566201701034
1am1eda2msa      -1573.7054550585976  -1573.6359986783614  0.00023295784080431089
2ma2sa           -1590.2832419883182  -1590.215056541486   0.00022869510928102637
1am1dma2sa       -1590.2856322772952  -1590.2185617977223  0.00022495549077006623
1dma1ma1msa1sa   -1593.5731340063537  -1593.5041090337706  0.00023151089244696313
2dma2msa         -1596.8571886366187  -1596.7813149706246  0.000254481522704143
1am1eda1msa1sa   -1609.6319560267175  -1609.5646803714867  0.00022564365329720267
1eda1ma2msa      -1612.9136623666648  -1612.840534212048   0.0002452730324224851
1dma1ma2sa       -1629.4954041501594  -1629.4270836416697  0.0002291481082992323
2dma1msa1sa      -1632.7842457623387  -1632.7127496001553  0.00023979930298000807
1am1eda2sa       -1645.553216431377   -1645.486450141838   0.00022393523239666601
1eda1ma1msa1sa   -1648.839571785245   -1648.7691415462232  0.00023622417917743227
1dma1eda2msa     -1652.124487618724   -1652.049316465297   0.00025212528400952967
2dma2sa          -1668.7063982627658  -1668.6359800476155  0.0002361838509141357
1eda1ma2sa       -1684.7629250675072  -1684.6927382198019  0.00023540784070124398
1dma1eda1msa1sa  -1688.0516557459998  -1687.97909965424    0.00024335432419873666
2eda2msa         -1707.3920468716085  -1707.31770475169    0.0002493446919953863
1dma1eda2sa      -1723.974735843781   -1723.9021930756937  0.0002433096363814125
2eda1msa1sa      -1743.3181638431445  -1743.2430768417123  0.00025184303683385256
2eda2sa          -1779.2412289414904  -1779.1667672117972  0.0002497458651447814
