# CLUSTER  dG
1am1dma          -191.326290733605
1am1dma1msa      -854.87308549519
1am1dma1msa1sa   -1554.366272007529
1am1dma1sa       -890.804576186889
1am1dma2msa      nan
1am1dma2sa       -1590.288458035833
1am1eda          -246.59414656112398
1am1eda1msa      -910.1484389243601
1am1eda1msa1sa   -1609.6347380251168
1am1eda1sa       -946.0730200219252
1am1eda2msa      -1573.7089585108638
1am1fa           -245.970882785828
1am1ma           -152.11961278572198
1am1ma1msa       -815.6690551497029
1am1ma1msa1sa    -1515.154970749636
1am1ma1sa        -851.592534821161
1am1ma2msa       -1479.2318643655028
1am1ma2sa        -1551.079604740803
1am1msa          -719.9994298942132
1am1msa1sa       -1419.4721043530672
1am1msa1sa1tma   -1593.5700006899776
1am1msa1tma      -894.085506758489
1am1nta          -337.00701152218295
1am1sa           -755.921503279691
1am1sa1tma       -930.0146441596761
1am1tma          -230.536748335183
1am2msa          -1383.5448914754968
1am2msa1tma      -1557.641227596256
1am2sa           -1455.392616820656
1am2sa1tma       -1629.4933077196442
1dma1eda         -325.000302347988
1dma1eda1msa     -988.5566290367418
1dma1eda1msa1sa  -1688.054127235376
1dma1eda1sa      -1024.4858952759744
1dma1eda2msa     -1652.1280541108442
1dma1eda2sa      -1723.977524780223
1dma1fa          -324.37954307401105
1dma1ma          -230.52714763820302
1dma1ma1msa      -949.349543500288
1dma1ma1msa1sa   -1593.575653629873
1dma1ma1sa       -930.0059129443031
1dma1ma2msa      -1557.648186760261
1dma1ma2sa       -1629.4976317003773
1dma1msa         -798.411824543598
1dma1msa1sa      -1497.8951218757293
1dma1msa1sa1tma  -1671.989784085816
1dma1msa1tma     -972.496264830753
1dma1nta         -415.41288505289305
1dma1sa          -834.338515424701
1dma1sa1tma      -1008.4238799276872
1dma1tma         -308.9414845605
1dma2msa         -1461.9655231890904
1dma2sa          -1533.8157068748328
1dma2sa1tma      -1707.9153128983633
1eda1fa          -379.64787936506696
1eda1ma          -285.794121504798
1eda1ma1msa      nan
1eda1ma1msa1sa   -1648.8428960291021
1eda1ma1sa       -985.2747259877
1eda1ma2msa      -1612.9173691389808
1eda1ma2sa       -1684.765898862799
1eda1msa         -853.6806537166091
1eda1msa1sa      -1553.1621555631652
1eda1msa1tma     -1027.7625157810369
1eda1nta         -470.68084074192
1eda1sa          -889.6045886642479
1eda1sa1tma      -1063.6931067403668
1eda1tma         -364.211266146883
1eda2msa         -1517.236141357585
1eda2msa1tma     -1691.328338260582
1eda2sa          -1589.083562784469
1eda2sa1tma      -1763.1862888247738
1fa1ma           -285.170707908656
1fa1msa          -853.0419057762472
1fa1nta          -470.045904240584
1fa1sa           -888.9626919518289
1ma1msa          -759.200785067956
1ma1msa1sa       -1458.682130270199
1ma1msa1sa1tma   -1632.7808943183838
1ma1msa1tma      -933.285404014149
1ma1nta          -376.208481206264
1ma1sa           -795.124876138953
1ma1sa1tma       -969.21464150691
1ma1tma          -269.73561697364397
1ma2msa          -1422.7533941867562
1ma2msa1tma      -1596.8505301317468
1ma2sa           -1494.6011818486058
1ma2sa1tma       -1668.7032116654577
1msa1nta         -944.0710052587679
1msa1sa          -1362.9882496780951
1msa1sa1tma      -1537.0986862922928
1msa2tma         -1011.700302373254
1nta1sa          -979.990105766589
1sa1tma          -873.5482029222791
1sa2tma          -1047.6329556720389
2am              -112.92221984003599
2am1msa          -776.461818767609
2am1msa1sa       -1475.9447281065668
2am1sa           -812.3939308261799
2am2msa          -1440.0205617752968
2am2sa           -1511.8681767889148
2dma             -269.73141667821506
2dma1msa         -933.2898576172349
2dma1msa1sa      -1632.7867560154332
2dma1sa          -969.213911067772
2dma2msa         -1596.8620826650001
2dma2sa          -1668.7084634552718
2eda             -380.268640677735
2eda1msa         -1043.8291030460573
2eda1msa1sa      -1743.3223421224159
2eda1sa          -1079.751702300379
2eda2msa         -1707.3944380811442
2eda2sa          -1779.2446006835723
2fa              -379.0158334594049
2ma              -191.318733098724
2ma1msa          -854.8701303093651
2ma1msa1sa       -1554.3633498534539
2ma1sa           -890.794768006163
2ma2msa          -1518.439834718904
2ma2sa           -1590.2868423305601
2msa             -1327.068927565637
2msa1tma         -1501.1705715112967
2msa2tma         -1675.2595151922542
2nta             -561.0744129121
2sa              -1398.907469053735
2sa1tma          -1573.021824290414
2sa2tma          -1747.1238722026708
2tma             -348.14939965274897
