#CLUSTER         dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1tma          -230.86426934743434  -230.82158865620588  0.00014315173982379828
1ma1tma          -270.12879462025916  -270.0831149113652   0.00015321049436168053
1dma1tma         -309.3989347617978   -309.3507028876443   0.00016177049858642192
2tma             -348.6700438300548   -348.61842558258     0.00017312845035978325
1eda1tma         -364.7318127925084   -364.6804343496728   0.00017232414165883658
1am1msa1tma      -895.0854147097765   -895.0288971054243   0.00018956097384585668
1am1sa1tma       -931.0117115315123   -930.9557210329639   0.0001877930523174225
1ma1msa1tma      -934.3507961098068   -934.2916703616103   0.00019830873116366294
1ma1sa1tma       -970.2769317891963   -970.2192222688042   0.00019355867983278857
1dma1msa1tma     -973.6274263149813   -973.5655177783188   0.00020764224941304023
1dma1sa1tma      -1009.5495407713578  -1009.487560674824   0.00020788226239747693
1msa2tma         -1012.891321629111   -1012.8258081479695  0.00021973329244164247
1eda1msa1tma     -1028.9590098330789  -1028.8959808088462  0.00021140038313817366
1sa2tma          -1048.8233578580134  -1048.7603516093168  0.00021132399361610928
1eda1sa1tma      -1064.88382333891    -1064.8212363339078  0.00020991784337468436
2msa1tma         -1502.7729063248873  -1502.7087923220236  0.0002150394192979502
1msa1sa1tma      -1538.6965518140228  -1538.6339670483276  0.00020991033270207897
1am2msa1tma      -1559.3125154799643  -1559.2429891257025  0.0002331925348377975
2sa1tma          -1574.6165684471398  -1574.554445275735   0.0002083621378667506
1am1msa1sa1tma   -1595.239799274091   -1595.1725576542417  0.00022552949806913514
1ma2msa1tma      -1598.5850914877194  -1598.51168354019    0.00024621146244997846
1am2sa1tma       -1631.160213129302   -1631.0938167787526  0.00022269445094549466
1ma1msa1sa1tma   -1634.5141636917213  -1634.4427636803257  0.00023947681165717452
1dma2msa1tma     -1637.8595040896369  -1637.7837074102265  0.00025422330843657373
1ma2sa1tma       -1670.4333226657288  -1670.3629397152436  0.00023606557264884646
1dma1msa1sa1tma  -1673.7882682924774  -1673.7155779699783  0.00024380453630433468
2msa2tma         -1677.122035249592   -1677.0458325166003  0.00025558521882215876
1eda2msa1tma     -1693.192701290879   -1693.1145127805432  0.00026224554866980125
1dma2sa1tma      -1709.7095333587974  -1709.636122466198   0.00024622134026282613
1msa1sa2tma      -1713.0502180404785  -1712.9748296687205  0.0002528538378597558
1eda1msa1sa1tma  -1729.1188488999999  -1729.0442310953317  0.0002502693431770502
2sa2tma          -1748.9833414558482  -1748.9084893313482  0.00025105525574364775
1eda2sa1tma      -1765.0422886544468  -1764.9669877787896  0.00025256037449959765
