# CLUSTER  dG
1am1dma1msa1nta      -1135.4407377663938
1am1dma1msa1nta1sa   -1834.921889583925
1am1dma1nta          -471.88195093416704
1am1dma1nta1sa       -1171.3640394848996
1am1dma1nta2sa       -1870.844358012099
1am1dma2msa1nta      -1798.9962787467769
1am1dma2nta          -752.4382107221221
1am1eda1msa1nta      -1190.70600937428
1am1eda1msa1nta1sa   -1890.184351884981
1am1eda1nta          -527.146526658914
1am1eda1nta1sa       -1226.6267121868414
1am1eda1nta2sa       -1926.1047204805845
1am1eda2msa1nta      -1854.2595369945798
1am1eda2nta          -807.707719092745
1am1ma1msa1nta       -1096.2261137337382
1am1ma1msa1nta1sa    -1795.7055467919095
1am1ma1nta           -432.66811801637493
1am1ma1nta1sa        -1132.1509613375285
1am1ma1nta2sa        -1831.624246320911
1am1ma2msa1nta       -1759.778705699278
1am1ma2nta           -713.23046540035
1am1msa1nta          -1000.5423416165461
1am1msa1nta1sa1tma   -1874.124257977197
1am1msa1nta1tma      -1174.642571098856
1am1nta              -337.00701110264805
1am1nta1sa           -1036.465352349879
1am1nta1sa1tma       -1210.573747709824
1am1nta1tma          -511.08456464242596
1am1nta2sa1tma       -1910.0467894287442
1am2msa1nta1tma      -1838.2000293215272
1am2nta              -617.5396336765481
1am2nta1tma          -791.642342801735
1dma1eda1msa1nta     -1269.1277391532067
1dma1eda1msa1nta1sa  -1968.6286822427073
1dma1eda1nta         -605.5609233397439
1dma1eda1nta1sa      -1305.0510521091346
1dma1eda1nta2sa      -2004.5270425949298
1dma1eda2msa1nta     -1932.681753630103
1dma1eda2nta         -886.1263433902611
1dma1ma1msa1nta      -1174.651302791313
1dma1ma1msa1nta1sa   -1874.12793041549
1dma1ma1nta          -511.07945716767097
1dma1ma1nta1sa       -1210.572047968076
1dma1ma1nta2sa       -1910.0488828371301
1dma1ma2msa1nta      -1838.3486680892652
1dma1ma2nta          -791.6491130693979
1dma1msa1nta         -1078.963994828622
1dma1msa1nta1sa1tma  -1952.5423639907794
1dma1msa1nta1tma     -1253.0602078355298
1dma1nta             -415.4164864298431
1dma1nta1sa          -1114.886224425246
1dma1nta1sa1tma      -1289.011634697473
1dma1nta1tma         -589.4960863933692
1dma1nta2sa1tma      -1988.4694443747126
1dma2msa1nta1tma     -1916.610839799061
1dma2nta             -695.9600419872221
1dma2nta1tma         -870.063615208522
1eda1ma1msa1nta      -1229.9138647190462
1eda1ma1msa1nta1sa   -1929.3910201422736
1eda1ma1nta          -566.3477857181531
1eda1ma1nta1sa       -1265.840789681797
1eda1ma1nta2sa       -1965.3414737727876
1eda1ma2msa1nta      -1893.4688394761388
1eda1ma2nta          -846.913388017714
1eda1msa1nta         -1134.2357917288828
1eda1msa1nta1sa1tma  -2007.81937151304
1eda1msa1nta1tma     -1308.3309067540952
1eda1nta             -470.684477518753
1eda1nta1sa          -1170.156203449108
1eda1nta1sa1tma      -1344.257580473604
1eda1nta1tma         -644.763976205771
1eda1nta2sa1tma      -2043.7298197230948
1eda2msa1nta1tma     -1971.9396373357022
1eda2nta             -751.2287672195259
1eda2nta1tma         -925.3283768594999
1ma1msa1nta          -1039.7512812464288
1ma1msa1nta1sa1tma   -1913.3325425429841
1ma1msa1nta1tma      -1213.849960008802
1ma1nta              -376.2084784832
1ma1nta1sa           -1075.6765361941536
1ma1nta1sa1tma       -1249.7817492158426
1ma1nta1tma          -550.287907660238
1ma1nta2sa1tma       -1949.2528821422798
1ma2msa1nta1tma      -1877.400434690188
1ma2nta              -656.747929986111
1ma2nta1tma          -830.8487428667079
1msa1nta1sa2tma      -1991.7456146784561
1msa1nta1tma         -1118.172088337071
1msa1nta2tma         -1292.2582923668297
1nta1sa1tma          -1154.097917747231
1nta1sa2tma          -1328.1962854554718
1nta1tma             -454.62536520465
1nta2sa2tma          -2027.666329091939
1nta2tma             -628.7014051203768
2am1msa1nta          -1057.0224864849492
2am1msa1nta1sa       -1756.4998206916562
2am1nta              -393.46188579884
2am1nta1sa           -1092.940784164599
2am1nta2sa           -1792.419089002539
2am2msa1nta          -1720.570037511043
2am2nta              -674.0163964245281
2dma1msa1nta         -1213.862765470633
2dma1msa1nta1sa      -1913.342398748007
2dma1nta             -550.287953743603
2dma1nta1sa          -1249.7870223523537
2dma1nta2sa          -1949.2608948170678
2dma2msa1nta         -1877.408828894689
2dma2nta             -830.867482706563
2eda1msa1nta         -1324.3932148257582
2eda1msa1nta1sa      -2023.877080880418
2eda1nta             -660.85089149797
2eda1nta1sa          -1360.3139949815697
2eda1nta2sa          -2059.7927972866787
2eda2msa1nta         -1987.950312909393
2eda2nta             -941.3881009120751
2ma1msa1nta          -1135.4356999331378
2ma1msa1nta1sa       -1834.91721452519
2ma1nta              -471.87066890401906
2ma1nta1sa           -1171.386911411752
2ma1nta2sa           -1870.841158451598
2ma2msa1nta          -1799.040805417606
2ma2nta              -752.431713003845
2msa1nta2tma         -1955.8147023162667
2nta1tma             -735.1709775874709
2nta2tma             -909.2671722274013
