#CLUSTER             dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1nta              -337.0065129979859   -336.9688659108437   0.00012626894899277392
1ma1nta              -376.20782782825404  -376.16731510046486  0.0001358803548183814
2am1nta              -393.46099283308143  -393.4176146963587   0.00014549098347399516
1dma1nta             -415.4153710990814   -415.3715870302773   0.0001468524863463045
1am1ma1nta           -432.667333411717    -432.6207817675328   0.00015613497965510557
1nta1tma             -454.6249057038653   -454.5793531678325   0.0001527839544956615
1eda1nta             -470.6834232902997   -470.6381226618735   0.00015193905224280478
2ma1nta              -471.8685489385545   -471.8178826930976   0.0001699354199459506
1am1dma1nta          -471.88009677774795  -471.83026879119956  0.00016712388579031312
1dma1ma1nta          -511.0777738437222   -511.0247348707443   0.00017789358704626442
1am1nta1tma          -511.083692428869    -511.031106626444    0.0001763736455644556
1am1eda1nta          -527.1453637459537   -527.0942082266369   0.00017157645251286355
1ma1nta1tma          -550.2854860021496   -550.2282008254429   0.00019213542413751666
2dma1nta             -550.2860404622601   -550.2297056685389   0.00018894782398527407
1eda1ma1nta          -566.3458141072945   -566.2910716122931   0.00018360722790999198
1dma1nta1tma         -589.4942262777839   -589.4363144432085   0.0001942372449292709
1dma1eda1nta         -605.5581848451551   -605.5000012416107   0.00019514876251703112
1am2nta              -617.5376779937711   -617.4884076499155   0.00016525354303355695
1nta2tma             -628.698757727975    -628.6378360244402   0.00020433239488383835
1eda1nta1tma         -644.7619392207147   -644.701936328842    0.00020125068546991454
1ma2nta              -656.7462577593013   -656.6952855089991   0.0001709617652265267
2eda1nta             -660.8490292679708   -660.7909019945255   0.00019495983043849672
2am2nta              -674.0143304719969   -673.9602349173166   0.000181437379440749
1dma2nta             -695.9580349437682   -695.9041961480983   0.0001805762055001374
1am1ma2nta           -713.2266518214605   -713.1672863135367   0.00019911288922889314
2nta1tma             -735.1688113519475   -735.1120525186769   0.00019037005960246588
1eda2nta             -751.2260384068945   -751.1703450392242   0.0001867964704687415
2ma2nta              -752.4300646186108   -752.3706227067593   0.00019936914925939846
1am1dma2nta          -752.4355437472976   -752.3753338427351   0.00020194500943369756
1am2nta1tma          -791.6393164832847   -791.5749269622369   0.00021596351181537573
1dma1ma2nta          -791.6467626087959   -791.5839444974453   0.0002106929778660289
1am1eda2nta          -807.7040547653405   -807.6409426327709   0.0002116791298661179
1ma2nta1tma          -830.8454778465257   -830.779114375767    0.00022258417158734506
2dma2nta             -830.8648115691609   -830.7985315132802   0.00022230439671568913
1eda1ma2nta          -846.9105768729247   -846.8458801735411   0.00021699379300227955
1dma2nta1tma         -870.060359364572    -869.991456946097    0.00023109984395434875
1dma1eda2nta         -886.1229848050616   -886.0546221151224   0.00022928958557478184
2nta2tma             -909.2627043695525   -909.190973731821    0.00024058573782200187
1eda2nta1tma         -925.3244881097121   -925.2539346585179   0.00023663743482844134
2eda2nta             -941.3860066774437   -941.3182828783561   0.00022714673515837218
1am1msa1nta          -1000.5403692150876  -1000.487930001548   0.00017588198403400117
1am1nta1sa           -1036.46321031483    -1036.4107421773786  0.00017597899530883473
1ma1msa1nta          -1039.7493603500907  -1039.6940700999548  0.00018544440763275675
2am1msa1nta          -1057.0197785910555  -1056.9608665284009  0.0001975920263441074
1ma1nta1sa           -1075.672467308774   -1075.6151924188446  0.00019210092211813725
1dma1msa1nta         -1078.9617094879766  -1078.9031346855597  0.00019646084996450964
2am1nta1sa           -1092.93923860874    -1092.8826078095292  0.00018994063126279872
