#CLUSTER             dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1nta              -337.3476218953379   -337.3099748081957   0.00012626894899277392
1ma1nta              -376.61455734505404  -376.5740446172649   0.0001358803548183814
2am1nta              -393.8750630342415   -393.83168489751876  0.00014549098347399516
1dma1nta             -415.88698466923836  -415.8432006004342   0.0001468524863463045
1am1ma1nta           -433.146239395342    -433.09968775115783  0.00015613497965510557
1nta1tma             -455.16091049921533  -455.1153579631825   0.0001527839544956615
1eda1nta             -471.21954677154673  -471.1742461431205   0.00015193905224280478
2ma1nta              -472.4082170345355   -472.3575507890786   0.0001699354199459506
1am1dma1nta          -472.41106684358095  -472.36123885703256  0.00016712388579031312
1dma1ma1nta          -511.6860516760512   -511.63301270307335  0.00017789358704626442
1am1nta1tma          -511.688281786443    -511.63569598401796  0.0001763736455644556
1am1eda1nta          -527.7477440870396   -527.6965885677229   0.00017157645251286355
1ma1nta1tma          -550.9486273419116   -550.891342165205    0.00019213542413751666
2dma1nta             -550.9586457186571   -550.9023109249358   0.00018894782398527407
1eda1ma1nta          -567.0191973891414   -566.96445489414     0.00018360722790999198
1dma1nta1tma         -590.230110884415    -590.1721990498394   0.0001942372449292709
1dma1eda1nta         -606.2886085054112   -606.2304249018667   0.00019514876251703112
1am2nta              -618.153345317223    -618.1040749733676   0.00016525354303355695
1nta2tma             -629.496103607598    -629.4351819040634   0.00020433239488383835
1eda1nta1tma         -645.5555180149438   -645.495515123071    0.00020125068546991454
1ma2nta              -657.4268327731903   -657.375860522888    0.0001709617652265267
2eda1nta             -661.6228247700009   -661.5646974965556   0.00019495983043849672
2am2nta              -674.6886280474688   -674.6345324927885   0.000181437379440749
1dma2nta             -696.6942139565463   -696.6403751608764   0.0001805762055001374
1am1ma2nta           -713.9636634211105   -713.9042979131868   0.00019911288922889314
2nta1tma             -735.9763137644763   -735.9195549312059   0.00019037005960246588
1eda2nta             -752.0342051873685   -751.9785118196982   0.0001867964704687415
1am1dma2nta          -753.2364180251758   -753.1762081206132   0.00020194500943369756
2ma2nta              -753.2480806147657   -753.1886387029141   0.00019936914925939846
1am2nta1tma          -792.5046026815495   -792.4402131605018   0.00021596351181537573
1dma1ma2nta          -792.5214835393981   -792.4586654280473   0.0002106929778660289
1am1eda2nta          -808.5631176725955   -808.5000055400259   0.0002116791298661179
1ma2nta1tma          -831.7853359798178   -831.718972509059    0.00022258417158734506
2dma2nta             -831.794971862598    -831.7286918067172   0.00022230439671568913
1eda1ma2nta          -847.8353718552107   -847.7706751558271   0.00021699379300227955
1dma2nta1tma         -871.0423991560499   -870.9734967375749   0.00023109984395434875
1dma1eda2nta         -887.1065024148006   -887.0381397248615   0.00022928958557478184
2nta2tma             -910.3073801421515   -910.2356495044198   0.00024058573782200187
1eda2nta1tma         -926.3988782502121   -926.328324799018    0.00023663743482844134
2eda2nta             -942.4442337653686   -942.3765099662811   0.00022714673515837218
1am1msa1nta          -1001.5537665985416  -1001.5013273850019  0.00017588198403400117
1am1nta1sa           -1037.472936964951   -1037.4204688274997  0.00017597899530883473
1ma1msa1nta          -1040.8225501036618  -1040.7672598535262  0.00018544440763275675
2am1msa1nta          -1058.0880921061064  -1058.0291800434518  0.0001975920263441074
1ma1nta1sa           -1076.73663111462    -1076.6793562246905  0.00019210092211813725
1dma1msa1nta         -1080.1032576593545  -1080.0446828569377  0.00019646084996450964
2am1nta1sa           -1094.009549444141   -1093.95291864493    0.00018994063126279872
1am1ma1msa1nta       -1097.366098513337   -1097.3063126270283  0.00020052284524130977
1dma1nta1sa          -1116.0224900188857  -1115.9643778874197  0.00019490904399144035
1msa1nta1tma         -1119.3740105261381  -1119.3135698943984  0.0002027188721779535
1am1ma1nta1sa        -1133.2833690093876  -1133.2220803273283  0.0002055632468867474
1eda1msa1nta         -1135.4365932475596  -1135.3763451896664  0.00020207297633101942
2ma1msa1nta          -1136.637108925099   -1136.5734455046434  0.0002135281584962617
1am1dma1msa1nta      -1136.637343931082   -1136.573467412591   0.00021424289280823713
1nta1sa1tma          -1155.2729908613046  -1155.2120529537458  0.00020438674344748934
1eda1nta1sa          -1171.3565099770128  -1171.295621165954   0.00020422207297951896
2ma1nta1sa           -1172.5505429845111  -1172.4869641769887  0.00021324436532782544
1am1dma1nta1sa       -1172.557164055608   -1172.4930826461975  0.00021493010031968277
1dma1ma1msa1nta      -1175.8971390817405  -1175.8300631004654  0.00022497394356911943
1am1msa1nta1tma      -1175.9030459350477  -1175.8369455489467  0.00022170178132175822
1am1eda1msa1nta      -1191.9824037571566  -1191.9168450919535  0.00021988484052686306
1am1nta1sa1tma       -1211.823561273368   -1211.757287005784   0.00022228498267226295
1dma1ma1nta1sa       -1211.826331189819   -1211.759268831322   0.00022492825254728262
2dma1msa1nta         -1215.1767079888455  -1215.105893808799   0.00023751192368425252
1ma1msa1nta1tma      -1215.188258794282   -1215.118533653532   0.0002338592679858595
1am1eda1nta1sa       -1227.902429508308   -1227.8400627987583  0.00020917896880676715
1eda1ma1msa1nta      -1231.254997632033   -1231.1863091893167  0.00023038216574322235
1ma1nta1sa1tma       -1251.0973414018456  -1251.0294876859714  0.00022758247819633048
2dma1nta1sa          -1251.0984504131293  -1251.0299436448474  0.00022977282670401755
1dma1msa1nta1tma     -1254.463064017237   -1254.3919928771302  0.00023837377194982663
1eda1ma1nta1sa       -1267.1541862583172  -1267.0873572099106  0.00022414572667008603
1dma1eda1msa1nta     -1270.5058165469293  -1270.435985774125   0.00023421355963228782
1dma1nta1sa1tma      -1290.3675114747045  -1290.2968743864528  0.00023691795489418457
1msa1nta2tma         -1293.7249886351813  -1293.6526013920882  0.0002427880029957506
1dma1eda1nta1sa      -1306.432492705976   -1306.3622958665017  0.0002354413532601305
1eda1msa1nta1tma     -1309.7597479365206  -1309.686344406618   0.00024619664565663646
2eda1msa1nta         -1325.8410402951927  -1325.768473696984   0.0002433895630003168
1nta1sa2tma          -1329.6268830714284  -1329.552234260542   0.0002503733385420083
1eda1nta1sa1tma      -1345.6931856526164  -1345.6208637160485  0.00024256896383665938
2eda1nta1sa          -1361.7825823924122  -1361.7119686833107  0.00023683954084038433
2am2msa1nta          -1722.3204875332667  -1722.2498435425985  0.000236941105712719
2am1msa1nta1sa       -1758.2213975294821  -1758.1483591324513  0.0002449719840043069
1am1ma2msa1nta       -1761.5934716790885  -1761.5192248672156  0.0002490250272443187
2am1nta2sa           -1794.153615702292   -1794.0817412531821  0.0002410680835482105
1am1ma1msa1nta1sa    -1797.4935440906052  -1797.4204660588723  0.0002451049194459173
2ma2msa1nta          -1800.8546450995893  -1800.7766234617598  0.0002616858555408805
1am1dma2msa1nta      -1800.855117176805   -1800.7758862447272  0.00026574184832390245
1am1ma1nta2sa        -1833.42798087409    -1833.3551304055911  0.00024434166861953644
2ma1msa1nta1sa       -1836.7645250360115  -1836.6872298520725  0.0002592493172531755
1am1dma1msa1nta1sa   -1836.7708414458107  -1836.6931508884425  0.00026057540623251315
1am2msa1nta1tma      -1840.1142161013306  -1840.032232866882   0.00027497311570915924
1dma1ma2msa1nta      -1840.130855624436   -1840.05022252084    0.00027044475464022103
1am1eda2msa1nta      -1856.203721659665   -1856.1247993706045  0.0002647066545719157
2ma1nta2sa           -1872.6515624055833  -1872.5735650420472  0.0002616044391613341
1am1dma1nta2sa       -1872.689640266119   -1872.6127528355503  0.0002578817057484729
1am1msa1nta1sa1tma   -1876.0338382576194  -1875.9541933040111  0.000267130483341532
