#CLUSTER            dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1fa              -245.97076783177636  -245.93469634098517  0.00012098437293704236
1fa1ma              -285.171465854717    -285.13185455696237  0.00013285694366775715
2am1fa              -302.4302280073973   -302.38712497648476  0.00014456827406516033
1dma1fa             -324.3781259771823   -324.33658152710984  0.00013934076831282317
1am1fa1ma           -341.63113418018463  -341.5852204817711   0.00015399529905611514
1fa1tma             -363.58911336021436  -363.5448284376921   0.00014853235794843567
1eda1fa             -379.64766424721483  -379.60388394839674  0.00014683984175123947
1fa2ma              -380.831085484441    -380.78030926865983  0.00017030426222082085
1am1dma1fa          -380.83681004446174  -380.78600814603254  0.00017039040224455768
1dma1fa1ma          -420.03753851836285  -419.98495643075347  0.00017636118601168673
1am1fa1tma          -420.0443332765801   -419.9918681970805   0.0001759687388882203
1am2fa              -435.47710452074324  -435.4291601845933   0.00016080609139706496
1am1eda1fa          -436.10614297454714  -436.0543998159289   0.0001735474043881237
2dma1fa             -459.24256824356945  -459.18669420205157  0.00018740245352302396
1fa1ma1tma          -459.2450823483996   -459.1896278355273   0.00018599534755090854
2fa1ma              -474.67796666077794  -474.62801240053426  0.00016754740983947574
1eda1fa1ma          -475.3053742627074   -475.2522252494006   0.00017826266411813873
2am2fa              -491.93623843338014  -491.88285802176483  0.00017903877784782463
1dma1fa1tma         -498.45192133338224  -498.3933641110369   0.00019640188611565003
1dma2fa             -513.8870252380954   -513.8354554899225   0.00017296578290459545
1dma1eda1fa         -514.5125950005639   -514.4552367128562   0.0001923806396371177
1am2fa1ma           -531.1389555520734   -531.0842660807887   0.00018342938549284772
1fa2tma             -537.6589440918374   -537.5988441910217   0.0002015760550587299
2fa1tma             -553.095061657708    -553.0402466989393   0.00018385027257634712
1eda1fa1tma         -553.7214182388585   -553.6611398395495   0.00020217474193881877
1eda2fa             -569.1555404504418   -569.1016031000615   0.00018090675961825802
2eda1fa             -569.7812539314211   -569.7224425046552   0.0001972544919201174
2fa2ma              -570.3398960646249   -570.2810604725281   0.000197335542837399
1am1dma2fa          -570.348203054935    -570.2896624522424   0.00019634614352789169
1dma2fa1ma          -609.547803272347    -609.4864478162715   0.00020578720803445408
