#CLUSTER            dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1fa              -246.23827359716435  -246.20220210637316  0.00012098437293704236
1fa1ma              -285.5045119560119   -285.46490065825736  0.00013285694366775718
2am1fa              -302.76735581455125  -302.72425278363875  0.00014456827406516033
1dma1fa             -324.7757153789853   -324.7341709289128   0.00013934076831282317
1am1fa1ma           -342.0335770599287   -341.9876633615151   0.00015399529905611514
1fa1tma             -364.0499911275413   -364.005706205019    0.00014853235794843567
1eda1fa             -380.1098863571329   -380.06610605831474  0.00014683984175123947
1fa2ma              -381.28910782865603  -381.2383316128749   0.00017030426222082085
1am1dma1fa          -381.29323386008474  -381.24243196165554  0.00017039040224455768
1dma1fa1ma          -420.5631021892578   -420.5105201016484   0.00017636118601168673
1am1fa1tma          -420.57336039321314  -420.5208953137136   0.00017596873888822028
1am2fa              -435.93189397760926  -435.88394964145925  0.00016080609139706498
1am1eda1fa          -436.6344421111761   -436.5826989525578   0.00017354740438812373
2dma1fa             -459.83141468273635  -459.77554064121847  0.00018740245352302396
1fa1ma1tma          -459.83207298398656  -459.77661847111426  0.00018599534755090854
2fa1ma              -475.19605712129396  -475.14610286105034  0.00016754740983947574
1eda1fa1ma          -475.9030574237304   -475.84990841042355  0.00017826266411813873
2am2fa              -492.4737262156572   -492.4203458040419   0.0001790387778478247
1dma1fa1tma         -499.1051149226892   -499.04655770034384  0.00019640188611565
1dma2fa             -514.4695220154845   -514.4179522673114   0.00017296578290459545
1dma1eda1fa         -515.1737528004688   -515.1163945127611   0.0001923806396371177
1am2fa1ma           -531.7430903511345   -531.6884008798497   0.00018342938549284772
1fa2tma             -538.3815113062784   -538.3214114054626   0.0002015760550587299
2fa1tma             -553.7385659330729   -553.6837509743043   0.00018385027257634718
1eda1fa1tma         -554.4415433342275   -554.3812649349185   0.00020217474193881882
1eda2fa             -569.8131719726268   -569.7592346222466   0.00018090675961825802
2eda1fa             -570.5039601650511   -570.4451487382852   0.0001972544919201174
2fa2ma              -571.0084944090031   -570.9496588169061   0.00019733554283739903
1am1dma2fa          -571.0107937481531   -570.9522531454603   0.00019634614352789169
1am2fa1tma          -610.2810939542934   -610.2200124571496   0.0002048683452753116
1dma2fa1ma          -610.281283136038    -610.2199276799626   0.00020578720803445408
1am1eda2fa          -626.345049282882    -626.2843301913052   0.00020365283104739623
2fa1ma1tma          -649.5438351620261   -649.4788448780064   0.00021797848069666652
2dma2fa             -649.5458149143685   -649.4820670949495   0.00021381123400663154
1eda2fa1ma          -665.5992374621405   -665.5363367580107   0.0002109699954041498
1dma2fa1tma         -688.8209458807866   -688.7549683632216   0.0002212896782323278
1dma1eda2fa         -704.8684033790848   -704.8023419776225   0.00022157102620262037
2fa2tma             -728.072630960734    -728.0046888868206   0.0002278788325117133
1eda2fa1tma         -744.1518124560885   -744.0842049655133   0.0002267566344967187
2eda2fa             -760.2098001635298   -760.1427924190418   0.00022474507626383478
1am1fa1msa          -910.4386528244198   -910.3860293125028   0.00017650012382024232
1am1fa1sa           -946.3695414543716   -946.3188801437018   0.0001699188685892007
1fa1ma1msa          -949.7110516069589   -949.656515433924    0.0001829152206435131
2am1fa1msa          -966.9896223137509   -966.9335230744489   0.00018815777059233676
1fa1ma1sa           -985.6438971391578   -985.5905610319311   0.00017889018020043906
1dma1fa1msa         -988.9842014816039   -988.926537196087    0.0001934069613179327
2am1fa1sa           -1002.9087298742415  -1002.8529259024515  0.0001871674385042482
1am1fa1ma1msa       -1006.2538931173136  -1006.1922065801983  0.00020689765928336688
1dma1fa1sa          -1024.9193496544085  -1024.8629232654553  0.00018925503589904016
1fa1msa1tma         -1028.2650739819485  -1028.206055850693   0.00019794778217481875
1am1fa1ma1sa        -1042.1805959640858  -1042.1210108682087  0.00019984939083368626
1eda1fa1msa         -1044.3004894341695  -1044.2413538087158  0.00019834185964679395
1fa2ma1msa          -1045.501416345061   -1045.4365701245856  0.00021749528920170295
1am1dma1fa1msa      -1045.5291064179073  -1045.4655663749734  0.00021311434826082012
1fa1sa1tma          -1064.1855497108395  -1064.1279336576351  0.00019324518934898228
1eda1fa1sa          -1080.2531095912655  -1080.1945486980953  0.0001964141981220762
1fa2ma1sa           -1081.4479743415027  -1081.38388876614    0.00021494407299237094
1am1dma1fa1sa       -1081.4545019378243  -1081.3925006491668  0.00020795334112839626
1dma1fa1ma1msa      -1084.7822049254987  -1084.7152605982221  0.00022453237389461828
1am1fa1msa1tma      -1084.7960465828307  -1084.7297653861324  0.00022230822303674885
1am1eda1fa1msa      -1100.856825915594   -1100.7916725681869  0.0002185253979781847
1am1fa1sa1tma       -1120.71743712735    -1120.6527524578662  0.00021695344452008812
1dma1fa1ma1sa       -1120.7185584537908  -1120.6534196462312  0.00021847663109020752
2dma1fa1msa         -1124.0437373110851  -1123.9746010342824  0.0002318842086291443
1fa1ma1msa1tma      -1124.060094495077   -1123.9920324640984  0.0002282811704796689
1am1eda1fa1sa       -1136.7875044273585  -1136.7238695325213  0.0002134324831032399
1eda1fa1ma1msa      -1140.0914929971989  -1140.0233463169745  0.00022856508544135044
1fa1ma1sa1tma       -1159.9897222723387  -1159.921521005884   0.00022874816855520926
2dma1fa1sa          -1159.9908162534243  -1159.9232562528582  0.00022659735222603955
1dma1fa1msa1tma     -1163.3101465801612  -1163.2383443385543  0.00024082589839690438
1eda1fa1ma1sa       -1176.048495458816   -1175.9801592711933  0.00022920069636982477
1dma1eda1fa1msa     -1179.360174368566   -1179.2903714853219  0.0002341200175886498
1dma1fa1sa1tma      -1199.259566297591   -1199.1894972139232  0.00023501285818424645
