# CLUSTER  dG
1am1aq        -132.798918135061
1am1aq1p1sa   -832.606955928436
1am1aq1sa     -832.260077123212
1am1aq2sa     -1531.7350679340764
1am1aq3sa     -2231.1941428218256
1am1b         -755.4141281882219
1am1b1sa      -1454.9142012163761
1am1b1sa1w    -1531.2540953727519
1am1b1sa2w    -1607.593498453302
1am1b1sa3w    -1683.9327733216612
1am1b1sa4w    -1760.275541895485
1am1b1sa5w    -1836.6116138343832
1am1b1w       -831.7567244592241
1am1b2sa      -2154.3998487384542
1am1b2sa1w    -2230.7432240894004
1am1b2sa2w    -2307.0827289077956
1am1b2sa3w    -2383.418920740758
1am1b2sa4w    -2459.7505441200174
1am1b2sa5w    -2536.0923088705704
1am1b2w       -908.1007689475539
1am1b3sa      -2853.8758137137615
1am1b3sa1w    -2930.2202794892673
1am1b3sa2w    -3006.5572800249333
1am1b3sa3w    -3082.8883295696933
1am1b3w       -984.44000405403
1am1b4sa      -3553.3435157909303
1am1b4w       -1060.779626798319
1am1b5sa      -4252.810358547452
1am1b5w       -1137.1136494753218
1am1b6sa      -4952.264654811787
1am1dma       -191.325733471521
1am1dma1p     -191.704844486776
1am1dma1p1sa  -891.1770688765669
1am1dma1p2sa  -1590.6483568111178
1am1dma1sa    -890.8029092328829
1am1dma2sa    -1590.288696191135
1am1dma3sa    -2289.7590551042895
1am1dma4sa    -2989.2238057040345
1am1gly       -340.45030068493105
1am1gly1p     -340.80788684271107
1am1gly1p1sa  -1040.280006681896
1am1gly1p2sa  -1739.7518297148872
1am1gly1sa    -1039.918085474115
1am1gly2sa    -1739.3920197893212
1am1glyt      -339.906710689011
1am1glyt1sa   -1039.4179711087997
1am1glyt2sa   -1738.9083249475561
1am1homF      -815.162508697375
1am1homF1sa   -1514.6341619355837
1am1homF2sa   -2214.0992560749933
1am1p1sa      -756.2579050283639
1am1p2sa      -1455.72401851344
1am1pha       -699.8470362538069
1am1sa        -755.921769941037
1am2aq        -209.131752915043
1am2aq1p      -209.49481184928302
1am2aq1p1sa   -908.9556838663211
1am2aq1sa     -908.6038323008061
1am2aq2sa     -1608.069040122925
1am2aq3sa     -2307.537893847776
1am2dma1p     -326.588592152829
1am2dma1p1sa  -1026.074363539884
1am2dma1p2sa  -1725.5658451981124
1am2dma1p3sa  -2425.0255947966416
1am2dma1sa    -1025.6762387267777
1am2dma2sa    -1725.177149234832
1am2dma3sa    -2424.6533669509895
1am2dma4sa    -3124.131003684326
1am2homF1sa   -2273.3380969731957
1am2homF2sa   -2972.8003567095657
1am2sa        -1455.3927412604378
1am3aq        -285.4681124064161
1am3aq1p      -285.84225142378307
1am3aq1p1sa   -985.2974903375331
1am3aq1sa     -984.9428018533109
1am3aq2sa     -1684.410994519934
1am3aq3sa     -2383.8741923923585
1am3dma1p2sa  -1860.4632496534264
1am3dma1p3sa  -2559.9381904145826
1am3dma1p4sa  -3259.3998093087766
1am3dma2sa    -1860.0544413739733
1am3dma3sa    -2559.5438019376397
1am3dma4sa    -3259.0233074129155
1am3sa        -2154.854800939233
1am4aq        -361.803829929228
1am4aq1p      -362.185123069462
1am4aq1p1sa   -1061.643205512779
1am4aq1sa     -1061.2805614312338
1am4aq2sa     -1760.7468777615338
1am4aq3sa     -2460.213103340316
1am4sa        -2854.312484821686
1am5aq1p      -438.52616341918593
1am5aq1sa     -1137.6194096980528
1am5aq2sa     -1837.0868738418972
1am5aq3sa     -2536.54999156719
1am5sa        -3553.769854851145
1aq1dma1p     -211.57344558529996
1aq1dma1p1sa  -911.0364698492041
1aq2dma1p1sa  -1045.946855616239
1b1dma        -833.821883121063
1b1dma1sa     -1533.3345146190914
1b1dma1sa1w   -1609.6696591437928
1b1dma1sa2w   -1686.008877157026
1b1dma1sa3w   -1762.349471875023
1b1dma1sa4w   -1838.687893660786
1b1dma1sa5w   -1915.025813913804
1b1dma1w      -910.1663505372561
1b1dma2sa     -2232.819282893969
1b1dma2sa1w   -2309.154437831553
1b1dma2sa2w   -2385.49490700711
1b1dma2sa3w   -2461.8220722938054
1b1dma2sa4w   -2538.162291899131
1b1dma2sa5w   -2614.4981547680227
1b1dma2w      -986.5080611833681
1b1dma3sa     -2932.287631554309
1b1dma3sa1w   -3008.63795207496
1b1dma3sa2w   -3084.9613676299496
1b1dma3sa3w   -3161.293431374492
1b1dma3sa4w   -3237.640981896707
1b1dma3sa5w   -3313.9767410695813
1b1dma3w      -1062.847981143378
1b1dma4sa     -3631.7600249630123
1b1dma4sa1w   -3708.101011715977
1b1dma4sa2w   -3784.4310771012697
1b1dma4sa3w   -3860.7672155296355
1b1dma4sa4w   -3937.116566070499
1b1dma4sa5w   -4013.4568376793645
1b1dma4w      -1139.190802157521
1b1dma5sa     -4331.230865326701
1b1dma5w      -1215.5269338921773
1b1sa         -1398.453315075928
1b1sa1w       -1474.793202134809
1b1sa2w       -1551.129303050594
1b1sa3w       -1627.4660199413809
1b1sa4w       -1703.8055732869948
1b1sa5w       -1780.1441784663364
1b1w          -775.297602940847
1b2dma        -968.6907886741781
1b2dma1sa     -1668.2011572006973
1b2dma1sa1w   -1744.5362285377669
1b2dma1sa2w   -1820.8696387577559
1b2dma1sa3w   -1897.2191958060241
1b2dma1sa4w   -1973.5620779293067
1b2dma1sa5w   -2049.9063479865567
1b2dma2sa     -2367.7042741771256
1b2dma2sa1w   -2444.0394879336254
1b2dma2sa2w   -2520.382255172539
1b2dma2sa3w   -2596.7117020888445
1b2dma2sa4w   -2673.049536756265
1b2dma2sa5w   -2749.392109875026
1b2dma3sa     -3067.1874204049964
1b2dma3sa1w   -3143.522532093959
1b2dma3sa2w   -3219.857300515847
1b2sa         -2097.929617156815
1b2sa1w       -2174.2686087078946
1b2sa2w       -2250.611092326879
1b2sa3w       -2326.945068502999
1b2sa4w       -2403.275950920956
1b2sa5w       -2479.617146423292
1b2w          -851.6391880068841
1b3dma2sa     -2502.5836364924517
1b3dma3sa     -3202.0717936664796
1b3sa         -2797.397348528344
1b3sa1w       -2873.734781749415
1b3sa2w       -2950.077410867984
1b3sa3w       -3026.4147053809997
1b3sa4w       -3102.746129267914
1b3sa5w       -3179.08105360188
1b3w          -927.9813008680788
1b4dma3sa     -3336.95327790149
1b4sa         -3496.855499340295
1b4w          -1004.319420823668
1b5sa         -4196.32524723629
1b5w          -1080.6579152733293
1b6sa         -4895.782064714644
1ca1sa        -1350.599754423911
1ca2sa        -2050.057695294565
1dma1homF     -893.5703218713229
1dma1homF1sa  -1593.055102830655
1dma1homF2sa  -2292.5267983021386
1dma1msa      -798.4094999692339
1dma1msa1sa   -1497.888739551595
1dma1msa2sa   -2197.3610571390423
1dma1p1sa     -834.6860823639129
1dma1p2sa     -1534.1507363820754
1dma1sa       -834.338533245512
1dma1sa1w     -910.6798089548399
1dma1sa2w     -987.0196213284039
1dma1sa3w     -1063.3567354913378
1dma1sa4w     -1139.693284813498
1dma1sa5w     -1216.032095128506
1dma1sa6w     -1292.365179736923
1dma1sua      nan
1dma1sua1w    -667.471194441139
1dma1sua2w    -743.813381019102
1dma1sua3w    -820.1517902804528
1dma1sua4w    -896.48033980685
1dma1sua5w    -972.822375581523
1dma1sua6w    -1049.1595995951877
1dma1w        -211.20398085258
1dma2homF1sa  -2351.7624464428104
1dma2homF2sa  -3051.2243770269715
1dma2msa      -1461.9639763799921
1dma2msa1sa   -2161.4355676235573
1dma2sa       -1533.816094709454
1dma2sa1w     -1610.1545495702273
1dma2sa2w     -1686.4906962170248
1dma2sa3w     -1762.8327107792009
1dma2sa4w     -1839.16878786428
1dma2sa5w     -1915.506050037968
1dma2w        -287.53924216792393
1dma3msa      -2125.506356819868
1dma3sa       -2233.2813584830105
1dma3sa1w     -2309.6173150945683
1dma3sa2w     -2385.9560825818194
1dma3sa3w     -2462.29501245842
1dma3sa4w     -2538.635359634576
1dma3sa5w     -2614.972086191217
1dma3w        -363.87529739911906
1dma4sa       -2932.739375583385
1dma4w        -440.207627396752
1dma5sa       -3632.196437931686
1dma5w        -516.545705490233
1dma6w        -592.878393340184
1gly1p1sa     -983.7886548061941
1gly1p1sa1w   -1060.138816334455
1gly1p1w      -360.67305681117193
1gly1p2sa     -1683.2541839459732
1gly1p2sa1w   -1759.6015704695824
1gly1p3sa     -2382.7166986759694
1gly1sa       -983.432451171423
1gly1sa1w     -1059.7856941328444
1gly1w        -360.321334646412
1gly2sa       -1682.921644562083
1gly2sa1w     -1759.2610698350456
1gly3sa       -2382.380260113722
1glyt1sa      -982.9574896359929
1glyt1sa1w    -1059.3000657985933
1glyt1w       -359.79013507375606
1glyt2sa      -1682.444365271617
1glyt2sa1w    -1758.784121720023
1glyt3sa      -2381.9305486848016
1homF1sa      -1458.154573823852
1homF1sa1w    -1534.4977289805622
1homF1w       -835.0327933900019
1homF2sa      -2157.6137413958777
1homF2sa1w    -2233.952719885655
1ma1sa        -795.125062390961
1ma1sa1w      -871.468219985175
1ma1sa2w      -947.8119509391411
1ma1sa3w      -1024.1508031431679
1ma1w         -171.99990162928603
1ma2sa        -1494.601717468159
1ma2sa1w      -1570.944139476602
1ma2sa2w      -1647.2822265993182
1ma2sa3w      -1723.6195198841392
1ma2w         -248.33212200059998
1ma3sa        -2194.067395183775
1ma4sa        -2893.5251952488065
1mbtca1sa     -1461.700076595255
1mbtca2sa     -2161.156960927639
1mbtca3sa     -2860.6166780320145
1mbtca4sa     -3560.0755850080086
1mea1sa       -909.4762230695178
1mea1sa1w     -985.8185286115
1mea1sa2w     -1062.159420347447
1mea1sa3w     -1138.4984346062658
1mea1w        -286.3435543234999
1mea2sa       -1608.95046741556
1mea2sa1w     -1685.29294510622
1mea2sa2w     -1761.630762223634
1mea2sa3w     -1837.968753426837
1mea2w        -362.68228397961997
1mea3sa       -2308.416213033311
1mea3w        -439.017518705198
1mea4sa       -3007.8763645405543
1msa1sa       -1362.991382461351
1msa2sa       -2062.445605910954
1oa1sa        -1077.2731312073552
1oa1sa1w      -1153.6130514063505
1oa1sa2w      -1229.952450410617
1oa1sa3w      -1306.288240691637
1oa1sa4w      -1382.6241621168253
1oa1sa5w      -1458.960115488973
1oa1sa6w      -1535.3032241631424
1pa1sa        -1350.6032669724023
1pa2sa        -2050.0622121152455
1pa3sa        -2749.517600033194
1pa4sa        -3448.9858476634863
1pha1sa       -1342.843860942405
1pha1w        -719.717951252641
1pha2sa       -2042.306218341759
1sa1tma       -873.54812153552
1sa1tma1w     -949.8874525281409
1sa1tma2w     -1026.2247804241915
1sa1tma3w     -1102.5600876066271
1sa1w         -775.789892332103
1sa2tma       -1047.6300301765232
1sa2tma1w     -1123.9715327342542
1sa2tma2w     -1200.3082449236158
1sa2w         -852.1292039389099
1sa3w         -928.46913700554
1sa4w         -1004.80803976232
1sa5w         -1081.1408773916162
1sa6w         -1157.477706867678
1sua1w        -532.6009307702229
1sua2w        -608.938133085986
1sua3w        -685.2732772829131
1sua4w        -761.613497419678
1sua5w        -837.9471375465961
1sua6w        -914.2865175748591
1tma1w        -250.41373999548702
2am           -112.92085853245801
2am1aq1p1sa   -889.09871799847
2am1aq2sa     -1588.2101213158387
2am1aq3sa     -2287.6808841805077
2am1b         -811.8773409464839
2am1b1sa      -1511.374977880422
2am1b1sa1w    -1587.710931426724
2am1b1sa2w    -1664.049777787506
2am1b1sa3w    -1740.3942806617122
2am1b1sa4w    -1816.7262262922193
2am1b1sa5w    -1893.0733086027642
2am1b2sa      -2210.8722984472183
2am1b2sa1w    -2287.2037114485374
2am1b2sa2w    -2363.5507311642227
2am1b2sa3w    -2439.889271060079
2am1b2sa4w    -2516.2244833464856
2am1b2sa5w    -2592.57063977346
2am1b3sa      -2910.3542783517496
2am1b3sa1w    -2986.689683840333
2am1b3sa2w    -3063.0264158895975
2am1b4sa      -3609.8257061709924
2am1dma1p     -248.17988381479802
2am1dma1p1sa  -947.654127213727
2am1dma1p2sa  -1647.1396297425322
2am1dma1p3sa  -2346.6045880835873
2am1dma1sa    -947.2600732176641
2am1dma2sa    -1646.748196579119
2am1dma3sa    -2346.240101415379
2am1dma4sa    -3045.7073164744734
2am1p         -113.27872913207698
2am1p1sa      -812.7527494341931
2am1p2sa      -1512.2212991669032
2am1p3sa      -2211.68418874794
2am1sa        -812.393258775822
2am2aq1p1sa   -965.4469901068042
