#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1b     -755.4140627786253   -755.3738283610774   0.00013494689769606876
2am1b     -811.8757476652322   -811.8261359079065   0.00016639864942328222
1am1b1sa  -1454.9132851400095  -1454.8619779473088  0.00017208516753545615
2am1b1sa  -1511.3737076516325  -1511.316391024545   0.00019224090923069097
1am1b2sa  -2154.397774883544   -2154.334012801016   0.0002138590727076074
2am1b2sa  -2210.8682389545625  -2210.7972879709646  0.00023797076504497887
1am1b3sa  -2853.8706465168093  -2853.7916858963576  0.000264835218689136
2am1b3sa  -2910.349809154185   -2910.2687204010863  0.0002719730105613297
3am1b3sa  -2966.825241872178   -2966.7383891074746  0.0002913056002111521
1am1b4sa  -3553.337232715074   -3553.2483182370847  0.0002982206204554507
2am1b4sa  -3609.818972497395   -3609.7251981178874  0.00031452081002393
3am1b4sa  -3666.306296393823   -3666.2082668733647  0.0003287926226985771
4am1b4sa  -3722.7655413789867  -3722.6629055508124  0.0003442422544839352
1am1b5sa  -4252.80308417339    -4252.702627508316   0.00033693330562976795
1am1b6sa  -4952.253888978142   -4952.1403643381045  0.0003807635084252245
