# CLUSTER  dG
1am1dma1p     -191.704844486776
1am1dma1p1sa  -891.1770688765669
1am1dma1p2sa  -1590.6483568111178
1am2dma1p     -326.588592152829
1am2dma1p1sa  -1026.074363539884
1am2dma1p2sa  -1725.5658451981124
1am2dma1p3sa  -2425.0255947966416
1am3dma1p2sa  -1860.4632496534264
1am3dma1p3sa  -2559.9381904145826
1am3dma1p4sa  -3259.3998093087766
2am1dma1p     -248.17988381479802
2am1dma1p1sa  -947.654127213727
2am1dma1p2sa  -1647.1396297425322
2am1dma1p3sa  -2346.6045880835873
2am2dma1p1sa  -1082.5464039223668
2am2dma1p2sa  -1782.0271443165148
2am2dma1p3sa  -2481.5154912659636
2am2dma1p4sa  -3180.986032811413
3am1dma1p2sa  -1703.6071373480822
3am1dma1p3sa  -2403.09034802518
3am1dma1p4sa  -3102.555260189452
