#CLUSTER      dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1dma1p     -191.70416057640367  -191.6648405236633   0.00013188010310380378
2am1dma1p     -248.17898519593479  -248.13179208408076  0.00015828647276215296
1am2dma1p     -326.58644783260394  -326.5331583724739   0.0001787337250713774
1am1dma1p1sa  -891.1750394720455   -891.1209408258635   0.00018144774838795195
2am1dma1p1sa  -947.6504765500968   -947.5898261345571   0.000203422490490435
1am2dma1p1sa  -1026.0703663995023  -1026.0039316018579  0.0002228234031346774
2am2dma1p1sa  -1082.5421914110982  -1082.47024401674    0.00024131274310990421
1am1dma1p2sa  -1590.644469333328   -1590.5763983047916  0.00022831134843654278
2am1dma1p2sa  -1647.1369629895257  -1647.0655432657509  0.0002395429273021096
3am1dma1p2sa  -1703.6032566939725  -1703.5267538405983  0.00025659182751793983
1am2dma1p2sa  -1725.5619369939193  -1725.4831202701014  0.00026435258701331895
2am2dma1p2sa  -1782.0233565721396  -1781.9417723033403  0.00027363497836510966
1am3dma1p2sa  -1860.4564748161574  -1860.3650419979244  0.00030666717502160934
2am1dma1p3sa  -2346.5998544534914  -2346.515202151312   0.00028392521274027665
3am1dma1p3sa  -2403.0846459651666  -2402.9952260329283  0.00029991592231688535
1am2dma1p3sa  -2425.0209482290084  -2424.930745067135   0.00030254288738231736
2am2dma1p3sa  -2481.508242026285   -2481.41152171892    0.0003244015004687865
1am3dma1p3sa  -2559.9306023264885  -2559.8283038827244  0.00034311066162918865
3am1dma1p4sa  -3102.548508350215   -3102.4469792420155  0.0003405302975000397
2am2dma1p4sa  -3180.9760957043122  -3180.866818326627   0.0003665181206968654
1am3dma1p4sa  -3259.390780878024   -3259.278012803502   0.00037822597525332855
