# CLUSTER  dG
1am1p1sa  -756.2579050283639
1am1p2sa  -1455.72401851344
2am1p     -113.27872913207698
2am1p1sa  -812.7527494341931
2am1p2sa  -1512.2212991669032
2am1p3sa  -2211.68418874794
3am1p     -169.75608978872404
3am1p1sa  -869.2291810435369
3am1p2sa  -1568.714496359865
3am1p3sa  -2268.1787282073265
3am1p4sa  -2967.643617876522
4am1p2sa  -1625.1909935621452
4am1p3sa  -2324.6679893714645
4am1p4sa  -3024.1332248431167
5am1p3sa  -2381.141886530592
5am1p4sa  -3080.6171368334453
5am1p5sa  -3780.083312174026
