#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2am1p     -113.27836367932746  -113.24682040140503  0.00010579667255555442
3am1p     -169.75567388151822  -169.7163281137646   0.0001319663516806453
1am1p1sa  -756.2558215662864   -756.2113725119534   0.0001490828587389952
2am1p1sa  -812.751036423913    -812.7024377386034   0.00016300078923205797
3am1p1sa  -869.2270666416972   -869.1727825572863   0.00018206971125568928
1am1p2sa  -1455.7219084760998  -1455.6653155284723  0.0001898136764286601
2am1p2sa  -1512.2189601006469  -1512.1577111072995  0.0002054301302954426
3am1p2sa  -1568.712641442816   -1568.646198772666   0.00022284980764770352
4am1p2sa  -1625.186981986692   -1625.114314224304   0.0002437288693224473
2am1p3sa  -2211.6808365710535  -2211.6073654949946  0.0002464231965763898
3am1p3sa  -2268.174195180838   -2268.0945037024003  0.00026728652838207533
4am1p3sa  -2324.6631422460378  -2324.5794376208905  0.0002807466884026074
5am1p3sa  -2381.137357266763   -2381.048158547533   0.0002991739702505347
3am1p4sa  -2967.6367027501306  -2967.543941471176   0.000311122854116117
4am1p4sa  -3024.126147354194   -3024.02918525385    0.0003252124780945185
5am1p4sa  -3080.610873253645   -3080.5099414091674  0.0003385270651587954
5am1p5sa  -3780.0748819868695  -3779.962255160024   0.00037775222822402434
