# CLUSTER  dG
1am1b1sa1w  -1531.2540953727519
1am1b1sa2w  -1607.593498453302
1am1b1sa3w  -1683.9327733216612
1am1b1sa4w  -1760.275541895485
1am1b1sa5w  -1836.6116138343832
1am1b1w     -831.7567244592241
1am1b2sa1w  -2230.7432240894004
1am1b2sa2w  -2307.0827289077956
1am1b2sa3w  -2383.418920740758
1am1b2sa4w  -2459.7505441200174
1am1b2sa5w  -2536.0923088705704
1am1b2w     -908.1007689475539
1am1b3sa1w  -2930.2202794892673
1am1b3sa2w  -3006.5572800249333
1am1b3sa3w  -3082.8883295696933
1am1b3w     -984.44000405403
1am1b4w     -1060.779626798319
1am1b5w     -1137.1136494753218
2am1b1sa1w  -1587.710931426724
2am1b1sa2w  -1664.049777787506
2am1b1sa3w  -1740.3942806617122
2am1b1sa4w  -1816.7262262922193
2am1b1sa5w  -1893.0733086027642
2am1b2sa1w  -2287.2037114485374
2am1b2sa2w  -2363.5507311642227
2am1b2sa3w  -2439.889271060079
2am1b2sa4w  -2516.2244833464856
2am1b2sa5w  -2592.57063977346
2am1b3sa1w  -2986.689683840333
2am1b3sa2w  -3063.0264158895975
