#CLUSTER    dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1b1w     -831.7565469311177   -831.7114639520101   0.00015120905285088537
1am1b2w     -908.0989635833873   -908.0469261795631   0.00017453430764521487
1am1b3w     -984.4391748851987   -984.3837901790179   0.00018576121476028012
1am1b4w     -1060.7768127056402  -1060.7146423110817  0.00020852052510032739
1am1b5w     -1137.111244760889   -1137.0437616154281  0.00022633957894120218
1am1b1sa1w  -1531.2520184603738  -1531.194054443212   0.0001944122661800861
2am1b1sa1w  -1587.7080603722252  -1587.6423284013376  0.00022046611064111362
1am1b1sa2w  -1607.5914807415666  -1607.5298059891952  0.00020685813305766079
2am1b1sa2w  -1664.0457518235414  -1663.9739262495443  0.00024090415561701145
1am1b1sa3w  -1683.929303800355   -1683.8605699445914  0.00023053448185114377
2am1b1sa3w  -1740.3906972673155  -1740.3190490686413  0.000240309235867715
1am1b1sa4w  -1760.2725866185654  -1760.201811048861   0.0002373824239630184
2am1b1sa4w  -1816.7222680112234  -1816.6432856263507  0.0002649082169128923
1am1b1sa5w  -1836.6082669458146  -1836.5320962481064  0.00025547777195493367
2am1b1sa5w  -1893.069338742396   -1892.9878784965906  0.0002732190032052242
1am1b2sa1w  -2230.7408746067204  -2230.6718651212223  0.00023145894851018384
2am1b2sa1w  -2287.2015685069673  -2287.1296176258284  0.0002413244378314424
1am1b2sa2w  -2307.079577203773   -2307.005165468829   0.00024957818193686155
2am1b2sa2w  -2363.5454509215147  -2363.4646014803598  0.00027117035437006085
1am1b2sa3w  -2383.414787802347   -2383.335623437739   0.00026551857993949054
2am1b2sa3w  -2439.884423058444   -2439.7995466849356  0.00028467675166212044
1am1b2sa4w  -2459.7455714975786  -2459.6618645192502  0.00028075458101127265
2am1b2sa4w  -2516.219999756554   -2516.132944719863   0.00029198402378477907
1am1b2sa5w  -2536.086961619051   -2536.0001044113187  0.0002913205022070529
2am1b2sa5w  -2592.5647437641205  -2592.4713669621165  0.0003131873285399197
1am1b3sa1w  -2930.2149409396534  -2930.132210089606   0.0002774806307153014
2am1b3sa1w  -2986.6846853039683  -2986.5984461028006  0.00028924769803196943
1am1b3sa2w  -3006.552258199808   -3006.466246595031   0.00028848433599408237
2am1b3sa2w  -3063.0201869973375  -3062.9290796572154  0.00030557551608831606
1am1b3sa3w  -3082.8836540074653  -3082.7927486057906  0.0003048982112163142
