#CLUSTER    dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1b1w     -832.5631154718936   -832.5180324927861   0.00015120905285088537
1am1b2w     -908.9755186358335   -908.9234812320091   0.00017453430764521487
1am1b3w     -985.3882778311686   -985.3328931249878   0.00018576121476028012
1am1b4w     -1061.7935159073215  -1061.7313455127628  0.00020852052510032739
1am1b5w     -1138.1995882855672  -1138.132105140106   0.00022633957894120218
1am1b1sa1w  -1532.728180087622   -1532.6702160704604  0.0001944122661800861
2am1b1sa1w  -1589.2539179455011  -1589.1881859746136  0.00022046611064111362
1am1b1sa2w  -1609.1401392882644  -1609.0784645358933  0.00020685813305766079
2am1b1sa2w  -1665.6609920360354  -1665.5891664620383  0.00024090415561701145
1am1b1sa3w  -1685.548156478694   -1685.47942262293    0.00023053448185114377
2am1b1sa3w  -1742.0828146056033  -1742.0111664069293  0.000240309235867715
1am1b1sa4w  -1761.9645087230804  -1761.8937331533757  0.0002373824239630184
2am1b1sa4w  -1818.4799697190044  -1818.4009873341317  0.0002649082169128923
1am1b1sa5w  -1838.3699071114318  -1838.2937364137233  0.00025547777195493367
2am1b1sa5w  -1894.903322139632   -1894.8218618938265  0.0002732190032052242
1am1b2sa1w  -2232.88669951732    -2232.8176900318217  0.00023145894851018384
2am1b2sa1w  -2289.4206490584306  -2289.348698177291   0.0002413244378314424
1am1b2sa2w  -2309.296033295978   -2309.2216215610333  0.00024957818193686155
2am1b2sa2w  -2365.8309847572914  -2365.750135316136   0.00027117035437006085
1am1b2sa3w  -2385.703876061589   -2385.6247116969803  0.00026551857993949054
2am1b2sa3w  -2442.243921998365   -2442.159045624857   0.00028467675166212044
1am1b2sa4w  -2462.105172377561   -2462.0214653992325  0.00028075458101127265
2am1b2sa4w  -2518.6509144100683  -2518.563859373377   0.00029198402378477907
1am1b2sa5w  -2538.5181327484806  -2538.4312755407477  0.0002913205022070529
2am1b2sa5w  -2595.0631019906605  -2594.9697251886564  0.0003131873285399197
1am1b3sa1w  -2933.0285314503867  -2932.9458006003388  0.0002774806307153014
2am1b3sa1w  -2989.570892463635   -2989.484653262467   0.00028924769803196943
1am1b3sa2w  -3009.437454174875   -3009.3514425700982  0.00028848433599408237
2am1b3sa2w  -3065.9779631077395  -3065.886855767618   0.00030557551608831606
1am1b3sa3w  -3085.8395894377722  -3085.748684036098   0.0003048982112163142
