# CLUSTER  dG
1am1aq     -132.798918135061
1am1aq1sa  -832.260077123212
1am1aq2sa  -1531.7350679340764
1am1aq3sa  -2231.1941428218256
1am2aq     -209.131752915043
1am2aq1sa  -908.6038323008061
1am2aq2sa  -1608.069040122925
1am2aq3sa  -2307.537893847776
1am3aq     -285.4681124064161
1am3aq1sa  -984.9428018533109
1am3aq2sa  -1684.410994519934
1am3aq3sa  -2383.8741923923585
1am4aq     -361.803829929228
1am4aq1sa  -1061.2805614312338
1am4aq2sa  -1760.7468777615338
1am4aq3sa  -2460.213103340316
1am5aq1sa  -1137.6194096980528
1am5aq2sa  -1837.0868738418972
1am5aq3sa  -2536.54999156719
2am1aq2sa  -1588.2101213158387
2am1aq3sa  -2287.6808841805077
2am2aq2sa  -1664.552762996272
2am2aq3sa  -2364.0188492974053
2am3aq2sa  -1740.8906328335488
2am3aq3sa  -2440.3603673848875
2am4aq2sa  -1817.2279343293833
2am4aq3sa  -2516.695665939418
2am5aq2sa  -1893.567523584978
2am5aq3sa  -2593.0339018854975
3am1aq3sa  -2344.1582599678127
3am2aq3sa  -2420.5011091540428
3am3aq3sa  -2496.831611449294
3am4aq3sa  -2573.1766853922036
