#CLUSTER   dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1aq     -132.79853227496642  -132.76576861968385  0.00010988983827813601
1am2aq     -209.13208384909544  -209.09375138759341  0.00012856770585950697
1am3aq     -285.4677495486423   -285.4238562405263   0.00014721887679353346
1am4aq     -361.8021297794532   -361.75148035367755  0.00016987900645846221
1am1aq1sa  -832.2586352741176   -832.2119740261081   0.00015650259268756394
1am2aq1sa  -908.6023601269937   -908.5507916430456   0.00017296154267374425
1am3aq1sa  -984.9402063670301   -984.8826094779482   0.00019318091256696608
1am4aq1sa  -1061.2771370787523  -1061.2136085451175  0.0002130757458814681
1am5aq1sa  -1137.6163679152849  -1137.5489715210272  0.00022604861397879658
1am1aq2sa  -1531.7331468037594  -1531.6735282283164  0.00019996168184758246
2am1aq2sa  -1588.2082352150062  -1588.1446201396022  0.00021336600839920504
1am2aq2sa  -1608.0666181679044  -1608.0031661459843  0.00021281912433437097
2am2aq2sa  -1664.5505053800996  -1664.4826633683958  0.00022754322221731058
1am3aq2sa  -1684.4090704281768  -1684.3419549904409  0.00022510628118876347
2am3aq2sa  -1740.8874608732344  -1740.814039310199   0.0002462571290805753
1am4aq2sa  -1760.744853110017   -1760.673944096454   0.00023782999685604303
2am4aq2sa  -1817.223548614353   -1817.1444526201306  0.0002652892645374162
1am5aq2sa  -1837.0826035045466  -1837.0048448216626  0.0002608039003324034
2am5aq2sa  -1893.563039952211   -1893.478966034832   0.00028198530061692583
1am1aq3sa  -2231.19044527746    -2231.1195747309     0.00023770097789756713
2am1aq3sa  -2287.6777738774645  -2287.6023704685877  0.00025290427260496977
1am2aq3sa  -2307.5331257842226  -2307.456617600328   0.0002566097061701904
3am1aq3sa  -2344.1540332076434  -2344.0720626132975  0.00027493072059613934
2am2aq3sa  -2364.0143486111388  -2363.932654661146   0.000274002850890273
3am2aq3sa  -2420.495123641753   -2420.407113783702   0.0002951865103191171
2am3aq3sa  -2440.35498378792    -2440.2681832674325  0.00029113037225408515
1am4aq3sa  -2460.207542929759   -2460.1222447501764  0.0002860914961675816
3am3aq3sa  -2496.8273297708843  -2496.7368960349327  0.00030331623663279304
2am4aq3sa  -2516.690422572614   -2516.6004989234334  0.00030160539722041036
1am5aq3sa  -2536.5449457826016  -2536.456259186536   0.00029745630074033626
3am4aq3sa  -2573.1712901005794  -2573.075332080047   0.0003218447779029056
2am5aq3sa  -2593.0278691266412  -2592.933264135958   0.00031730669355849715
