#CLUSTER   dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1am1aq     -132.93539113990545  -132.90262748462283  0.00010988983827813601
1am2aq     -209.34000893405243  -209.3016764725504   0.00012856770585950697
1am3aq     -285.7477251422262   -285.70383183411025  0.00014721887679353346
1am4aq     -362.1530928502251   -362.1024434244495   0.00016987900645846221
1am1aq1sa  -833.0674901509058   -833.020828902896    0.00015650259268756394
1am2aq1sa  -909.4821128261877   -909.4305443422396   0.00017296154267374425
1am3aq1sa  -985.8907655137191   -985.8331686246372   0.00019318091256696608
1am4aq1sa  -1062.2985406475182  -1062.2350121138836  0.0002130757458814681
1am5aq1sa  -1138.7091792172318  -1138.6417828229742  0.00022604861397879658
1am1aq2sa  -1533.2087058696832  -1533.1490872942404  0.00019996168184758246
2am1aq2sa  -1589.7562048991676  -1589.6925898237635  0.00021336600839920504
1am2aq2sa  -1609.6148520449794  -1609.5514000230592  0.00021281912433437097
2am2aq2sa  -1666.1705883838276  -1666.1027463721236  0.00022754322221731058
1am3aq2sa  -1686.0294769082432  -1685.9623614705067  0.00022510628118876347
2am3aq2sa  -1742.5782780396858  -1742.5048564766503  0.0002462571290805753
1am4aq2sa  -1762.4377253484831  -1762.3668163349205  0.00023782999685604303
2am4aq2sa  -1818.9838312849697  -1818.9047352907478  0.0002652892645374162
1am5aq2sa  -1838.8454076626494  -1838.7676489797655  0.0002608039003324034
2am5aq2sa  -1895.3939153672331  -1895.3098414498543  0.00028198530061692583
1am1aq3sa  -2233.3355214556336  -2233.2646509090737  0.00023770097789756713
2am1aq3sa  -2289.8948476969567  -2289.8194442880795  0.00025290427260496977
1am2aq3sa  -2309.7477899364467  -2309.671281752552   0.0002566097061701904
3am1aq3sa  -2346.4390212398307  -2346.357050645485   0.00027493072059613934
2am2aq3sa  -2366.2991593137335  -2366.2174653637408  0.000274002850890273
3am2aq3sa  -2422.85270648771    -2422.7646966296584  0.0002951865103191171
2am3aq3sa  -2442.7123274030323  -2442.625526882545   0.00029113037225408515
1am4aq3sa  -2462.5661855894427  -2462.4808874098603  0.0002860914961675816
3am3aq3sa  -2499.2538183215906  -2499.1633845856386  0.00030331623663279304
2am4aq3sa  -2519.119158633196   -2519.0292349840147  0.00030160539722041036
1am5aq3sa  -2538.973826215412   -2538.8851396193463  0.00029745630074033626
3am4aq3sa  -2575.672704708376   -2575.576746687844   0.0003218447779029056
2am5aq3sa  -2595.5288732411445  -2595.4342682504603  0.00031730669355849715
