#CLUSTER   dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2dma1p     -270.11237903748867  -270.0681363867989   0.000148390577527249
3dma1p     -404.9926538344982   -404.9347639388979   0.00019416366124566702
1dma1p1sa  -834.6839988095892   -834.6349357626716   0.00016455826569756655
2dma1p1sa  -969.5971281962137   -969.5365739913171   0.00020309979841224467
3dma1p1sa  -1104.4873089563896  -1104.4169255472991  0.00023606711081922276
1dma1p2sa  -1534.1471997895558  -1534.0848085878927  0.00020926111575788936
2dma1p2sa  -1669.068071602291   -1668.9943036755847  0.0002474188385242155
3dma1p2sa  -1803.9780973806753  -1803.8923955046228  0.0002874455007628367
3dma1p3sa  -2503.4422345214293  -2503.3454869339225  0.0003244929985157405
4dma1p3sa  -2638.3510346108974  -2638.2451246964515  0.00035522359364622294
3dma1p4sa  -3202.906620998254   -3202.801096981326   0.00035392928702973164
4dma1p4sa  -3337.810034320494   -3337.6916639470373  0.0003970161779520437
5dma1p4sa  -3472.717045505831   -3472.5869616168934  0.00043630350138492395
