#CLUSTER   dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
2dma1p     -270.51494917661864  -270.4707065259289   0.000148390577527249
3dma1p     -405.5949122875863   -405.5370223919859   0.00019416366124566702
1dma1p1sa  -835.5503044456763   -835.5012413987586   0.00016455826569756655
2dma1p1sa  -970.6660306905726   -970.605476485676    0.00020309979841224467
3dma1p1sa  -1105.7559740950537  -1105.685590685963   0.00023606711081922276
1dma1p2sa  -1535.6803884074807  -1535.6179972058176  0.00020926111575788936
2dma1p2sa  -1670.803319755095   -1670.7295518283888  0.0002474188385242155
3dma1p2sa  -1805.913973607516   -1805.8282717314635  0.0002874455007628367
4dma1p2sa  -1941.0036540361266  -1940.909466408306   0.00031590685165418345
3dma1p3sa  -2506.043627405588   -2505.9468798180806  0.0003244929985157405
4dma1p3sa  -2641.155193242381   -2641.0492833279354  0.00035522359364622294
3dma1p4sa  -3206.1775173028627  -3206.0719932859347  0.00035392928702973164
4dma1p4sa  -3341.282611473409   -3341.1642410999525  0.0003970161779520437
5dma1p4sa  -3476.3911089276326  -3476.2610250386947  0.00043630350138492395
