#CLUSTER     dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1b1dma1w     -910.1643149549872   -910.1115978342765   0.0001768140892530478
1b1dma2w     -986.506091816494    -986.4491600171181   0.0001909501907622862
1b1dma3w     -1062.846294479034   -1062.7851438009448  0.0002051003793025682
1b1dma4w     -1139.1881887428453  -1139.1215918665735  0.00022336701751439467
1b1dma5w     -1215.5222086076694  -1215.448730517235   0.0002464467229051387
1b1dma1sa1w  -1609.6676257106362  -1609.6044053855178  0.00021204200945293888
1b1dma1sa2w  -1686.0052705671062  -1685.9356289409868  0.00023357915854241523
1b2dma1sa1w  -1744.5322067119905  -1744.457236447372   0.0002514514996426146
1b1dma1sa3w  -1762.346868532774   -1762.2748495542528  0.00024155283756921762
1b2dma1sa2w  -1820.8644850771486  -1820.7827986317118  0.00027397768048488427
1b1dma1sa4w  -1838.6847787965567  -1838.6077407414818  0.00025838690281565187
1b2dma1sa3w  -1897.215240820566   -1897.1315408472567  0.000280731086061494
1b1dma1sa5w  -1915.0219051350637  -1914.9393546443898  0.0002768757024101125
1b2dma1sa4w  -1973.5577458283865  -1973.469414713437   0.00029626401123484023
1b2dma1sa5w  -2049.9022487883235  -2049.810790007829   0.00030675425287625884
1b1dma2sa1w  -2309.1496693437894  -2309.0717147209107  0.00026146108629267716
1b1dma2sa2w  -2385.4908549892     -2385.4106067358803  0.0002691539604879316
1b2dma2sa1w  -2444.034993680347   -2443.9487388787065  0.0002893000222698854
1b1dma2sa3w  -2461.8177279767237  -2461.734551164233   0.00027897639607826866
1b2dma2sa2w  -2520.3775797868493  -2520.2862016401978  0.00030648380564012127
1b1dma2sa4w  -2538.157373230339   -2538.068588758372   0.0002977845781234738
1b2dma2sa3w  -2596.7065169234793  -2596.611607692411   0.0003183271208076998
1b1dma2sa5w  -2614.4925231576963  -2614.399030211239   0.0003135768789467807
1b2dma2sa4w  -2673.0440822345286  -2672.9452885561773  0.00033135562083327317
1b2dma2sa5w  -2749.3858996734334  -2749.2811618843143  0.0003512922660399703
1b1dma3sa1w  -3008.631844870501   -3008.5441952557635  0.00029397824832490325
1b1dma3sa2w  -3084.955694051575   -3084.8637220034934  0.0003084757607947794
1b2dma3sa1w  -3143.5164407364773  -3143.4181871237324  0.00032954423191563126
1b1dma3sa3w  -3161.2862157641785  -3161.1873572851773  0.0003315729632768878
1b2dma3sa2w  -3219.8506499111645  -3219.7494343170138  0.00033947876622692326
1b1dma3sa4w  -3237.63460525863    -3237.5345632765016  0.0003355424522166778
1b1dma3sa5w  -3313.9709366620245  -3313.8686388943597  0.000343108393976718
1b1dma4sa1w  -3708.0940632405786  -3707.995181288535   0.0003316516922483276
1b1dma4sa2w  -3784.4243459525906  -3784.320607688768   0.00034793984176524444
1b1dma4sa3w  -3860.7598096946463  -3860.6513298010545  0.0003638433459354878
1b1dma4sa4w  -3937.10800875475    -3936.9958240925653  0.0003762692006841283
1b1dma4sa5w  -4013.4478501753797  -4013.331420546377   0.00039050688915969167
