#CLUSTER   dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]
1dma1w     -211.20368589124945  -211.1649007251287   0.00013008608459073195
1dma1sa1w  -910.6784847709184   -910.6254366395679   0.00017792430437846513
1dma1sa2w  -987.0179979699228   -986.9604419641773   0.00019304378918417358
1dma1sa3w  -1063.3548620706476  -1063.291922271754   0.0002111011198850672
1dma1sa4w  -1139.6906926408756  -1139.6238184968547  0.00022429697810013959
1dma1sa5w  -1216.0284630171716  -1215.9555888503698  0.0002444211531169693
1dma2sa1w  -1610.152064428589   -1610.0870161615974  0.00021817295653924924
1dma2sa2w  -1686.4870807069933  -1686.4165342345455  0.00023661402799870216
2dma2sa1w  -1745.0410360010883  -1744.9649970690048  0.0002550358278841444
1dma2sa3w  -1762.8288101644846  -1762.7544155567718  0.00024952073692064065
2dma2sa2w  -1821.3798845492915  -1821.298213196224   0.00027392706043060424
1dma2sa4w  -1839.1654068557393  -1839.0870158562932  0.0002629247004745724
2dma2sa3w  -1897.7137092896642  -1897.627591397314   0.0002888408262613292
1dma2sa5w  -1915.5007158395194  -1915.4166052217008  0.00028210839449553074
2dma2sa4w  -1974.0548951790147  -1973.9660042886926  0.00029814150703356013
2dma2sa5w  -2050.3905615401736  -2050.2937559918373  0.0003246874000884567
1dma3sa1w  -2309.612643585016   -2309.534922485875   0.00026067784384050985
1dma3sa2w  -2385.9519727769316  -2385.871615973088   0.00026951804072893835
2dma3sa1w  -2444.5107852401393  -2444.422463276275   0.00029623331834420226
1dma3sa3w  -2462.2895977413677  -2462.2037891969053  0.0002878032683617693
2dma3sa2w  -2520.8475377520012  -2520.7562198145047  0.0003062818631445339
1dma3sa4w  -2538.629432766391   -2538.538263494869   0.0003057832350197436
3dma3sa1w  -2579.4072978771555  -2579.3084184482086  0.00033164322973803666
2dma3sa3w  -2597.183748630921   -2597.088767502038   0.000318568267254927
1dma3sa5w  -2614.965838603626   -2614.8711098976232  0.0003177216367667404
3dma3sa2w  -2655.748781215925   -2655.6467766176784  0.00034212509893054885
2dma3sa4w  -2673.52673346427    -2673.4270329635397  0.0003343971179949731
3dma3sa3w  -2732.080465784413   -2731.973744211552   0.00035794590931206594
2dma3sa5w  -2749.865293718336   -2749.759376256884   0.00035524890642850654
3dma3sa4w  -2808.423817149246   -2808.3116374549945  0.0003762525381580474
